cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76
-1,W,P,f,A-,Ù\,"P‘

— Par",ména—,graines,Plæ,colonne Vendôme,v.ü;ä,dC—,PQ‘ÆSË‘Ê,Jugez,veillée,Feuil-,fontaine Sainte—Radegonde,-_'4‘1,ï L,boursi—,"M,9_N v.u",i=?‘îËñîgîâ 3.— i,Î_—,histoire—,buis,ﬂ!tuM‘ W,nu—,N-.M‘æ“\—nu,A '- ',morali—,"ba- -
*biller ma",m.œ:-——,gouaillant,chancetés,Oli,VÎLLACE,"S
E",._.“-—4,——._,-—.,".,",l.âiïJÏ.—.Ü.Ë,Al—,ÎJ,4--_,Ç’,s’,r‘Ÿ“ŒWŒM,Î’,.l,zw,CONSCRIPTION,TA‘M,adminis—,‘m.——-—'m,Beviendront,bâton,ﬁère co‘ujme‘ A;rtaban,brin,çoup,calomnia—,næûæ‘W,Poulains,b_—_._,brillam—,Craintil‘s,Bérénice,murs.-,per labz‘a,Bemblay,Toinon,v.——,Tachons,trav aille1,tîsserand,concur—,obam—
0,Çä,Fùt,—,I,.täLﬂ—,b—,n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,",“","A,“",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,II,III 1:5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,t,.\,-!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ëïüﬂîæi,Afàl,®,M{r,S,.*rq,Î,É,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,v—,Ï,M,_,Nl”,qü’,ÏÊ,51,T’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IÇ,hiçgt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,J’,j’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ëêü“Wwwr,ÜÜA4.P,\,-*m,.1-,41—,N011,125,.,@d9nç,Jàd4n,Q,-,Y-7,v;pmcgz,ÎÏ,d’,F,C,f|—,"i""a",Wær,JŒ,Ë,-4_,r'=,È,"V""'Wﬁw",A,L’,V’,J,"f:""_ü",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
