text,cluster,cluster_corrected
Riez,0.0,
Auriez,0.0,
réserve de la Rose,1.0,
réserve des furolles,1.0,
la Remy,1.0,
Devise,1.0,
réserve de monsieur le curé,1.0,
Rose,1.0,
dragon,2.0,
fontaine Sainte-Radegonde,2.0,
montagne blanche,2.0,
Poulains,2.0,
Carrière-Fondue,2.0,
cainte,2.0,
Paris,3.0,
Clarisse,3.0,
parigot,3.0,
Parisien,3.0,
Parisiens,3.0,
Maria,3.0,
T'arrêteras-tu ?,4.0,
As-tu,4.0,
As-tu vu le,4.0,
Hommes-sans-Têtes,4.0,
bras-le-corps,4.0,
terre,4.0,
Tiens,5.0,
Retiens,5.0,
la France,6.0,
de France,6.0,
Jeanneton,7.0,
Jean-Claude,7.0,
Jeacquet,7.0,
mitan-côte,7.0,
Malicieuse,8.0,
couseuses,8.0,
Tais-toi,9.0,
Palais-Royal,9.0,
Toinon,9.0,
Défends-toi,9.0,
mouchez,10.0,
Cachez,10.0,
Tâche,10.0,
Crachez,10.0,
Perpétue,11.0,
per labia,11.0,
croyez-en moi,11.0,
Norine,12.0,
Norine Duclos,12.0,
brin,12.0,
du Nord,12.0,
franciers,13.0,
Franciers,13.0,
Tournez,14.0,
Tour,14.0,
Jure,15.0,
Figurez,15.0,
Faut,16.0,
sauta,16.0,
Autrefois,16.0,
voulez,16.0,
boursicaut,16.0,
Notre église,17.0,
Notre médecin,17.0,
siffle Médor,17.0,
Vierge,18.0,
Vieux,18.0,
Cellier,18.0,
colonne Vendôme,19.0,
émotionnée,19.0,
là-bas,20.0,
Cassiopée,20.0,
Frotte,20.0,
Bassette,20.0,
Favette,20.0,
Savoyard,21.0,
Nom-de-Nom,21.0,
gars Denis,21.0,
Garde-les,21.0,
Bah,22.0,
bah,22.0,
péché de calomnie,23.0,
calomnie,23.0,
irons politiquer,24.0,
Parlons,24.0,
Allons,24.0,
Fallut,24.0,
Agréez,25.0,
Désirée,25.0,
Manot,26.0,
Armandine,26.0,
Vermand,26.0,
Morlinval,27.0,
Morlincourt,27.0,
Allez,28.0,
Céran,28.0,
tranquille,28.0,
SOUHAITS,29.0,
sou,29.0,
Sortez,30.0,
Chanvriers,30.0,
Conte,30.0,
Chantez,30.0,
Avez,31.0,
couvent Brugnon,31.0,
Sauvez,31.0,
MOISSON,32.0,
Crois-tu,32.0,
Sens-tu,32.0,
vois-tu,32.0,
Venez,33.0,
Entendez,33.0,
Tenez,33.0,
besogne,34.0,
lune,34.0,
Saint-Quentin,34.0,
Craintifs,34.0,
Saint-Brunelle,34.0,
Reviendront,35.0,
Pourvu,35.0,
Pourront,35.0,
Jugez,,
B,,
Vénus,,
Las,,
Bérénice,,
Sitôt,,
Lambin,,
M',,
État,,
VI,,
M,,
Adonc,,
Oui-da,,
Ch,,
Alger,,
J',,
buis,,
Dizy,,
Est,,
