text,cluster,cluster_corrected
Chacun,-1,
Devinez,-1,
Clarisse,-1,
Savoyard,-1,
Favette,-1,
Relevez,-1,
gars Denis,-1,
Cassiopée,-1,
Le soleil,-1,
Assis,-1,
Morlinval,-1,
Médor,-1,
Morlincourt,-1,
Basset,-1,
Bonnets,-1,
J'ai,-1,
fontaine Sainte-Radegonde,-1,
parigot,-1,
Norine,-1,
Maman,-1,
Craintifs,-1,
Tour,-1,
Perpétue,-1,
fieux,-1,
Palais-Royal,-1,
Toinon,-1,
réserve des furolles,-1,
per labia,-1,
Retiens,-1,
Bien,-1,
FRUCTUEUX,-1,
Lambin,-1,
brin,-1,
Artaban,-1,
Jean-Claude,-1,
Vénus,-1,
couvent Brugnon,-1,
réserve de la Rose,-1,
Agréez,-1,
Paris,-1,
Bassette,-1,
Tâche,-1,
Bérénice,-1,
Adonc,-1,
Jeacquet,-1,
pré Brugnon,-1,
Vierge,-1,
Comprenez,-1,
Jeanneton,-1,
Tournez,-1,
Dizy,-1,
Désirée,-1,
Monte,-1,
Saint-Brunelle,-1,
SOUHAITS,-1,
J',-1,
bras-le-corps,-1,
Or,-1,
Manot,-1,
Alger,-1,
Riez,-1,
Votre,-1,
Voilà,-1,
couseuses,-1,
T'arrêteras-tu,-1,
la France,-1,
cabaretière de Saint-Brunelle,-1,
répondez,-1,
Où,-1,
de France,-1,
Garde-les,-1,
Sylvain,-1,
calme-toi,-1,
Auriez,-1,
Frotte,-1,
Sortez,-1,
As-tu,-1,
Hommes-sans-Têtes,-1,
Poulains,-1,
Crois-tu,-1,
Habile,-1,
Armandine,-1,
Allez,-1,
Carrière-Fondue,-1,
Céran,-1,
État,-1,
gouaillant,-1,
Sitôt,-1,
Faut,-1,
mitan-côte,-1,
MOISSON,-1,
Sois,-1,
Crachez,-1,
Charité,-1,
Vieux,-1,
petiote,-1,
Saint-Quentin,-1,
Avez,-1,
queue-leu-leu,-1,
Bonsoir,-1,
Cellier,-1,
pau,-1,
Las,-1,
Devise,-1,
V',-1,
B,-1,
Écoutez,-1,
Tiens,-1,
Pauvre,-1,
Reviendront,-1,
Vermand,-1,
réserve de monsieur,-1,
Venez,-1,
Malicieuse,-1,
Cachez,-1,
boursicaut,-1,
Sens-tu,-1,
VI,-1,
colonne Vendôme,-1,
Satané,-1,
Rose,-1,
buis,-1,
Franciers,0,
franciers,0,
du Nord,1,
Nord,1,
Pourvu,2,
Pour,2,
Parisiens,3,
Parisien,3,
