cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,Laisse,Laissez-,Anglais,laisse1,lai',Obésuisse,\'lais,clair—obscur,ﬁnesse,s’aﬁ'aissa,Puisses,diss—,établisse—,,,,,,,,,,,
1,conﬁance,Conﬁance,conﬁtences,,,,,,,,,,,,,,,,,,,,,
2,LES,Drôles,vôles,Les,Pâles,,,,,,,,,,,,,,,,,,,
3,philosophe—,le philosophe—,philoso—,7q,,,,,,,,,,,,,,,,,,,,
4,Rameau-d’Or,Rameau-,Rameau-d'Or,a1r‘étantRameau-d Or,Dame,Rameau- d‘01,Amel,Hameau,,,,,,,,,,,,,,,,
5,»—.,C‘»—ï‘,A&—.,,,,,,,,,,,,,,,,,,,,,
6,Léona,Léoua,Léonal,,,,,,,,,,,,,,,,,,,,,
7,Sommes,Sommes-,L‘homme,O,Hommes,sommesè,,,,,,,,,,,,,,,,,,
8,"Vîüg

LA E ELLE",LA 13 E LE,Vîüg,BEL L E ltl V !,,,,,,,,,,,,,,,,,,,,
9,FORT DUQUESNE,fort Duquesne,sn,fort Rupert,eﬁ”ort suprême,fortDuquesne,Ë-,É confortable,Duquesne,ao1t Duquesne,tort Duquesne,"FORT DUQUESNE

LE COMTE DE JUMONVJLLE",garnison du tort_Duqnesne,"fort
Duquesne",foiL Duquesne,fort honnêtes,fort Duquesne m’,,,,,,,
10,jura,Œ,Tracy,Jura,Pittsburg,RA,.p,,,,,,,,,,,,,,,,,
11,Ÿî’M,Î’,,,,,,,,,,,,,,,,,,,,,,
12,-.-,".-\,.ç_-",.-—.-,pied.-,".-,",-.-A_ÈC,,,,,,,,,,,,,,,,,,
13,A1,V1 a1,J<.=“,La11dé11epa1t,la101e,Pa1don,la1s,ma1t1,pa110ns,la1dàt,a1,SA1T-HÈnEM,ma1qu1se,,,,,,,,,,,
14,château de,château de Malevil,"château de
Beauregard",,,,,,,,,,,,,,,,,,,,,
15,VW”'”M,Î,compa—,complè—,incompréhen—,accompagn—,com,compl—,impa—,"-

—- Compagnons",,,,,,,,,,,,,,
16,lui1,Î1,Luy,àla pluie-,Gholula,Luv,celui—,,,,,,,,,,,,,,,,,
17,Andé,Koul1a-Handé,Landé,T'—,And1é,indé—,Arrî1and,Dé1ﬁoñlüë,,,,,,,,,,,,,,,,
18,et’,elïet,Çùj,t’,reﬂet,,,,,,,,,,,,,,,,,,,
19,bois-brûlé,Bois-Brùlé,Û,Bois-Brûlés,,,,,,,,,,,,,,,,,,,,
20,Lejeune,lejeune,—je,Jeune,,,,,,,,,,,,,,,,,,,,
21,Apr1ès,niv1Èn.n,apr1,dèsho—,apr1ès,,,,,,,,,,,,,,,,,,,
22,anna,Devant,An,Yankées,yan-accs,Anjou,santa,Wanæ,Ÿl,Quantà,Océan,aan,Angelo,.:.—wan,nil-ant,aban—,.\,"océan
Atlantique",Mangezl,Blancs,L an Pol,Râjean-,sang—,Posant
23,Canadien,Canadien-,canada,Canada,cana—,Canadiens,Canadienne,Cana-,,,,,,,,,,,,,,,,
24,.F,Kouba—Haùdé,:>,Kouba—Handè,Haùdé,,,,,,,,,,,,,,,,,,,
25,Malleval,mali,Maleval,Allez,lasalle,alluma,Va,,,,,,,,,,,,,,,,,
26,rivière,1rivière,Rivière,"RIVIÈRE

—",RIVIÈRE 483,Frontières,Ê_1misère,rivière qu’,RIV_IÈRE,ÿclar11ère,,,,,,,,,,,,,,
27,Manongahéla,Monongahela,Manonghahela,Manangahela,,,,,,,,,,,,,,,,,,,,
28,"Iam-n.

saire",temporaire—,scapulaire,Iam-n.,,,,,,,,,,,,,,,,,,,,
29,peut—,petit—être,Peut—,brut—,,,,,,,,,,,,,,,,,,,,
30,j’,J’,j’.y,În,,,,,,,,,,,,,,,,,,,,
31,bien—,Bientôt,cepen—,silien—,—— Bien,bientot,,,,,,,,,,,,,,,,,,
32,trou—,u—»M,prou—,X,amou—,redou—,brou—,propre—,Proﬁtez,,,,,,,,,,,,,,,
33,Wÿ—J—mmw—w,F”’ŒTËMW,wÿ,,,,,,,,,,,,,,,,,,,,,
