cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45
0.0,sorl,New-Yorl,Desormais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,mone,Jumon-,tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,alle,Allehany,Alle,alluma,paallele,allezl,Allez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,pese,Seses,pesence,lese,aupes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,----,".-:---,C-",Mnis,cr---Prc,e:----.--------,gi-'--------------------------------------------------,.-------.-,r-.----L-,"E.:y,:P----rrre-ree",Lt2-e---:-------,rs.a---.-,L---E---L,LAn------:-L,L.LL-----,"P' ``,-
----G--","C----ii
ECCa-CGd
7o",.'---;--------c=.-,LL-ar-------,CL:---,--------ah,"II
I

HIII
W

---
-.---------------",LL--------,CCC----------=,L-----1,sesare-ev-err'`r---------------a----------------------,"AAtsi-'.5.C-2C:--::-----A----e-::=-a--

1l",T----Gae,"F-,----P--,-irPe","i:::--.---------:------------:a
- Mlon",L----,---7----a--------ea----------e------'-1,t.----------F-L.a,Na---,"----1--
zGE",C----L.',.L.L .L-----eL,.reasr''.--3- ---------5--a--axaF;:E,cF---------e=,-----ecxxz,Y---,y---------gee-e,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l",g-----5-,a---------------=-----,--------.-,"I
H.
2R
---a-

IL"
5.0,Rameau-d'O,Ramneau-d'Or,Raumeau-d,Rameau-d'Or,Rmenu-d'O,Rameau-d'O.,Rameau-,Rameau-d',Raieau-d'Or,Rameu-d'O,IRameau-d'O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,faitel,- Faites,Parfait,vitel,retaitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,xEZIE,ZIE,"xEZIE

l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,"EE


e

G","S

EE
 E","Ee ie e iees
daa","E

e


3L
x","EE

B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,clotue,aflot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,luii,celui-ei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,amour-popre,amoureuxl,popre,Jan-Pol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Prc,Quoi7,Moi7,guoi,- Pourquoi7,Quoil,lroquois,poulquoi,"quoi7
I
Aa
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,"aa
E","II

aa
A-","I
Aa
E
EEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,hospilalitel,Pilma,hospitalit6,Iacilite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,concentree,centve,irentrer,Ionce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,baie des Marmousets,baie d'Hudson,cap des Monts-Peles,I1ets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Arive,Eiſeas,Vive,- Ariverons,ariver,copaguie de rigny m'eel arive,arive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,verai,jurerais,souterain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,pemiere,premiere,pemier,avrche dupemier hoe,Iin limier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,ra-aZ-iahf,profitera-t-il7,Aa-AP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,Sans-Pisle,Sans-Piste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,Indien,cinIndiens,L'Indien sourit,toldos indiens,Indiens,Indiennes,Lesindividus,L'Indien,L'indifferenee,pseudo-Indien,Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,"G

III


S
f
IE","W

S
L","El
f
Ii","EIG

III",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,s:;cre,Creole,Createur,vincre,mediocre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,"I
-
188","WZ
-
A","IH

e2L.
x
-
r","I
A.,
-
300
x---i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,cavalie,lieiu d'etre,ecoliers,lIe,pilosoplie%,Julie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,declarer,Wnldecl,rer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,i arrete,srete,reteni,teni,Ioten,etendus,conteni,entreteni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,fourrue,fourr6s,drue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,terrass6,verrasl,terriblel,Rassure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,RIYILEnRE,RIYIhE,RIYIEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,"MI

IJ","I

I","SL

I

IM","pei

I","WI
 
I

t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,Alleghanys,ghany,Alleghany,monts Alleghanys,rivieres Alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,".l

II",", - II","LL




I

H

E3",".L

I
z
2.-","11

Ii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,Dieppe,Dinwidie,Enveloppe,echappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,Viginie,Yirginie,fouinie,Virginie,Nirginie,Inieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,-Z-G,.-Z-,--z--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,amiti6 de cbte,aniti6,pyramides de Cholula,cbte?1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,"I

I
I

Ii 1","N

I

i
5
R
Mu
H
I
l:","I

i
I","I

I
i","I

I
I","I
S
I

I
-
m1","II

I
aT","I

I
I
l","IYI

I
Ih
L","I

I
t
I


N",".L.

I
I","I
I


I
K
Hi
I","I

I
II","I

I
I.
I
I","EI

I
IH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,"El

B","El

l
E","EEl

HEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,moyen8,noyens,Croye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,de Versailles,Versailles,Doussailles,taversee,vers6s,Vesailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,"I

III","II

I","II

II","LIAE

II

IIZ","II

II' 

f


II","LIII

I","LIAE

II

IIZ
x
E","I

ii","43 ii

I
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,voi,Voi,emouvoir,Vois,savoir7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,A LLZL,la lecon,"Rl

LLLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,Nouvelle-France,Nouvelle-Frnce,Nouvelle-Orleans,Nouvelle-Orl6ans,Nouvelle-Hollande,Nouvelle-lFrance,Nouvelle-Fance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,plir,atlire,Agis,plius,aceomplir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,ecria,cvria-l,ecrasez,ecria-t-ilavec suprise,l1 cria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,senlinelles,senl,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,porte patr,apport6e,catr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,"oi7
- Damel","loirs7
- J'",Amel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,Sommes,Hommes,comment7,la somme,Sommes-,Iemmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,"1A
I.I",E'i.I,II.i1,"1I
I.I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,"I

E","EEI

E","I


E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,Fance,Fancis,Frunce,dislance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
