text,cluster,cluster_corrected
Bordeaux,-1,
la feuillée,-1,
Anjou,-1,
merisier,-1,
Castille,-1,
mawkawis,-1,
Chichimèques,-1,
Téocalis,-1,
Jérusalem,-1,
Pélage,-1,
Grognon,-1,
d'Espagne,-1,
Washington,-1,
Venise,-1,
égorgille,-1,
Ferney,-1,
Holà,-1,
Bonsoir,-1,
méritez,-1,
Camarades,-1,
Asie,-1,
cap des Monts-Pelés,-1,
taillis,-1,
remettez-le-moi,-1,
J',-1,
Jean-Pol,-1,
Particularité,-1,
Créateur,-1,
toldos,-1,
II,-1,
Luy,-1,
Maigre,-1,
Relevez,-1,
N',-1,
Plutôt,-1,
atepelt,-1,
bivouaquerai,-1,
Essayez,-1,
Albion,-1,
Risque-Tout,-1,
Doué,-1,
pyramides de Cholula,-1,
Pilma,-1,
Armand,-1,
fier,-1,
Le Peau,-1,
faix,-1,
Où,-1,
Hermine,-1,
Tels,-1,
Accordez,-1,
Soudain,-1,
Ami,-1,
blottis,-1,
I,-1,
whiskey,-1,
Eh,-1,
haussa,-1,
Karnac celtique,-1,
Louisiane,-1,
île Anticosti,-1,
Bravo,-1,
Léona,-1,
Niagara,-1,
Vraiment,-1,
wampums,-1,
English,-1,
cap Rosier,-1,
États-Unis,-1,
hâtez,-1,
Guyenne,-1,
croyez-le bien,-1,
Royal-Marine,-1,
Ponce-Pilate,-1,
Créole,-1,
Sans-Piste,-1,
Singuliers,-1,
Sicile,-1,
brelandier,-1,
Maintenant,-1,
Çà,-1,
cap du Chat,-1,
Riche,-1,
Précédez,-1,
Peuh,-1,
Emparez,-1,
Faut,-1,
au Havre,-1,
Votre,-1,
hein,-1,
Vienne,-1,
Palamède,-1,
Dominé,-1,
ligne de Tisona,-1,
alluma,-1,
Comment,0,
Merci,0,
Commercy,0,
Hommes,1,
Sommes,1,
Fatalement,2,
Cordieu,2,
Parfaitement,2,
Cordialement,2,
Dinwidie,3,
Dieppe,3,
toldos indiens,4,
L'Indien,4,
Les Indiens,4,
Indien,4,
L'Indien sourit,4,
Indiens,4,
Indien Belaware,4,
Tiens,5,
miens,5,
Canadien,6,
Canadienne,6,
Canadiens,6,
Canada,6,
Menneville,7,
Jumonville,7,
Tulle,8,
Nulle,8,
Allez,8,
mollet,8,
Mlle,8,
mademoiselle,9,
Telles,9,
selle,9,
Les,10,
Visages-Pâles,10,
Laquelle,11,
Quels,11,
Alleghany,12,
Alleghanys,12,
monts Alleghanys,12,
Te,13,
Tes,13,
Grand-Esprit,14,
brandir,14,
Grand,14,
Notez,15,
Totem,15,
Assis,16,
Mississipi,16,
Mississipiens,16,
château de,17,
Beauregard,17,
château de Beauregard,17,
Regardez,18,
regardez,18,
soleil,19,
Le soleil,19,
regardez le soleil,19,
Blancs,20,
Châteaux-Blancs,20,
Berger,21,
Vierge,21,
Paris,22,
Parisien,22,
Partons,23,
Partout,23,
Notons,23,
Remonterons,24,
mons,24,
Fumerons,24,
Huron,25,
Hurons,25,
Bisons-Hurons,26,
Loups-Hurons,26,
Sois,27,
Poitou,27,
Soit,27,
Déjeunons,28,
Revenons,28,
Voyez,29,
Soyez,29,
Fuyez,29,
contentez,30,
Consentez,30,
terre,31,
Interrogez,31,
Terre Sainte,31,
Angleterre,31,
Saint-Laurent,32,
Le Saint-Laurent,32,
fleuve Saint-Laurent,32,
Attends,33,
Attention,33,
Rendez,34,
Prends,34,
Répondez,34,
Venez,35,
Apprenez,35,
Anglais,36,
Laisse,36,
sais,37,
Ouais,37,
J'avais,38,
Mauvaise,38,
Londres,39,
Reviendrez,39,
Restez,40,
Est,40,
Nouvelle-Orléans,41,
Nouvelle-Hollande,41,
Nouvelle-France,41,
la France,42,
France,42,
de France,43,
roi de France,43,
Séance,44,
créances,44,
Français,45,
Françaises,45,
Montréal,46,
Contrecœur,46,
Pour,47,
Encouragés,47,
courre,47,
Pittsbourg,47,
bourrelé,47,
Ours-Gris,47,
Vêtu,48,
tu*.,48,
Douterais-tu,49,
jura,49,
Douterais,49,
jurerais,49,
Crois-tu,50,
Vois-tu,50,
Puisses-tu dire,51,
Es-tu fou,51,
ajoutez,52,
Écoutez,52,
Ajoutez,52,
Observez,53,
Penserez,53,
Savez,53,
Avez,53,
la Belle-Rivière,54,
Rivière,54,
Belle Rivière,54,
Belle-Rivière,54,
rivière de Montmorency,55,
Saut de Montmorency,55,
chaumière de l'Ohio,56,
vallée de l'Ohio,56,
vallée de l',56,
Ohio,57,
L'Ohio,57,
de Versailles,58,
Versailles,58,
Acceptez,59,
Comptez,59,
parc de la comtesse,60,
Maleval,60,
châtelaine de Maleval,60,
comtesse de Maleval,60,
fort Nécessité,61,
fort de la Nécessité,61,
Nécessité,61,
Petit-Fort,62,
fort Rupert,62,
Duquesne,63,
fort Duquesne,63,
Pardonne,64,
Pardon,64,
seuil de la maisonnette,64,
Sonne,64,
Pardonnez,64,
Abandonnez,64,
Ward,65,
Gueusard,65,
baron de Grigny,66,
Grigny,66,
M. de Grigny,66,
Carignan,66,
nuancés de gris,66,
anse des Marigots,67,
baie des Marmousets,67,
Marigots,67,
Anse-aux-Marigots,67,
baie d'Hudson,67,
Sçavoir,68,
Voilà,68,
Le bois-brûlé,69,
bois-brûlé,69,
Bois-Brûlés,69,
Bois-Brûlé,69,
brave Bois-Brûlé,69,
Formé,70,
Dormez,70,
mornes,71,
Or,71,
New-York,71,
Œil-de-bœuf,72,
Œil-de-Bœuf,72,
Corne-bœuf !,72,
Nord,73,
du Nord,73,
Amérique du Nord,74,
l'Amérique du Nord,74,
Amérique,75,
l'Amérique,75,
briquet,75,
Mexique,76,
golfe du Mexique,76,
Cincinnatus américain,77,
Américains,77,
Eoah,78,
Pas,78,
bah,78,
Ahan,78,
Bas,78,
Kouha-Handé,79,
Kouha,79,
Couleuvre,80,
La Couleuvre,80,
Coulon,80,
Kayélon,80,
la Couleuvre,80,
Rameau-d'Or,81,
Eau-Jaune,81,
Aucune,81,
lune,81,
Peaux-Rouges,82,
Peau-Rouge,82,
océan Atlantique,83,
Océan,83,
Renard-,84,
Le Renard-Bleu,84,
Renard-Bleu,84,
Bien-Aimé,85,
Bientôt,85,
Seigneurie,86,
Ravageuse,86,
Eux,86,
Joignez,86,
Curieux,86,
Furieuse,86,
Proscrit,87,
Le Proscrit,87,
l'Europe,88,
Europe,88,
Européens,88,
Gascon,89,
Wacondah,89,
cascabel,90,
Caen,90,
Va,91,
Posant,91,
Devant,91,
Opossum,91,
scapulaire,92,
VI,92,
Virginie,92,
Vire,92,
Québec,93,
Caudebec,93,
sachet,94,
Séchez,94,
Cher,94,
Lâches,95,
Marches,95,
Bouche,96,
huche,96,
Embroché,97,
Chérie,97,
Och,97,
Placée,98,
lac Érié,98,
Lovelace,98,
Manangahela,99,
Manongahela,99,
Manongohela,99,
Manongahéla,99,
Manonghahela,99,
Algonquins,100,
hidalgo,100,
foins,100,
Providence veillât,101,
Providence,101,
Accidenté,102,
Occident,102,
pic,103,
Nick,103,
bowie-knives,104,
