cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,interrom—,l‘inter-,contem—,"interrom—

DE",,,,,,,,,,,,,,
1,rugisse—,juge—,mugisse—,dissé—,Russe,,,,,,,,,,,,,
2,guer—,guet—à—pens,S,Iéguer,aper—,,,,,,,,,,,,,
3,espa—,ESpa—,dispa—,espè—,les occupa—,prépa—-,,,,,,,,,,,,
4,brous—,bro—,sous—,brus—,,,,,,,,,,,,,,
5,bles—,Naples,blessu—,"nobles,-",blables,"percepti—
bles",Les_Delawares,ﬁ dèles,,,,,,,,,,
6,a—,agita—,"la—

ble",probléma—,s‘écria—t-îl,enga—,ha—,l‘ha—,Pana—,priva—,Ca—,végéta—,abomina—,effroya—,voya—,A—,appa—,
7,recomman—,commen—,38vçl,Sommes,commentvont,Comen-,Femme,tourmen—,Hommes,immen—,,,,,,,,
8,Resté,Est,s‘est,Est!,ﬁes,stacles,bulﬁes,Yankees,SAINT-PRIEST,l‘Ouest—,Qu‘est,Est—ce,Ernest,destruc—,Bestez-y,Es,,
9,Canadien,ganado,AUBENAS,campana,waybenan,Canadienne,brave Canadien,,,,,,,,,,,
10,d‘hom-,som—,retom—,com—-,trom—,recom—,innom—,som—-,,,,,,,,,,
11,Oak!,ÈU,Oak,,,,,,,,,,,,,,,
12,Apaches,Apac,machete,détache—,Caché,Approchez,,,,,,,,,,,,
13,s’,Ils s’,Le mayoral_s’,,,,,,,,,,,,,,,
14,"269

Loyal",A26,Cœur—Loyal,"2h}.

Loyal",,,,,,,,,,,,,,
15,très—,TR,tr0p,trou—,Trêve,.0,letras,,,,,,,,,,,
16,Cà,Espagne,besogne,L‘Espagne,d’Espagne,L‘Allemagne,magni—,gne,Espagnols,,,,,,,,,
17,tOut,b0ut,épouvaute,Tout—Puissant,écoutez—,h51,Œnvtos,,,,,,,,,,,
18,hâte-toi,Hâte—toi,Hâtez,tOi,,,,,,,,,,,,,,
19,Américaine,camé—,Américains,Américaines,,,,,,,,,,,,,,
20,Ein-ape,capi—,"capi—
taine",Certain,G3PITAINE,,,,,,,,,,,,,
21,"étran—
ger",étran—,"dan—
gers","ven—
ger",,,,,,,,,,,,,,
22,coup—d’œil,vou—-,cou—-,Coq,parcou—,éprou—,décou—,Coulon ®.—ÆÈÊ,murmu—,beau—,sou—-,Cordoue,,,,,,
23,J,t’,H,,,,,,,,,,,,,,,
24,l’,l’heure,L’,l’-,A l’,Enﬁn l’,,,,,,,,,,,,
25,Océans,océan Paciﬁ-,Oc,,,,,,,,,,,,,,,
26,"golfe de Cali-
fornie",rue de I‘Ahl,fornie,golfe de Cali-,,,,,,,,,,,,,,
27,incompréhensi—,conﬁnée,consi—,consola—,rési—,circonstan—,condui—,conﬁer,transi—,,,,,,,,,
28,répu—,Répondez,Bermudez,dépo—,"se—
conde",répondrez,,,,,,,,,,,,
29,& v.,no—,dénoû—,so—,grigno—,physiono—,nor-bay nogomé,,,,,,,,,,,
30,Amérique du Sud,Utique,améri—,Amérique,l'Amérique,Mexique,Amérique du Nord,nes de l’Amérique,l’Afrique,Améri—,Amérique des ﬂuctuations inﬁnies,Afrique,Amérique méridionale,,,,,
31,fai—-,plai—,prai—,éclai—,appli—,impla—,plaine,,,,,,,,,,,
32,Cher,cher,torche,tre àla recherche du Cœur Loyal,eû‘aroucher,Tâchez,tercushenan,Ch,cher—,B;chei,enchevê—,lâcherez,,,,,,
33,Le soleil,le soleil,le specta—,T,leil,soleil,Soleil,le Soleil,Le Soleil,,,,,,,,,
34,lzatto,Izatto,,,,,,,,,,,,,,,,
35,Attendre,Attends,dre,attendrisse—,,,,,,,,,,,,,,
36,"géné—
ral prie",néral,"géné—
ral",géné—,G’,,,,,,,,,,,,,
37,Peinture,r. nt} c.,inté—,Acôté,expé—,mysté—,exté—,intré—,,,,,,,,,,
38,Arrivés,arrière—,rivière Rouge,Rosario,légère—,Derrière,arrivè—,,,,,,,,,,,
39,Gomanche,Comanohee,coman—,Comauches,Comanches,Blanche,Les Comanches,Gomanches,manche,malheu—,Camanc,œil du Comanche,Comanches s’,piste des Comanches,maﬁœçVt6,Comanche,,
