cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,el Cerro,t0t,Cerro,l.,,,,,,,,,
1,Oceans,Normans,JE=,sansaimer,Ba-,,,,,,,,
2,Donnez,aH08,et270,mignonne,Quale pcrsonnes,Eshis,,,,,,,
3,Pousse,vousinteressez,Russe,Avez-yous,maussade,assezlourd,poussat,,,,,,
4,nation258,falo,Denomination,Natosh,sgnt9 piation,ter  cette operation delicate,,,,,,,
5,Vert de gris,bon3,CAYERNE DU YERT DE GRIS,grotte du vert de gris,hravo,vecu,traluit du banois,,,,,,
6,Etats,Etat,Etats Barbaresques,Etats de Durango,,,,,,,,,
7,mornes,ar-,orne,VI,Eh,I29,,,,,,,
8,prairie168,"prairie168
LES TAPPEURS",clairiere oi,parole168,--Je,laprairie,,,,,,,
9,IES TAPPEURS DE L'AIKANSAS,TAPPEURS,IAPPEUnS,IES TAPPEURS,"quelques386
LES TMAPPEURS",TIAPPEUS,"TAPPEURS
- Voici",IES ITAPPEURS,"dupe,60 tES TAPPEURS DE LAKANSAS",I,ITAPPEUR9,ILES TAPPEURS,TAPPEU9
10,bleutre,"autre,3l0",a22,,,,,,,,,,
11,depit,Pitic,c0,m-,Jupiter,- Caspita,,,,,,,
12,TAPEUS,i83,TIAPEUS,Lo TAPEUIS,,,,,,,,,
13,aeil,Leil,OEil,"conseil.278
LES","..-
-",laeil,uyes,,,,,,
14,commengca,somme,Nonchalamment,s0mme8,Hommes,N,commuaute,,,,,,
15,Helasl,même360,Elan,.1n,et6e relabli,,,,,,,,
16,Arrives,Arrive,arriere,arriveel,arrivel,Arrivesur,p e,Lives,,,,,
17,moyen3,a77,c0loyer,fievre,Voyez,,,,,,,,
18,ger,gers,0 c.,I09,t.es,,,,,,,,
19,Frangais,Durango,vo,sarrange,avecun sang,Quarante,,,,,,,
20,s36,lentree,Lentreue,entrecoupee de montagnes,,,,,,,,,
21,Aprbs,45 I.,Après7,,,,,,,,,,
22,sa-366,Createur,Geur,LÀ T0,Hoyiu,SAUEUR,PEUR,t27,Linterieur,Ceur,,,
23,Ouaktehno,Ouaklehno,Oualtehno,piralte,,,,,,,,,
24,Belhu-,Belhumeur,ditBelhumeur,Belhumeurl,Huml,Belhueur,Bellumeur,Belhumenr,,,,,
25,cetle,etle,Etle,Ia,,,,,,,,,
26,srete,h,S,surete,- Arretez,,,,,,,,
27,robert6 de vos membres,cambree,chambre separee,A15,,,,,,,,,
28,tue1,opposee,habituee,A23,petuee,,,,,,,,
29,l'aieul,l'Aigle,Aiglel,"Tete
l'Aigle","Mole
d'Aigle",Aigle,,,,,,,
30,- MIa merel,D,Ah-,Flora meicana,rancon de ma mere,Ah1,A minuit,ephemere,,,,,
31,textevenu,Quoi7,vengel,severe,,,,,,,,,
32,in-8-,I107,in-8,3r,A6,n-8,,,,,,,
33,t.a10,regler,regle,ler,,,,,,,,,
34,Blancs,blan.s,et6e,Tte Blanche,,,,,,,,,
35,stacles,Aacleia,Miracle,AS',,,,,,,,,
36,Finissons-en,beissons,N(C,Pnis,,,,,,,,,
37,"campI
- Pardieul",Dieune,Phebe,Prie-Dieu,P,DieuI,quelajeune,Lejeune,i-12,---,,,
38,Jesu-,amesure,figurez,armes.a6,,,,,,,,,
39,desert,desertee,desert deroulait,sert7,,,,,,,,,
40,cepays,jaccepte,Opatas,l53,,,,,,,,,
41,italie,Italie,colie,Canalien,,,,,,,,,
42,Lorsqe,decoloree,alors.1il,,,,,,,,,,
43,t0t  Guaymas,Guadalazara,Guaymas,Guadeloupe,,,,,,,,,
44,"-
-",d6-,melttez,Hâtez,- Remettez,melis,ILe,,,,,,
