cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,"T F
T
LA PRAIRIE",clairages,prairie168,LA T0RTUHL,,,,,,,,,,
1,Peaux Rouges7,riviere Rouge,Peaux Rouges,deux Ocean,Peaux Rougesetles,TFt,,,,,,,,
2,"conseil.278
LES",les96,LES,"pais.8n
LES APPUIS",Les,LEs,.--c,".--EeA20
LEs",vo,,,,,
3,Belhumenr,Belhumeur,3r,Bellumeur,ditBelhumeur,Belhumeurl,Ca,Belhu-,t27,Belhueur,,,,
4,Quebec,que',nice,de226,Quelque,Attaques,,,,,,,,
5,Chacun,MeursaiIr,CHAsSEURS,Leurs,Leschasseurs,gr,a08,l assez-le l,Hor simples MeursaiIr,OurS.,otr,tue1,se196,LAGRASSE
6,Etats-Unis,Les Etats-Unis,eTats-Unis,Pieds-,I09,CG',,,,,,,,
7,Coeur Loyal,"mer du
Coeur Loyal",Leur Loyal,mer du Coeur Loyal,mer du Leur Loyal,Je,Gaeur Loyal,LEUR L0YAL,Coeur Loyal paula,Coeur Local,7 i.,,,
8,d'Espagne,vie?Je espagne,I39,Espa-,espagne,Espagnols,orne,Espagnol,voi,Accompagnera,,,,
9,fensive,Tiens,depens,Lives,Smolensk,a77,,,,,,,,
10,Partez,- Partez,Carthage,Parties,gal du depart,C,l35,,,,,,,
11,Sierra Madre les Indiens,Sierra Madre,sie,A minuit,Sierra CAdre,,,,,,,,,
12,lavie,vie.vI,Vieme,meme360,",lemerre",h,,,,,,,,
13,PSYCOL0GIE,danois,D,l a,decoloree,colere,,,,,,,,
14,Voil,Mexique,Mlexi-,mexique,Eshis,"A-
mexique",,,,,,,,
15,Sermon,Hermosillo,dHermosillo,"Herm-
sillon",,,,,,,,,,
16,Lejeune,Ba-,quelajeune,Dieune,,,,,,,,,,
17,MExicains,cathedrale de Mexico,Mexico,gamUusinos mexicains,Mexicaine,camp des Mexicains,Bar,Mexicains,,,,,,
18,ygee,hatto,vecu,J1,,,,,,,,,,
19,"malade7
- Pas moi",Malgre,Phoebe,malte,gre,et106,,,,,,,,
20,Canadien,Flora meicana,Canadienne,ganado,LACAN5AS,E,Va,CAna-,,,,,,
21,indiens,Indien,Jesu-,t38,Les Indiens,Indiens,Indiennes,Indies,sion indienne,L'Indien,,,,
22,tont,Monte,mone,mons,,,,,,,,,,
23,grotte du vert de gris o,grin,grotte oh lejour,i-,Vert de gris,grotte de la riviere,,,,,,,,
24,-DE,pas-DE,.1n,pasto,,,,,,,,,,
25,Ab59,hacienda del Milagro,del Milagro,Lu-,lagonie,LHACIENDA DEL MILAGR0,I29,,,,,,,
26,Indens,Inde,joindre.16,conde,,,,,,,,,,
27,La Providence,Providence,Prompt,Linproiisioro,,,,,,,,,,
28,Leperos,Plateros,i83,lepero,,,,,,,,,,
29,en',ARKANSAS5,"mer du
LE-DE ARKANSAS",ARKaNSAS,Arkansas,KANSAS5,LAlIKANSAS5,Que-De ARKANSAS,,,,,,
30,sophiquementle,yII,nement,"pas
- Entierement",Nonchalamment,,,,,,,,,
31,france,defrance,rancon de ma mere,France,Francais,,,,,,,,,
32,gers,alger,0 c.,ger,,,,,,,,,,
33,IES RAPPEURS,LES RAPPEURS9,"dupe,60 tES RAPPEURS",RAPPEURS,RAPPEUR,,,,,,,,,
34,manche,Comanches,Tte Blanche,piste des Comanches,la manche,Comanchessont,Roman-,Les Comanches,"Roman-
ches",Comanche,C0MANCHEs,,,
35,J',Aussit0,possible7,Cessita,Sit,Mississipi,,,,,,,,
36,Quoi7,entrecoup,sentra,I,IL1,echo,ecouta,entrecoupee de montagnes,,,,,,
37,europe,deurope,Europe,l'Europe,Gouveruemeuls de l'Europe,,,,,,,,,
38,el Cerro,Cerro,gsece,,,,,,,,,,,
39,sauver.3:8,sauvezl,sauverail,severe,,,,,,,,,,
40,chine,fois.28l,Chinois,"ha-
seine",chine-liege,Chine,,,,,,,,
41,l'Amerique du Sud,rue du Rosaire,I',Amerique,Amerique du Sud,Luz,l'Amerique,Amerique du Nord,ar-,"Amerique ridionale
expir",,,,
42,Apaches,bitche,mtches,Caches,Eh,mayenne matches,,,,,,,,
43,OEil,oeil,TRi-,laeil,Oeil,7I,"Buf-
faso",,,,,,,
44,regle,regler,sepulcre,ler,Regardez,leDE,,,,,,,,
45,fr,Crics,Americains,Americaines,,,,,,,,,,
46,arreles,- Arretez,carrey,Ls,A157,,,,,,,,,
47,au-,Aucune,Lune,mune,N0,lune,,,,,,,,
48,Pirates,D0ACTEUR,Createur,Am-,Quate,A6,,,,,,,,
49,Mezcal,"calle del Rosario,-",Salvator Rosa,,,,,,,,,,,
50,meles,sang-mele,mele,tele,pele-mele,melis,,,,,,,,
51,mignonne,loigna,Pumas,,,,,,,,,,,
52,cher,breche,Lherbe,cheval.2l8,z':;.-,,,,,,,,,
53,Arrives,Arriver,river7,Arrive,,,,,,,,,,
54,metropole,volez,t.a10,t.es,trot,Acropolis,A,,,,,,,
55,Apres,mee resultat,prets,pres,epreues,"2--
aupres",,,,,,,,
56,Linsee,Cassini0moins,Inigo,Rafael,Assis,lassassin,,,,,,,,
57,tete haute,tete,Tete,,,,,,,,,,,
58,Veillerai,deauville,Cordilleres,reille,vis-h-,Familles,Yankees,lir,reveillee,,,,,
59,Pana-,camp,45 I.,"camp
- Pardieul",campana,c0te du Cerro de la campana,,,,,,,,
60,Angleterre,deterine,Albacete,g-----,anxiete,surete,Etes,,,,,,,
61,Cetait,suite2,Faite,Misait,Lavait,,,,,,,,,
62,Caballero,calle San-Agustin,Allemagne,alle,- Follet,alluma,,,,,,,,
63,garon,wagon,Gymnase,so,,,,,,,,,,
64,Abandonnera,.--EeA20,general,ner,- General,neral,jets.3l,general3,,,,,,
65,grace,Trace,s0ns,letras,Alaceyte,Miracle,,,,,,,,
66,Voulez,toul,Boulot,,,,,,,,,,,
67,Ouaktehno,Ouaklehno,Oualtehno,,,,,,,,,,,
68,In-l2,in-3,In-1E,,,,,,,,,,,
69,Allons,lons,nousvoulonsjouir,Finissons-en,Lon,,,,,,,,,
70,vOyais,spee,bahamas,jamais1,et270,l53,sais,,,,,,,
71,nenl,Etats Barbaresques,Etat,paule,Etats,Etats de Durango,etats,,,,,,,
72,armes.a6,chapperont,APPELS,APPEL8,TAPPEU9,,,,,,,,,
73,Guadeloupe,Guadalajara,A15,marmara,jaguar,de,P,tala,,,,,,
74,c0loyer,ca,Voyez,"moyen3
- Est",moyen3,Moyen Age,,,,,,,,
75,c6te,Puissance,Lenfance,i-12,Blancs,BAlANcer,Lancers,,,,,,,
76,Courage,sarrange,Auras,Durango,,,,,,,,,,
77,"ILES 1APEUR
- Ils","quelques386
LES TRAPPEURS",ILES TRAPPEUR9,"parole168
ILES TRAPPEURS",a375,,,,,,,,,
78,"n0
Eusebio",Syracuse,breuse,"rendaientsongeuse
i190",,,,,,,,,,
79,- On1,TRAPPES,trappes,alpes,,,,,,,,,,
80,Lendroit o,Croit,crois7,calecon troit,,,,,,,,,,
81,La Tele d'Aigle,Tele d'Aigle,"Tete
d'Aigle",La Tete d'Aigle,piste de la Tete d'Aigle,Tete d'Aigle,Tete d' Aigle,Tete d'aigle,Tete dAigle,,,,,
82,ns,selle,le-,"celle-l.
Dona Luz",danslaquelle,,,,,,,,,
83,Ih-,Compare,repara,paris,Par-,parole168,,,,,,,,
84,Sonora,Ehl Corail,0li-,Etat de Sonora,senora,,,,,,,,,
85,- Remettez,extremitles,textevenu,extreme,,,,,,,,,,
86,"autre,3l0",tre,bleutre,"au-
tre",trc::r,,,,,,,,,
87,gne,pologne,gne7,Aexns,,,,,,,,,,
88,difficult,Grand Chef des Auras,Lol,songrand,Grand Chef des,Grande,,,,,,,,
89,"la-
ble",grenoble,- Dici,renonca,,,,,,,,,,
90,nzz::::::--,z::::z,zc:.:z::cc,z::::-,"z:::,;::;:;:IGn",,,,,,,,,
91,Soleil,Le soleil,le soleil,Le Soleil,soleil,le Soleil,,,,,,,,
92,-iiiiiii.ii,etle,Etle,,,,,,,,,,,
93,commengca,Hommes,somme en-DE,somme,commuaute,s0mme8,,,,,,,,
94,gand,demander7,FLAMANDS,,,,,,,,,,,
95,limpunit,reunion,reunis,,,,,,,,,,,
96,et6e,Aguilar,Rio Gila,,,,,,,,,,,
97,Tache,machete,achet8,tachet,,,,,,,,,,
98,decrire,retirez,Derrire,Moires,choire,,,,,,,,,
99,Babil-,Babillard,Babillard7,"Jardin i
ton",,,,,,,,,,
100,cernaut,utah,Sautant,,,,,,,,,,,
101,lequilibre,cambree,chambre separee,bree,,,,,,,,,,
102,deput,- Caspita,Piti,depit,,,,,,,,,,
103,ter hier,- Guerriers,Hier,,,,,,,,,,,
104,Ee,rer,vousinteressez,I107,Gambusino,Gambusinos,gambusinos,,,,,,,
105,"Tele
d'Aigle","Tete
l'Aigle",t23,Aigle,l'Aigle,l'aieul,,,,,,,,
106,je32,"---
- Madame la Ml",C0te,"..-
-","-
-",,,,,,,,,
107,Italie,australie,ge,paliers.8l,italie,Lieu,,,,,,,,
108,hesita,Jupiter,Nhesitez,hesiter,,,,,,,,,,
109,"Palais et
Apaches",Anglais,Palais,etais sr,palais quil,,,,,,,,,
110,Merced,sansaimer,suez,LAnSANA,,,,,,,,,,
111,A23,Pluie,A99,--Je,,,,,,,,,,
112,pr-DE LIBANAIS,connaissez,venaison,d6-,,,,,,,,,,
113,aec,t0t,t0t  Gymnase,,,,,,,,,,,
114,perils,perlis,Ai-,perdu1,percut,,,,,,,,,
115,Societ,Acacia,lhacienda,guer-,LHACIENDA,cienda,,,,,,,,
116,Och 1l,in-8-,in-8,2v.in-8-,,,,,,,,,,
117,Helas,Llan,Delawares,langres,rElan,on118,Elan,,,,,,,
118,nes de l',piste des jaguars,Ooouhl,golfe de Cali-,pise,piste de la,rue de l'Abbaye,,,,,,,
119,Cl,ades,Etudes,des-2l,,,,,,,,,,
120,loyaut,"Ces-
Loyal",Leur-Loyal,Loyal,"Cer
Loyal",Caduc Loyal,,,,,,,,
121,Bermudez,"accoutumes a bra-
ver",Cordoue,Accordez,,,,,,,,,,
122,atlanta spectacle,nantes,Vivant,Quarante,Avantde,,,,,,,,,
123,CEs,L o on Elio,delices,,,,,,,,,,,
124,L'ouest,Chimborazo,chichikoues,,,,,,,,,,,
125,Ah1,Pacifique,Utique,l'Afrique,Afrique,,,,,,,,,
126,ain,Convaincu,Incas,Vaincue,,,,,,,,,,
127,Vienne,liennes,Kennedy,enne,mornes,ennes,rennes,,,,,,,
128,russie,Pousse,rusalem,Russe,,,,,,,,,,
129,"Eh bien 
- Il","anveeraoosent
-",Bientot,Bientt,Tres-bien,Combien,bient0ts',bientot,,,,,,
130,Denomination,batie,ter  cette operation delicate,Rvolution,lexpedition,nation258,,,,,,,,
131,sert7,desertee,desert,,,,,,,,,,,
