text,cluster,cluster_corrected
sierra Madre,-1,
Chinois,-1,
Pitic,-1,
Mocksens,-1,
Grande,-1,
tercushenan,-1,
La Tête,-1,
Panama,-1,
– Holà,-1,
pasto,-1,
II,-1,
brunie,-1,
jardin des Oliviers,-1,
obligeât,-1,
Rafaël,-1,
Delawares,-1,
Opatas,-1,
Tiens,-1,
Combien,-1,
matanza del ganado,-1,
du Nord,-1,
sais,-1,
volez,-1,
Délicate,-1,
piste,-1,
A,-1,
jeun,-1,
I,-1,
Caballero,-1,
Flora mexicana,-1,
ashahas,-1,
épargnez-les-moi,-1,
–,-1,
Bermudez,-1,
Chimborazo,-1,
Arkansas,-1,
Ouaktehno,-1,
Och,-1,
sang-mêlé,-1,
Merced,-1,
Mexico,-1,
golfe de Californie,-1,
Çà,-1,
cathédrale de Mexico,-1,
Chacun,-1,
– Aucune,-1,
lanceros,-1,
Sept,-1,
Indiennes,-1,
– Parfaitement,-1,
Cricks,-1,
Buffalo,0,
buffalos,0,
Le Cœur-Loyal,1,
Le Cœur-Loyal sourit,1,
Le Cœur,1,
Cœur-Loyal,1,
Meegvoitch,2,
Voilà,2,
Acropolis,3,
Tripoli,3,
"– Oui, appuya Belhumeur",4,
– Oui,4,
Belhumeur,4,
Ooah,5,
– Ooouh,5,
Ooouh,5,
Québec,6,
Phébé,6,
Nègre,7,
Le Nègre,7,
Jupiter,8,
Nègre Jupiter,8,
Docteur,9,
Créateur,9,
l'Europe,10,
Europe,10,
Régences d'Alger,11,
Providence,11,
La Providence,11,
Vieux-Chêne,12,
chêne-liège,12,
la feuillée,13,
Aguilar,13,
rio Gila,13,
Babillard,13,
Habitués,13,
– Caché,14,
Caché,14,
grotte du Vert-de-gris,15,
Vert-de-gris,15,
Vert-de-Gris,15,
trappes,16,
letras,16,
Armés,17,
Cuivrés,17,
Arrivés,17,
Linnée,18,
hein,18,
Jesusita,19,
Señorita,19,
Syracuse,20,
Miracle,20,
Russe,21,
us,21,
Arrêtez,22,
– Arrêtez,22,
Guadalajara,23,
Guadeloupe,23,
Pimas,24,
Guaymas,24,
alguazils,24,
hacienda del Milagro,25,
hacienda del milagro,25,
Mississippi,26,
Assiniboins,26,
Assis,26,
Vaincue,27,
Convaincu,27,
Incas,27,
Prompt,28,
Prologue,28,
Eshis,28,
Rome,28,
Luz,29,
J'ai,29,
alluma,29,
soleil,30,
Soleil,30,
le Soleil,31,
Le soleil,31,
Le Soleil,31,
le soleil,31,
Peaux-Rouges,32,
rivière Rouge,32,
Rouges,32,
Pérou,32,
– Commençons,33,
Hommes,33,
Nonchalamment,33,
Sommes,33,
San Agustin,34,
calle San Agustin,34,
Carthage,35,
Osages,35,
Élan-,36,
L'Élan-Noir,36,
Élan-Noir,36,
Noirs,37,
Pieds-Noirs,37,
Sonora,38,
État de Sonora,38,
VI,39,
Vivant,39,
Quarante,39,
Sauvée,39,
Sautant,39,
États,40,
État,40,
États barbaresques,40,
États-Unis,40,
États de Durango,41,
Durango,41,
– Quels,42,
– Que,42,
"– Quant à vous, ma nièce",42,
de l'Ouest,43,
Ouest,43,
Abandonnera,44,
mignonne,44,
– Non,44,
Confédération,45,
péon,45,
Salvator Rosa,46,
Natosh,46,
calle del Rosario,46,
rue du Rosaire,46,
– Attends,47,
hatto,47,
d'Espagne,48,
Espagnols,48,
Espagnol,48,
– Trêve,49,
– Trois,49,
pacifique,50,
Pacifique,50,
Océan,50,
océan Pacifique,50,
– Écoutez !,51,
– Écoutez,51,
Écoutez,51,
– Essayez,52,
– Voyez,52,
– Est,52,
– Espérez,52,
– Venez,53,
– Tenez,53,
TUE,54,
– Tuez,54,
juez,54,
Américains,55,
Américaines,55,
Mexique,56,
Utique,56,
Amérique,57,
l'Amérique,57,
l'Afrique,57,
l'Amérique du Nord,57,
– Rendez,58,
– Relevez,58,
Répondez,58,
Avez,58,
– Figurez,59,
retirez,59,
– Rassurez,59,
Chercher,60,
Cher,60,
Apaches,61,
Apacheria,61,
camp des Mexicains,62,
Mexicains,62,
gambusinos demi-sang,63,
gambusinos,63,
Gambusinos,63,
gambusinos mexicains,63,
Reculerais,64,
Veillerai,64,
Conseille,64,
selle,64,
– Veillerai,64,
Hermosillo,65,
Sermon,65,
Montagne,66,
Montagne de la cloche,66,
Monté,66,
el Cerro,67,
Cerro,67,
Cerro de la campana,67,
Pawnees,68,
eskennane,68,
Yankees,68,
Canadien,69,
Canadienne,69,
Hâtez,70,
– Hâte-toi,70,
Mettez,70,
– Hâtez,70,
Leperos,71,
lepero,71,
Accordez,72,
Cordoue,72,
Regardez,73,
– Gardez,73,
Gardez,73,
L'Indien,74,
Indien,74,
Indiens,74,
Les Indiens,75,
Indiens Lune,75,
los Plateros,76,
Plateros,76,
– Pauvre,77,
mornes,77,
– Pauvre Cornejo,77,
Cornejo,77,
Anglais,78,
Angleterre,78,
– Pas moi,79,
– Pas trop bien,79,
– Pas,79,
– Pas encore,79,
venaison,80,
Bison,80,
Cortez,81,
Partez,81,
– Partez,81,
– Pardieu,82,
– Pardieu !,82,
– Pardon,82,
Puissance,83,
Français,83,
France,83,
Blanc,84,
Tête-Blanche,84,
Châteaux Blancs,84,
Blancs,84,
Tête-,84,
Aigle,85,
piste de la Tête-d'Aigle,85,
Tête-d'Aigle,85,
maison du Blanc,85,
manche,86,
piste des Comanches,86,
Comanches,86,
Comanche,86,
Les Comanches,86,
piste des jaguars,87,
piste des,87,
