cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0,bruyeres tres hautes,M,bruyeres,Pas tres,,,,,,,,,,,,,,,,
1,I,G,,,,,,,,,,,,,,,,,,
2,baissee,passee,serree,lasserl,,,,,,,,,,,,,,,,
3,A,,,,,,,,,,,,,,,,,,,
4,reveillon,Gabrielle,Le soleil,Villevieille,voilÀ1Elle,Orgueilleuse,allees,ILl,exiles,le soleil,"vieille
Bibiche",Vin,IL L,"IL M
 ICI",E,Mlle Maximilienne,Ville-,tilleuls,I',Castille
5,Paques,Quelque,z=,Quelquefois,,,,,,,,,,,,,,,,
6,P,,,,,,,,,,,,,,,,,,,
7,F,"Mouy-
ches",pimbeche,Cache,ca,cheminee,Castle,lacai,Bibiche,accrochee,,,,,,,,,,
8,Combien,Communs,miens,,,,,,,,,,,,,,,,,
9,Madeleine,poele,poche;elle,ler,Noel,Ad2le,Elle ajiouta,,,,,,,,,,,,,
10,"II
IIIIIII
A",II,IlIi,,,,,,,,,,,,,,,,,
11,moitie,Dit,Moi,,,,,,,,,,,,,,,,,
12,luisantsde,ainsi.r,Josai,Saintes Huiles,laSainte,la Saint-eau,Maintenant,Sainte-Montagne,Saint-Jean,N5,La Saint-Iean,,,,,,,,,
13,S,,,,,,,,,,,,,,,,,,,
14,Seur Marie-Aimee,Soeur Marie-Aimee,Marie-Aimes'occupant,Marie-Aime Pas-,Marie-Aimee,Narie-Aimee,Seur Marie-Aime,Seur Maie,Marie-Aime,ar-,arie-Aimee,Marie-Aimee lavit,,,,,,,,
15,siege,Vierge,.Hier,ger,lingerie,,,,,,,,,,,,,,,
16,Appela,La Femme,Chemineau la Bete,la Blanche,Mla-,ecroula,Blanche,manche,voila Henri,la manche,,,,,,,,,,
17,Eugkne,Augustine,Eugne,Sologne,Saeur,Eugene,1'afne,,,,,,,,,,,,,
18,guettais,Jetais,voyais,aimais,etais tres inquiete,repetais,etais,Javais,etais glacee,.'avais,etaissre,,,,,,,,,
19,barriere de peupliers,chateau du Gue Perdu,Gue Perdu,"Gue
Perdu",,,,,,,,,,,,,,,,
20,superieure,Paris,Ismrie,Ismerie,,,,,,,,,,,,,,,,
21,bobo,champ de ble,Table,champs de ble,,,,,,,,,,,,,,,,
22,Vronique,bcheron,Veronique,vecu,,,,,,,,,,,,,,,,
23,prikre,pre,Malgre,fievre,Apres,precher,refectoire,,,,,,,,,,,,,
24,obeir,bELle-Eil,Bel-Eil,Bel-,,,,,,,,,,,,,,,,
25,piece,de France,grace,-L,violacee,,,,,,,,,,,,,,,
26,Mlanie,Melanie,Rome,grosse Melanie,grosse Mlanie,,,,,,,,,,,,,,,
27,Chicon,pre Chicon,,,,,,,,,,,,,,,,,,
28,nuages.a6,Agathe,gagea,S5,,,,,,,,,,,,,,,,
29,soiree,Parfois,So-,Sois,foins,ri Deslois,buis,,,,,,,,,,,,,
30,Automne,Mattre,Au-,autrE,,,,,,,,,,,,,,,,
31,"1 I1MARIE-CLAIRB
noire",MARIE-CLAIR,Marie-Claire,"I


 AH",1 I1MARIE-CLAIRB,laMARIE-CLAIRB,MARIE-CLAIRB,notre Marie-Claire,,,,,,,,,,,,
32,jE,JE=,,,,,,,,,,,,,,,,,,
33,allee des chataigniers,chitaigniers,chataignier,,,,,,,,,,,,,,,,,
34,e,,,,,,,,,,,,,,,,,,,
35,des-Ange,Sur Desiree-des-Anges,Desire-des-Anges,Tirande,Desiree-des-Ange,hesita,es-,Es,Seur Desiree-des-Ange,Desiree-des-Anges,Dansces,,,,,,,,,
36,M.Alphonse,alluma,Allonsl,,,,,,,,,,,,,,,,,
37,C6te,tetes,Tes,Arrêter,Texpliquai,prte,tournai la tete,betes,servantel,jetee,bete,tete,c6te,,,,,,,
38,J',Douze,fourrai,noux,,,,,,,,,,,,,,,,
