cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37
-1,I,Tn,J'ai 1'il,W,N5,E,ar-,champs de ble,ri Deslois,Agathe,S5,peaUsserie,voila Henri,Disposer,"P S
D or",leuse,S,crmonie,Eugene,IM,M,I',passee,J',G,Vin,garons,Bichkek,A,S-,Pas tres,hesita,Augustine,"I
R",z=,Josai,F,e
0,"Gue
Perdu",Gue Perdu,chateau du Gue Perdu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,deput,cambrai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Douze,"EZEKIEL I.

ze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"II

S","II

l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,II,"II
IIIIIII
YA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,obeir,bobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,de France,Tirande,grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,chataignier,Chataigners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,vecu,piece,ainsi.r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Lanie,Melanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,grosse Melanie,La grosse Lanie,grosse Lanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,J'hitachi,pre Chicon,Chicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,alluma,Malgre,Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Combien,miens,Communs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ronique,Chronique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,poele,Noel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Madeleine,Ad2le,paule,le soleil,"L,-lE",-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,la manche,manche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Blanche,la Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pugne,cognac,Sologne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,.'avais,Javais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,precher,bucheron,pimbeche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,etais,Jetais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,c6te,tete,arrete,"ma
tete",tournai la tete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,betes,Bete,bete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Gabrielle,poche;elle,Brioche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Vierge,.Hier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,reveillon,IL,Villevieille,ILl,Castille,Ville-,Bel-Il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Saintes Huiles,h saInte,Sainte-Montagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,La Saint-Jean,Saint-Jean,Saint-jean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,nuages.a6,gagea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,repara,menara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,voyais,aimais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Soeur Marie-Aimee,arie-Aimee,Marie-Aimee,Maie-Aimee,Aimee,mee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CARIB-CLAIRE,mainMISE-CLAIRE,notre Marie-Claire,Marie-Claire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,clare,delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Cache,Bitche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Desire-des-Anges,Direct-des-Anges,Desire-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Parfois,Paris,Sois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,buis,Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Quelque,Paques,Quelquefois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"mer
Colas",mer Colas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Acheminer la Bete,Acheminer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Orgueilleuse,Acheminer l'Orgueilleuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Premiere,Apres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Es,M.Alphonse,Danses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Istrie,expatri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ger,ge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ismerie,Merci,lingerie,superieure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
