cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0.0,soiree,serree,Sois,refectoire,,,,,,
1.0,luisantsde,servantel,buis,,,,,,,
2.0,Gabrielle,Rvelle-to,allees,poche;elle,Elle ajiouta,,,,,
3.0,bruyeres tres hautes,Mattre,bruyeres,Pas tres,,,,,,
4.0,baissee,passee,lasserl,,,,,,,
5.0,Tirande,de France,Tireli,,,,,,,
6.0,Villevieille,ILl,"vieille
Bibiche",Ville-,Castille,,,,,
7.0,Vronique,Texpliquai,Veronique,,,,,,,
8.0,Paques,Quelque,Quelquefois,,,,,,,
9.0,Orgueilleuse,ger,tilleuls,leuse,,,,,,
10.0,Combien,Communs,Mlle Maximilienne,miens,,,,,,
11.0,Eugkne,Eugne,Eugene,,,,,,,
12.0,Madeleine,poele,Noel,,,,,,,
13.0,Josai,Saintes Huiles,laSainte,Saint-ean,Maintenant,Sainte-Montagne,,,,
14.0,Seur Marie-Aimee,Soeur Marie-Aimee,Paris,Marie-Aimee,Narie-Aimee,Maie-Aimee,arie-Aimee,Marie-Aimee lavit,,
15.0,guettais,Jetais,voyais,aimais,etais tres inquiete,repetais,etais,Javais,.'avais,etaissre
16.0,Augustine,Chemineau la Bete,cheminee,,,,,,,
17.0,arrete,tetes,tournai la tete,"ma
tete",jetee,tete,,,,
18.0,"IlIi
I","II
IIIIIII
YA",IlIi,,,,,,,
19.0,chateau du Gue Perdu,Gue Perdu,"Gue
Perdu",,,,,,,
20.0,Tes,betes,bete,,,,,,,
21.0,superieure,Ismrie,Merci,Ismerie,lingerie,,,,,
22.0,exiles,le soleil,Eile,Bel-Eil,,,,,,
23.0,Deslois,ri Deslois,,,,,,,,
24.0,Chicon,pre Chicon,,,,,,,,
25.0,barriere de peupliers,Vierge,.Hier,,,,,,,
26.0,nuages.a6,gagea,,,,,,,,
27.0,logne,Sologne,,,,,,,,
28.0,pimbeche,bcheron,pre,Apres,precher,,,,,
29.0,Mlanie,Melanie,Mla-,grosse Melanie,grosse Mlanie,,,,,
30.0,"1 I1MARIE-CLAIRB
noire",Marie-Claire,1 I1MARIE-CLAIRB,laMARIE-CLAIRB,MARIE-CLAIRB,notre Marie-Claire,,,,
31.0,Tn iour,fourrai,,,,,,,,
32.0,Seur,Seur Maie,Saeur,,,,,,,
33.0,ainsi.r,Parfois,foins,,,,,,,
34.0,allee des chataigniers,chitaigniers,chataignier,,,,,,,
35.0,Sur Desiree-des-Anges,Desire-des-Anges,Seur Dsiree-des-Anges,hesita,es-,Seur Desiree-des-Anges,Desiree-des-Anges,,,
36.0,lacai,etais glacee,grace,violacee,,,,,,
37.0,Cache,Bibiche,ecroula,accrochee,,,,,,
38.0,la Blanche,Blanche,manche,voila Henri,la manche,,,,,
39.0,champ de ble,Table,champs de ble,,,,,,,
40.0,reveillon,M.Alphonse,alluma,Sautons,Allonsl,,,,,
41.0,Saint-Iean,fete de la Saint-ean,La Saint-Iean,,,,,,,
