text,cluster,cluster_corrected
reveillon,-1,
Gabrielle,-1,
F,-1,
I,-1,
Josai,-1,
G,-1,
arrete,-1,
A,-1,
Rvelle-to,-1,
Lse,-1,
Tes,-1,
allees,-1,
ILl,-1,
Madeleine,-1,
serree,-1,
Augustine,-1,
ca,-1,
Texpliquai,-1,
exiles,-1,
etais tres inquiete,-1,
moitie,-1,
S,-1,
prte,-1,
tournai la tete,-1,
Vin,-1,
M,-1,
hesita,-1,
poche;elle,-1,
J',-1,
rS,-1,
Rome,-1,
es-,-1,
lacai,-1,
Es,-1,
servantel,-1,
M.Alphonse,-1,
"P S
P or",-1,
E,-1,
Mlle Maximilienne,-1,
Malgre,-1,
Table,-1,
Ioo,-1,
grace,-1,
Mattre,-1,
fievre,-1,
ecroula,-1,
-L,-1,
jetee,-1,
YL,-1,
alluma,-1,
IM,-1,
U,-1,
S5,-1,
FE,-1,
z=,-1,
"I
R",-1,
Elle ajiouta,-1,
Sautons,-1,
e,-1,
Pas tres,-1,
voila Henri,-1,
Dansces,-1,
I',-1,
Allonsl,-1,
ar-,-1,
Tireli,-1,
c6te,-1,
Maie-Aimee,-1,
W,-1,
miens,-1,
soiree,0,
refectoire,0,
Tirande,1,
de France,1,
Parfois,2,
So-,2,
Paris,2,
Sois,2,
ainsi.r,3,
foins,3,
Combien,4,
NSJ,4,
Communs,4,
tetes,5,
"ma
tete",5,
tete,5,
betes,6,
bete,6,
Paques,7,
Quelque,7,
Quelquefois,7,
prikre,8,
pre,8,
Apres,8,
pimbeche,9,
bcheron,9,
precher,9,
Saintes Huiles,10,
laSainte,10,
Maintenant,10,
Sainte-Montagne,10,
Saint-Iean,11,
fete de la Saint-ean,11,
Saint-ean,11,
La Saint-Iean,11,
le soleil,12,
Eile,12,
Bel-Eil,12,
Villevieille,13,
Ville-,13,
"vieille
Bibiche",14,
Bibiche,14,
tilleuls,15,
Castille,15,
Orgueilleuse,16,
leuse,16,
Cache,17,
accrochee,17,
Desire-des-Anges,18,
Desiree-des-Anges,18,
Sur Desiree-des-Anges,19,
Seur Dsiree-des-Anges,19,
Seur Desiree-des-Anges,19,
Vronique,20,
Veronique,20,
obeir,21,
bobo,21,
Chemineau la Bete,22,
cheminee,22,
allee des chataigniers,23,
chitaigniers,23,
chataignier,23,
bruyeres tres hautes,24,
bruyeres,24,
guettais,25,
Jetais,25,
repetais,25,
etais,25,
etais glacee,25,
violacee,25,
etaissre,25,
baissee,26,
passee,26,
lasserl,26,
voyais,27,
aimais,27,
Marie-Aimee,28,
Narie-Aimee,28,
arie-Aimee,28,
Marie-Aimee lavit,28,
Seur Marie-Aimee,29,
Soeur Marie-Aimee,29,
Seur Maie,29,
Seur,30,
Saeur,30,
Marie-Claire,31,
laMARIE-CLAIRB,31,
MARIE-CLAIRB,31,
notre Marie-Claire,31,
"1 I1MARIE-CLAIRB
noire",32,
1 I1MARIE-CLAIRB,32,
Javais,33,
.'avais,33,
superieure,34,
Ismrie,34,
Merci,34,
Ismerie,34,
ger,34,
lingerie,34,
barriere de peupliers,35,
Vierge,35,
.Hier,35,
ler,36,
Ad2le,36,
Chicon,37,
pre Chicon,37,
manche,38,
la manche,38,
la Blanche,39,
Blanche,39,
nuages.a6,40,
Agathe,40,
gagea,40,
poele,41,
Noel,41,
Douze,42,
noux,42,
Tn iour,43,
fourrai,43,
Deslois,44,
ri Deslois,44,
piece,45,
vecu,45,
luisantsde,46,
buis,46,
chateau du Gue Perdu,47,
Gue Perdu,47,
"Gue
Perdu",47,
logne,48,
Sologne,48,
Eugkne,49,
Eugne,49,
Eugene,49,
1'afne,49,
champ de ble,50,
champs de ble,50,
Mlanie,51,
Melanie,51,
Mla-,51,
grosse Melanie,51,
grosse Mlanie,51,
"IlIi
I",52,
IlIi,52,
II,53,
"II

S",53,
"II
IIIIIII
YA",53,
