text,cluster,cluster_corrected
Sainte-Montagne,0,
Saintes Huiles,0,
La Saint-Jean,0,
Sautons,0,
miens,0,
Saint-Jean,0,
Sologne,0,
Villevieille,1,
Mlle Maximilienne,1,
Communs,1,
Castille,1,
Gué Perdu,2,
Rome,2,
alluma,2,
tremblées,2,
bobo,3,
château du Gué Perdu,3,
jappe,3,
Quelquefois,4,
Parfois,4,
– Vois-tu,4,
Martine,5,
Paris,5,
Ismérie,5,
notre Marie-Claire,5,
Combien,5,
Marie-Aimée,5,
Augustine,5,
– Tes,5,
Merci,5,
Vierge,6,
Chicon,6,
Hier,6,
Châtaigniers,6,
Vin,7,
buis,7,
Douze,7,
Tireli,8,
Orphelinat,8,
l'Orphelinat,8,
Tirande,9,
La grosse Mélanie,9,
Mélanie,9,
grosse Mélanie,9,
voyais,9,
– Donnez,10,
Quelque,10,
tournai,11,
Eau,11,
– Pourtant,11,
fourrai,11,
– Étoile,12,
Étoile,12,
Désirée-des-Anges,13,
lingerie,13,
Bel-Œil,13,
–,13,
Désiré-des-Anges,13,
Tiens,14,
– Pauvre,14,
manche,15,
la Blanche,15,
Bibiche,15,
la terre,15,
J',15,
de France,15,
la manche,15,
