text,cluster,cluster_corrected
Villevieille,0,
Mlle Maximilienne,0,
Bel-Œil,0,
alluma,0,
Vin,0,
Castille,0,
tournai,1,
– Pourtant,1,
fourrai,1,
Douze,1,
Martine,2,
Augustine,2,
– Donnez,2,
Sologne,2,
Quelquefois,3,
Quelque,3,
– Vois-tu,3,
Parfois,4,
Paris,4,
Ismérie,4,
buis,4,
voyais,4,
– Pauvre,4,
notre Marie-Claire,5,
Marie-Aimée,5,
tremblées,5,
Gué Perdu,6,
château du Gué Perdu,6,
Eau,6,
jappe,6,
bobo,7,
–,7,
Tireli,8,
Tirande,8,
de France,8,
Vierge,9,
lingerie,9,
Chicon,9,
Hier,9,
Châtaigniers,9,
Merci,9,
Communs,10,
Combien,10,
Sautons,10,
miens,10,
Tiens,10,
Orphelinat,11,
l'Orphelinat,11,
Rome,12,
La grosse Mélanie,12,
Mélanie,12,
grosse Mélanie,12,
– Étoile,13,
Étoile,13,
J',14,
Sainte-Montagne,15,
Saintes Huiles,15,
La Saint-Jean,15,
Saint-Jean,15,
Désirée-des-Anges,16,
Désiré-des-Anges,16,
– Tes,16,
manche,17,
la Blanche,17,
Bibiche,17,
la terre,17,
la manche,17,
