cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
0,– Vois-tu,Quelquefois,Quelque,,,
1,la manche,manche,la terre,Bibiche,la Blanche,
2,l'Orphelinat,Orphelinat,,,,
3,Hier,Merci,Vierge,Chicon,Châtaigniers,lingerie
4,tournai,– Pourtant,fourrai,Douze,,
5,Tirande,de France,Tireli,,,
6,jappe,château du Gué Perdu,Eau,Gué Perdu,,
7,Marie-Aimée,notre Marie-Claire,tremblées,,,
8,Sainte-Montagne,Saint-Jean,La Saint-Jean,Saintes Huiles,,
9,– Pauvre,Paris,voyais,Ismérie,buis,Parfois
10,Étoile,– Étoile,,,,
11,Mélanie,Rome,grosse Mélanie,La grosse Mélanie,,
12,miens,Communs,Tiens,Sautons,Combien,
13,– Tes,Désirée-des-Anges,Désiré-des-Anges,,,
14,–,,,,,
15,– Donnez,Augustine,Sologne,Martine,,
16,Castille,Vin,Mlle Maximilienne,alluma,Bel-Œil,Villevieille
17,bobo,J',,,,
