text,cluster,cluster_corrected
bobo,-1,
Sautons,-1,
Sologne,-1,
– Donnez,-1,
tremblées,-1,
buis,-1,
jappe,-1,
alluma,-1,
Douze,-1,
Eau,-1,
– Tes,-1,
J',-1,
Bel-Œil,-1,
–,-1,
Désiré-des-Anges,0,
Désirée-des-Anges,0,
Orphelinat,1,
l'Orphelinat,1,
– Étoile,2,
Étoile,2,
Sainte-Montagne,3,
Saintes Huiles,3,
La Saint-Jean,4,
Saint-Jean,4,
La grosse Mélanie,5,
Mélanie,5,
grosse Mélanie,5,
tournai,6,
fourrai,6,
– Pauvre,6,
– Pourtant,6,
Vin,6,
Chicon,7,
Bibiche,7,
Tireli,8,
Tirande,8,
de France,8,
manche,9,
la manche,9,
la terre,9,
la Blanche,9,
Gué Perdu,10,
château du Gué Perdu,10,
Augustine,11,
Martine,11,
Merci,12,
Rome,12,
notre Marie-Claire,13,
lingerie,13,
Marie-Aimée,13,
Ismérie,13,
Vierge,14,
Châtaigniers,14,
Hier,14,
Quelquefois,15,
Quelque,15,
Communs,16,
Combien,16,
Mlle Maximilienne,17,
Castille,17,
Villevieille,17,
Tiens,18,
miens,18,
Paris,19,
Parfois,19,
– Vois-tu,20,
voyais,20,
