cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,rue Feydeau,rue do cliehs,rue asseu-Rempart,shis,uno mobilite feb ile,rue du Perron,loba,e,chteau,,,,,,
1,lrange,Btrangers,Frangais,letranger,range,melangee,medie-Frangaise,,,,,,,,
2,inlerels do l'Est,do l'Est,bult,,,,,,,,,,,,
3,malheres,Alhel,cbamhre,Lat,spheres,Ireres,binel d'Alhert,riviberes,Malgre,,,,,,
4,Suisse,Suisses,suis-,suii,jouissailt,EL.E2E,uis,,,,,,,,
5,ILlo,ahbe,coquilloges,,,,,,,,,,,,
6,Voil,Voilh,Mafoil,Pouvoir,,,,,,,,,,,
7,eeee,"g;,eeeee].GGa",sss-eeeg,ePseeee,GG,,,,,,,,,,
8,Ple,sculple,sg]ie,Spleen,tiaple,oxceple,,,,,,,,,
9,Lovelace,aelaon,lacen',,,,,,,,,,,,
10,Con-,consoai,Conli,connaflt,contigu,quai Conli,Contat,condimens,btit,coniugal,Jr0me,,,,
11,Watteville,Wattevillo,deWatteville,watteville,Iadame do Watteville,Walteville,Watlteville,Wutteville,Wattleville,maison Watteville,Wattevill,wattoille,,,
12,Thetre,peult-etre,Thetre-,etres-unis,Thettre,t0,,,,,,,,,
13,sinau aesnior,deFai,eiee  aest yvggntsuee,--Gina,Rossni,,,,,,,,,,
14,aeil,eoleil,Leil,soleil,leil,J',Soleil,,,,,,,,
15,francais,Thetre-Francais,"GGiGiniiiG.ciiiaG
Francaise",Francais,"GGiGiniiiG.ciiiaG
Francaise el je suis",,,,,,,,,,
16,lomene,Philomene,Pbilomene,Philomeno,Philomen,Philomene]. - A,Hhilomene,,,,,,,,
17,Btat,etat,amur,etablis,Etat,Etats romnains,,,,,,,,,
18,Lomhardie,jardih,tour dujardin,gtg,Jardin des Plantes,Lombardie,,,,,,,,,
19,Eternel,Lucerne,trne,,,,,,,,,,,,
20,Iamais,maison Janrenaud,Jamais,damas,-Mais,amaht,P' e,,,,,,,,
21,Na-,egee e,atee  e semut re,geegggeegee,egee ge btlu los ebz],zee g-,gAgegeeg2,gggegee,mol mystee I,"gAgg,;;;eevee e",,,,,
22,atlend,elendie,"lende-
des monceaux",Lendres,,,,,,,,,,,
23,Pere-La-],Per-,iperu,Perugin,Dijon,Perou,,,,,,,,,
24,"Fe-
Ln",LG.I,Besnoh,Oiml,diocbese,Agnbes,,,,,,,,,
25,ples,Naples,Shyloek,nohles,do Niples,fe,,,,,,,,,
26,Granceyt,Grancey,abbe de Grancey,monsicur do Grancey,,,,,,,,,,,
27,varon,chnaroneourt,baronno,s6,,,,,,,,,,,
28,- Ilne,lnee,,,,,,,,,,,,,
29,milaine,Milaiais,Cmedis Mumaine.)86,osaa aais-ipaine,Napolilain,,,,,,,,,,
30,Camps,campogne,Iun,pognie,In,aceompogne,Lamporaui,Campes-Hailyssdes,,,,,,,
31,Bresse,Na,etle tndresse,duehesse,Rhne,Chlthbre,breche,trattresse,Presse,caresse6,,,,,
32,meltre,eltj',- Oii,vecu,meltra,Mely,uo,,,,,,,,
33,Irisee,mepriseras:- Ble,Mu,slg2irit,c0mprises,,,,,,,,,,
34,Laisse,Laissez-,lez-vo ir,Palais,,,,,,,,,,,
35,tiennes7,comedienne,vienne,liennes,Sicilienne,Parisiennes,Etienne,Vienne,nnes,ltaliennes,Quotidienne,Italiennes,,,
36,Milan,Milanais,Mlilan,milan,Yiland,I,,,,,,,,,
