cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,inlerels do l'Est,do l'Est,e,,,,,,,,,,,,,,,,,,,,,
1,Laisse,Laissez-,E:;:e,Palais,,,,,,,,,,,,,,,,,,,,
2,Suisse,Suisses,suis-,ivartisseent,,,,,,,,,,,,,,,,,,,,
3,Solas,solr,Soulas,Massol,irola,Leopola,,,,,,,,,,,,,,,,,,
4,Voil,Voilh,Mafoil,Pouvoir,,,,,,,,,,,,,,,,,,,,
5,Cour,- Pourqnoi,septiemeiour,Aoures,Lecou-,beacoup,tourientc,journalisle,Dour,,,,,,,,,,,,,,,
6,Thetre,peult-etre,Thetre-Francais,Rhetore,Thetre-,etres-unis,Thettre,,,,,,,,,,,,,,,,,
7,Neufchatel,hate,Neufchlel,,,,,,,,,,,,,,,,,,,,,
8,He,Rehecea,Alhel,oher,tomhe,.m',Boheme,,,,,,,,,,,,,,,,,
9,lomene,Philomene,Philombene,Pbilomene,Philomeno,Philomen,Philomene]. - A,Hhilomene,Philomee,,,,,,,,,,,,,,,
10,Balthasar,Hasard,,,,,,,,,,,,,,,,,,,,,,
11,LG.I,Ei5G.IG,"g.,g",g.F,,,,,,,,,,,,,,,,,,,,
12,Btat,etat,etablis,As-tu ta,Contat,Etat,Etats romnains,,,,,,,,,,,,,,,,,
13,Irais,Serais,Jaurais,Naurais-ie,Marais,A iiraia,,,,,,,,,,,,,,,,,,
14,nimosamnis,ninie,6nini,Virginie,ffianie,Wyiriciinie,Madinier,Fnai niosiiininaanieetne,Modinier,"A I
A MADAME LA C0MTESSE BOL0GNINI",niieasnioe,Mainier,,,,,,,,,,,,
15,I',Gi'i'ii,I'GGir,,,,,,,,,,,,,,,,,,,,,
16,brossee,Rmssee,J',.L,Rossni,,,,,,,,,,,,,,,,,,,
17,Ple,sculple,ples,Naples,Les negocians,Spleen,tiaple,nohles,lesracines,les letlres,do Niples,oxceple,,,,,,,,,,,,
18,A]g,sa]- Oui,EIle nest ouiouirs pss nee,,,,,,,,,,,,,,,,,,,,,
19,varon,chnaroneourt,baronno,,,,,,,,,,,,,,,,,,,,,
20,Camps,campogne,pognie,aceompogne,Lamporaui,,,,,,,,,,,,,,,,,,,
