cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Watteville,tromper madame de Watteville,maison Watteville,,,,,,,,,
1,Modinier,Virginie,Lons-le-Saunier,Mariniers,,,,,,,,
2,Dauphin,le Rhin,Gandolphini,Dauphine,Philomènes,Archinto,Rhin,,,,,
3,– Chère,Frère ALBERT,Monastère,Ministère,,,,,,,,
4,fier,Pothier,Arcier,,,,,,,,,
5,Saint-Jean,Intérêts,Jura,Saint-Merry,Sainte-Hélène,Balthasar,Saint-Vier,Sainte-Alliance,Saint-Germain,Saint-Gothard,,
6,Français,Française,Françaises,Italienne de la Française,A,,,,,,,
7,Gazette,– Mariette,Charivari,Maman,Tuileries,,,,,,,
8,Étre,Votre ALBERT,Chapitre,Rhône,Thecel,Diantre,Théâtre,,,,,
9,Magdeleine,Florentine,Bisontins,Tinti,Grenoble,Madre,,,,,,
10,Savaron,Savez,Varèse,Savarus,la Havane,,,,,,,
11,Chavoncourt,Comité-Chavoncourt,Sidonie de Chavoncourt,Héloïse,,,,,,,,
12,lac Majeur,Lac Majeur,Alpes,l'Europe,Lovelace,,,,,,,
13,Bresse,Préfecture,Presse,Novembre,,,,,,,,
14,Toulouse,Moyen-Âge,Soulas,Mulhouse,,,,,,,,
15,Barreau,Eaux-Vives,Dijon,,,,,,,,,
16,État,Colonie,château des Colonna,Sidonie,La Colonie,Colonna de Rome,Argaiolo,,,,,
17,Pharès,De la Grande-Chartreuse,Chartreux,Rhétoré,Grande-Chartreuse,Granet,Dôle,Chartreuse,Avez,Grande Chartreuse,Indes,femme-de-chambre
18,Chartreuse des Rouxey,Rouxey,Les Rouxey,terre des Rouxey,îles Borromées,lac des Rouxey,les Rouxey,,,,,
19,Doubs,Italienne,ITALIE,l'Italie,d'Italie,Italiens,Italien,Italie,Bâle,Italiennes,,
20,Espagnols,Espagne,Nantua,Rupt,L'Espagne,,,,,,,
21,Angleterre,Méditerranée,,,,,,,,,,
22,Parisiennes,Sicilienne,Parisienne,Parisiens,Parisien,Vienne,Paris,,,,,
23,Comtois,Comté,Vevay,la Comtoise,,,,,,,,
24,Hollande,Pilate,Milan,Emilio,Milanais,Saxe,,,,,,
25,de Saxe,Bugey,de l'Est,Est,,,,,,,,
26,Calard,pic de Vilard,Légitimistes,Dent,Dent de Vilard,base de la Dent de Vilard,,,,,,
27,Cachons,Élections,Sachez-le bien,,,,,,,,,
28,Berne,Gouvernement,Ferney,,,,,,,,,
29,Simplon,Barcelone,Londres,Replongé,,,,,,,,
30,Cour,Cour royale,,,,,,,,,,
31,Girardet,Belgirate,Vue de Belgirate,Belzébuth,,,,,,,,
32,Ordinaire,Loire,Chaire,,,,,,,,,
33,Retournez,Comité-Boucher,Strasbourg,Bourg,,,,,,,,
34,Étude,Riceys,Scey,– Pauvre,Brunet,,,,,,,
35,Nouvelle éclose,Granvelle,la Nouvelle,Nouvelles,Nouvelle,Vauchelles,,,,,,
36,Autriche,Patriote,Industrie,,,,,,,,,
37,Neufchâtel,Brabant,rue Neuve,Neuve,,,,,,,,
38,Sicile,Rome,brodequins,Romains,Salins,États-Romains,,,,,,
39,Vue,Revue,Grâce,,,,,,,,,
40,baie de Naples,Napolitain,Naples,Nobles,,,,,,,,
41,Hôtel National,Hôtel-de-Ville,hôtel de Rupt,,,,,,,,,
42,Sardaigne,Lombardie,jardin Bergmann,,,,,,,,,
43,auberge du Cygne,rue du Perron,rue de Grenelle,du Doubs,,,,,,,,
44,Anglais,Fluelen,Anglaise,Père-Lachaise,Anglaises,,,,,,,
45,Clermont-Mont-Saint,Clermont-Mont-Saint-Jean,Gramont,Montons,Piémont,Beauffremont,Mont-Cenis,Visconti,,,,
46,Suisse,Russes,Suisses,,,,,,,,,
47,Gersau,– A,– Vers Lucerne,canton de Lucerne,Lucerne,,,,,,,
48,lac des Quatre-Cantons,Lyon,lac de Genève,Voilà,lac de Constance,,,,,,,
49,l'Afrique,Afrique,Belgique,de Belgique,caquetages,,,,,,,
50,– Laissons,voyais,la Scala,Palais,plain-pied,,,,,,,
51,Amédée,Marseille,la Ville,Conseillers,Versailles,Villa-Diodati,Ville,Gentillet,,,,
52,bois de Boulogne,Besançon,de Besançon,A Besançon,diocèse de Besançon,Chapitre de la cathédrale de Besançon,Droit,,,,,
53,ajoutez-les,Portsmouth,Partez,Écoutez,,,,,,,,
54,Grancey,– Francesca,Franche-Comté,de France,Francesca,Est de la France,Jung-Frau,France,la France,,,
55,Opéra,,,,,,,,,,,
56,la Provence,Godenars,Providence,Florence,,,,,,,,
57,Genève,Genevois,Sois,,,,,,,,,
