text,cluster,cluster_corrected
Chartreuse,0.0,
Grande-Chartreuse,0.0,
Grande Chartreuse,0.0,
Chartreuse des Rouxey,0.0,
De la Grande-Chartreuse,0.0,
Chartreux,0.0,
Charivari,0.0,
Calard,1.0,
la Scala,1.0,
Replongé,2.0,
Simplon,2.0,
Théâtre,3.0,
Étre,3.0,
Chapitre,3.0,
Diantre,3.0,
rue Neuve,4.0,
Neuve,4.0,
rue du Perron,4.0,
Riceys,5.0,
Autriche,5.0,
Scey,5.0,
États-Romains,6.0,
Rome,6.0,
État,6.0,
Romains,6.0,
de l'Est,7.0,
Est,7.0,
l'Europe,7.0,
Pharès,8.0,
Varèse,8.0,
Ferney,9.0,
Gouvernement,9.0,
Berne,9.0,
Retournez,9.0,
Intérêts,10.0,
Tinti,10.0,
Archinto,10.0,
Revue,11.0,
Vue,11.0,
Comté,12.0,
Comtois,12.0,
la Comtoise,12.0,
lac Majeur,13.0,
Lac Majeur,13.0,
Méditerranée,14.0,
Amédée,14.0,
Angleterre,14.0,
Frère ALBERT,15.0,
Votre ALBERT,15.0,
Visconti,16.0,
Piémont,16.0,
Gramont,16.0,
Clermont-Mont-Saint,16.0,
Beauffremont,16.0,
Mont-Cenis,16.0,
Clermont-Mont-Saint-Jean,16.0,
Montons,16.0,
Gersau,17.0,
Saint-Merry,17.0,
plain-pied,17.0,
Saint-Germain,17.0,
Saint-Gothard,17.0,
Napolitain,17.0,
Saint-Jean,17.0,
Saint-Vier,17.0,
Vue de Belgirate,18.0,
Belgirate,18.0,
Girardet,18.0,
femme-de-chambre,19.0,
Novembre,19.0,
Lovelace,19.0,
Cachons,20.0,
Élections,20.0,
Préfecture,20.0,
voyais,21.0,
Cour royale,21.0,
Cour,21.0,
Grenoble,22.0,
Nobles,22.0,
Grancey,23.0,
la France,23.0,
de France,23.0,
France,23.0,
Jung-Frau,23.0,
Francesca,23.0,
Est de la France,23.0,
– Francesca,23.0,
Franche-Comté,23.0,
lac des Rouxey,24.0,
Les Rouxey,24.0,
Rouxey,24.0,
les Rouxey,24.0,
îles Borromées,24.0,
terre des Rouxey,24.0,
Sardaigne,25.0,
Balthasar,25.0,
Françaises,26.0,
Française,26.0,
Italienne de la Française,26.0,
Français,26.0,
Granet,27.0,
la Havane,27.0,
Brunet,27.0,
auberge du Cygne,28.0,
jardin Bergmann,28.0,
Maman,28.0,
Lombardie,28.0,
Comité-Boucher,29.0,
Comité-Chavoncourt,29.0,
Chavoncourt,29.0,
Sidonie de Chavoncourt,29.0,
Chapitre de la cathédrale de Besançon,30.0,
de Besançon,30.0,
diocèse de Besançon,30.0,
Besançon,30.0,
A Besançon,30.0,
la Provence,31.0,
Providence,31.0,
Afrique,32.0,
l'Afrique,32.0,
caquetages,32.0,
Anglaises,33.0,
– Laissons,33.0,
Anglaise,33.0,
Palais,33.0,
Anglais,33.0,
Sicile,34.0,
Vienne,34.0,
Sicilienne,34.0,
Loire,35.0,
Chaire,35.0,
Père-Lachaise,35.0,
Ordinaire,35.0,
Sidonie,36.0,
Colonie,36.0,
La Colonie,36.0,
Argaiolo,36.0,
Bourg,37.0,
Strasbourg,37.0,
Londres,38.0,
Madre,38.0,
Genevois,39.0,
Voilà,39.0,
Sois,39.0,
de Belgique,40.0,
Belgique,40.0,
fier,41.0,
Arcier,41.0,
Pothier,41.0,
Italien,42.0,
l'Italie,42.0,
Italiens,42.0,
d'Italie,42.0,
ITALIE,42.0,
Italiennes,42.0,
Italienne,42.0,
Italie,42.0,
– Mariette,43.0,
Gazette,43.0,
Watteville,44.0,
maison Watteville,44.0,
tromper madame de Watteville,44.0,
du Doubs,45.0,
Doubs,45.0,
Philomènes,46.0,
Dauphin,46.0,
Dauphine,46.0,
Gandolphini,46.0,
Savarus,47.0,
Savaron,47.0,
– Vers Lucerne,48.0,
canton de Lucerne,48.0,
Lucerne,48.0,
Nouvelles,49.0,
la Nouvelle,49.0,
Nouvelle,49.0,
Nouvelle éclose,49.0,
Vauchelles,49.0,
Granvelle,49.0,
Belzébuth,50.0,
Portsmouth,50.0,
Pilate,51.0,
Milanais,51.0,
Milan,51.0,
Emilio,51.0,
Hollande,51.0,
Espagnols,52.0,
Espagne,52.0,
L'Espagne,52.0,
Sainte-Alliance,53.0,
Sainte-Hélène,53.0,
Héloïse,53.0,
Eaux-Vives,54.0,
Colonna de Rome,54.0,
château des Colonna,54.0,
Neufchâtel,54.0,
rue de Grenelle,55.0,
Naples,55.0,
baie de Naples,55.0,
le Rhin,56.0,
Rhin,56.0,
Florence,57.0,
Bisontins,57.0,
Florentine,57.0,
Mariniers,58.0,
Virginie,58.0,
Modinier,58.0,
Lons-le-Saunier,58.0,
– Chère,59.0,
Légitimistes,59.0,
Monastère,59.0,
Ministère,59.0,
Nantua,60.0,
Brabant,60.0,
Russes,61.0,
Suisse,61.0,
Suisses,61.0,
de Saxe,62.0,
Saxe,62.0,
Villa-Diodati,63.0,
Conseillers,63.0,
Hôtel-de-Ville,63.0,
Versailles,63.0,
Marseille,63.0,
la Ville,63.0,
Ville,63.0,
Gentillet,63.0,
Presse,64.0,
Bresse,64.0,
lac des Quatre-Cantons,65.0,
lac de Genève,65.0,
lac de Constance,65.0,
Genève,65.0,
Sachez-le bien,66.0,
ajoutez-les,66.0,
Écoutez,66.0,
Indes,67.0,
Patriote,67.0,
Tuileries,67.0,
Industrie,67.0,
pic de Vilard,68.0,
base de la Dent de Vilard,68.0,
Dent,68.0,
Dent de Vilard,68.0,
Parisienne,69.0,
Parisiennes,69.0,
Partez,69.0,
Paris,69.0,
Parisiens,69.0,
Parisien,69.0,
Savez,70.0,
Avez,70.0,
Rupt,71.0,
Hôtel National,71.0,
hôtel de Rupt,71.0,
Soulas,72.0,
bois de Boulogne,72.0,
Mulhouse,72.0,
Toulouse,72.0,
Magdeleine,73.0,
Fluelen,73.0,
Barreau,74.0,
Thecel,74.0,
Barcelone,74.0,
Godenars,75.0,
Salins,75.0,
brodequins,75.0,
– A,,
– Pauvre,,
Bugey,,
Étude,,
Dôle,,
Alpes,,
Rhône,,
Grâce,,
Droit,,
Vevay,,
Moyen-Âge,,
Dijon,,
Bâle,,
Lyon,,
Opéra,,
Rhétoré,,
A,,
Jura,,
