cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Pharès,Balthasar,Varèse,,,,,,,,,,,
1,Frère ALBERT,– A,Votre ALBERT,,,,,,,,,,,
2,Français,Française,Françaises,Italienne de la Française,,,,,,,,,,
3,Autriche,Barreau,Étre,État,Rhétoré,Étude,– Pauvre,Diantre,Madre,Théâtre,,,,
4,Florentine,Tinti,Florence,,,,,,,,,,,
5,lac Majeur,Lac Majeur,l'Europe,,,,,,,,,,,
6,bois de Boulogne,Toulouse,Portsmouth,Soulas,Mulhouse,Héloïse,,,,,,,,
7,Angleterre,Anglais,– Laissons,voyais,Anglaise,Palais,Anglaises,,,,,,,
8,de Saxe,Besançon,de Besançon,A Besançon,diocèse de Besançon,Chapitre de la cathédrale de Besançon,,,,,,,,
9,Colonie,château des Colonna,Sidonie,Simplon,La Colonie,Lombardie,Barcelone,Londres,Lons-le-Saunier,Colonna de Rome,Argaiolo,Replongé,,
10,Sicile,Sicilienne,Vienne,,,,,,,,,,,
11,De la Grande-Chartreuse,Chartreux,Grande-Chartreuse,Chartreuse,Grande Chartreuse,femme-de-chambre,,,,,,,,
12,Italienne,Napolitain,ITALIE,l'Italie,Salins,d'Italie,Italiens,Italien,Italie,Italiennes,Droit,,,
13,Magdeleine,Espagnols,Sardaigne,Espagne,L'Espagne,,,,,,,,,
14,Clermont-Mont-Saint,Saint-Jean,Clermont-Mont-Saint-Jean,Nantua,Mont-Cenis,,,,,,,,,
15,Amédée,Gazette,Méditerranée,,,,,,,,,,,
16,la Provence,Lovelace,Providence,,,,,,,,,,,
17,Comtois,Comté,la Comtoise,Sois,,,,,,,,,,
18,Hollande,Pilate,Milan,Emilio,Milanais,la Scala,la Havane,,,,,,,
19,Genève,Moyen-Âge,lac de Genève,Genevois,,,,,,,,,,
20,Savaron,Savez,Vevay,Avez,Savarus,Sachez-le bien,Saxe,,,,,,,
21,baie de Naples,Calard,pic de Vilard,Girardet,Dent,Dent de Vilard,Godenars,base de la Dent de Vilard,,,,,,
22,Comité-Boucher,Chavoncourt,Comité-Chavoncourt,Sidonie de Chavoncourt,,,,,,,,,,
23,Retournez,Jura,Préfecture,Cour,Strasbourg,Bourg,Écoutez,Cour royale,,,,,,
24,Dauphin,Dauphine,Philomènes,,,,,,,,,,,
25,Eaux-Vives,Légitimistes,de l'Est,Est,Alpes,Indes,Ministère,,,,,,,
26,Neufchâtel,rue Neuve,Gouvernement,Neuve,Brunet,,,,,,,,,
27,Rome,brodequins,Romains,Maman,États-Romains,,,,,,,,,
28,Vue,Revue,,,,,,,,,,,,
29,Bugey,Riceys,Scey,Thecel,Grâce,,,,,,,,,
30,Bisontins,Gramont,lac des Quatre-Cantons,Cachons,Monastère,Élections,Montons,Piémont,Lyon,Beauffremont,Dijon,Visconti,,
31,Parisiennes,Charivari,Parisienne,Partez,Parisiens,Patriote,Parisien,Paris,,,,,,
32,Suisse,Russes,Bresse,Presse,Suisses,,,,,,,,,
33,Nouvelle éclose,Granvelle,Fluelen,la Nouvelle,Nouvelles,Nouvelle,Vauchelles,Novembre,,,,,,
34,le Rhin,Gandolphini,Archinto,Rhin,Rhône,,,,,,,,,
35,auberge du Cygne,Doubs,rue du Perron,du Doubs,,,,,,,,,,
36,Watteville,Marseille,tromper madame de Watteville,la Ville,maison Watteville,Conseillers,Dôle,Versailles,Hôtel-de-Ville,Villa-Diodati,Ville,Voilà,Gentillet,Bâle
37,Intérêts,Saint-Merry,Gersau,Sainte-Hélène,Saint-Vier,Sainte-Alliance,Saint-Germain,Saint-Gothard,plain-pied,,,,,
38,– Chère,Ordinaire,Loire,Chapitre,Père-Lachaise,Chaire,,,,,,,,
39,Brabant,Granet,Grancey,– Francesca,Franche-Comté,de France,Francesca,Est de la France,Jung-Frau,France,Opéra,lac de Constance,la France,
40,Modinier,fier,– Mariette,Pothier,Virginie,jardin Bergmann,Arcier,Mariniers,Tuileries,Industrie,,,,
41,Berne,Ferney,– Vers Lucerne,canton de Lucerne,Lucerne,,,,,,,,,
42,A,,,,,,,,,,,,,
43,l'Afrique,Afrique,caquetages,,,,,,,,,,,
44,Grenoble,Naples,Nobles,,,,,,,,,,,
45,Hôtel National,rue de Grenelle,Rupt,hôtel de Rupt,,,,,,,,,,
46,Chartreuse des Rouxey,Rouxey,ajoutez-les,Les Rouxey,terre des Rouxey,îles Borromées,lac des Rouxey,les Rouxey,,,,,,
47,Belgirate,Vue de Belgirate,Belzébuth,Belgique,de Belgique,,,,,,,,,
