cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,Grand-Il,Grand Bail,Le Curé,Grand-Bail,N-,Grand-Bas,choirs,Grand,Apprenez,Grand-,"Grand-
Bail",Jusserand,Grand-Bal
1,+,Sa,,,,,,,,,,,
2,Isauro,Estimez,Sauvez,Isaure,forez,Lompes,S2,,,,,,
3,Pas,MERE,Merci,votra,attondu,tempr,blämer,@t,,,,,
4,mêmE,Solango,juil,Solange,ca,Solango ost là-bas,,,,,,,
5,L’,ferme des Ormeaux,Ormeaux,Ormenux,tairie des Ormeaux,meitras,valût,col des chemises d'homme,broc,,,,
6,e’,So-,ÉpauLe',Is,maman,,,,,,,,
7,ange,tôte,cupées,vendange,buis,Chétif-,Monge,,,,,,
8,"Porte s.

—",porte de la eure,porto,cüré,Porte s.,,,,,,,,
9,c.,Iui,éorire,,,,,,,,,,
10,bracelst,,,,,,,,,,,,
11,Par-,PARTIE,"-

 6TROISIÈME PARTIE",Allons,QUATRIÈNE PARTIR,,,,,,,,
12,chand,Flandre,chandes,Tréchanderin,"marchand d' -
toffes",,,,,,,,
13,KNFANCE,la France,de France,ENFANCR,José-,frant,la somme,,,,,,
14,Voulez,Berrÿ,Berry,n'’aidait,,,,,,,,,
15,Grise,Ou-,église n’,la Grise,Paris,S,Pppris,provins,Écris,,,,
16,Entends-,Entends-tu,bâle,Attends,,,,,,,,,
17,meprie,Périnnerie,guerito,Bordinerie,la Périnnerie,mrs,,,,,,,
18,A,hôpital de Bourges,Iubourer,Bourges,M,N2,Ïl,gâtenux de ta femme,,,,,
19,j’,ge,ellE,eelle,Maman,mademoiselle,Mesdemoiselles,Louisc,,,,,
20,maiS,aimais,Où,aimais-tu,MaIs,ÉPQOUSE,Maitro Tixior,,,,,,
21,I,Quelques-,- ai,Afrique,QUe Veux,,,,,,,,
22,Saistu,valais,J1,n'’ôtais,,,,,,,,,
23,Coupez,CI,licou,Écoutez,,,,,,,,,
24,Îà,chosc,Soit-,E,Oui,,,,,,,,
25,los vendre,Cinquante,cEpendant,ça?A,endureît,,,,,,,,
26,s’,m-,Voyez,croyez,Payez-les-moi,L,,,,,,,
27,dEmain,Vatan,psine,yerx,veines,maine,Sylvain,Île capitaine,,,,,
28,Saint-Pierre,Pierres-,"Pierres-
Folles",Tixier,compugnie,,,,,,,,
29,servieo,ler,SERVICE,,,,,,,,,,
30,euré,Jugez,beurrée,monsieur,rougeur,a6,,,,,,,
31,Mapauvrefille,Guillaumt,élle,Bretagne,clle,,,,,,,,
32,Combien,miens,Bien,Souviens,Tiens,,,,,,,,
33,huche,Cher,Margue-,"département du
Cher",du Cher,lesempêcher,Achetez,Blanche,cher,SL,,,
34,au-,S-,"au-
tres","au-
trefois",Sois,viluin,,,,,,,
35,nuigre,garniront,En Bretagne,rEgardez,Regardez,Aidez,,,,,,,
36,mounière,JRANNE,Joanne,do Joanne,,,,,,,,,
37,porsonne,Jeunne,|,Jennne,"93

Sennne",,,,,,,,
38,Est,nir,,,,,,,,,,,
39,Autre,vatre,pée,veux-tu dtre.ma,,,,,,,,,
40,pou,D,jamüis,Astu,occupez,Jui,,,,,,,
41,Tes,tout.—C',Hautes-Rose s.,gonoux,Hautes-Rose,Hautes-,Ri-haut,Jo-,,,,,
42,Jeanue,JEANNE VEUVE,éveailla Jeanne de bon matn,Jeanno,grenier;-car Jeanne,"ai

Jeanne",Jeantié,champ de Jeanne,,,,,
43,J loin,Voie,BAh,Voilà,Vois,,,,,,,,
44,Gathorino,Séatino,,,,,,,,,,,
45,Tréchauderie,réchauff,,,,,,,,,,,
46,Nannetie,Ettu,Nannetto,Mettez,Nannette,Nannotte,nankin,,,,,,
47,kermesse,Embrasse,Los io,Laisse,,,,,,,,,
48,lune,Meunet-sur-,In,brune,Meunet,Prévôt,,,,,,,
49,"PETITE JEANNE

LE DEVOIR",etil,Petite Jeanne,râpe,petite Jeanue,petite Jeanne,,,,,,,
50,seraiont,scrai,sèvrerai,,,,,,,,,,
51,mall Aves,Savez,Je,Avez,avea,,,,,,,,
52,sainte,sainte-Solange,Dit,Sainte-Solange,"Saint-
Jean",Saint-Jean,Sainte-S-,,,,,,
53,qu’,Etchacun,Ca,charrue,"char-

- gée du ménage",,,,,,,,
54,Es-tu,Crois,Sais-tu,Crois-tu,crois-tu,,,,,,,,
55,Inourables d'Issoudun,sou,Issoudun,,,,,,,,,,
