cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,los vendre,Entends-tu,vendange,endureît,Attends,,,,,
1,L’,F,Îà,Bi,Sylvan,,,,,
2,+,lâle,,,,,,,,
3,Isauro,BI,Isaure,meitras,Îsauve,,,,,
4,Margue-,MERE,So-,ler,Merci,Afrique,qu’,blämer,,
5,Grand Bail,rige,Grand-Bail,éle,"Chétif-
Bail",n'’aidait,S,"Grand-
Bail",Grand-Bal,Grand-Bai
6,ferme des Ormeaux,Ormeaux,Savez,kermesse,tairie des Ormeaux,mâtériaux,,,,
7,lincou,Coupez,Pompes,Écoutez,mülin,,,,,
8,Jeune,lune,forez,brune,,,,,,
9,AL,pou,choirs,,,,,,,
10,JEANNE,JEANNE VEUVE,Jeanno,|,grenier;-car Jeanne,Kh,Joanne,"ai

Jeanne",Jeantié,champ de Jeanne
11,meprie,Tréchaufferie,Borderie,Maman,Péonnerie,M,lingerie,,,
12,e’,tout.—C',sère-le tout,le-profit -de la vigne tout,J1,SL,,,,
13,TROISIÈME PARTIR,PARTIE,tôte,QUATRIÈNE PARTIR,,,,,,
14,Siû,Durand,cupées,Grand,Flandre,Is,Jusserand,,,
15,A,euré,beurrée,monsieur,Allons,heurèse,rougeur,,,
16,porte de la eure,hôpital de Bourges,Bourges,,,,,,,
17,suisse,Suisse,Suisse-le done faire,Embrasse,vivreé,Laisse,,,,
18,Combien,au-,Conviens,miens,provins,Tiens,Oui,,,
19,Berrÿ,Où,Berry,maman,,,,,,
20,aimais,valais,Nantaise,n'’ôtais,,,,,,
21,Pas,ge,jamüis,IL,In,,,,,
22,Péinertiel,Menuet,Je,veines,Jugez,"Jo-
séphine",pée,,,
23,J loin,Achetez,Roches,Blanche,broc,,,,,
24,Voyez,croyez,Payez-les-moi,,,,,,,
25,maine,Regardez,Sylvain,Île capitaine,Prévôt,"se-
maine",,,,
26,Voulez,Saint-Pierre,jy,Pierres-,"Pierres-
Folles",Tixier,Mudamè,@t,,
27,s’,Crise,Vatan,église n’,la Grise,Paris,la somme,,,
28,cüré,Astu,,,,,,,,
29,Louiso,buis,bâle,,,,,,,
30,Lécœur,Los,Avez,,,,,,,
31,Cher,"département du
Cher",cher,Aidez,E,sempêcher,,,,
32,entreéla,"au-
tres",veux-tu dtre.ma,Pares,,,,,,
33,porto,Jouanno,ct,Nannotte,,,,,,
34,En Bretagne,nir,Bretagne,,,,,,,
35,s09,,,,,,,,,
36,moselle,Estimez,Gathorino,Mapauvrefille,mademoiselle,Mesdemoiselles,Ïl,,,
37,Cinquante,Sainte-So-,sainte-Solange,Lo,Solange,Sainte-Solange,Monge,ner,Jo-,
38,a6,,,,,,,,,
39,sainte,juil,printétps,"Saint-
Jean",Saint-Jean,,,,,
40,"93

Senne",vienne,Apprenez,rennes,Ca,,,,,
41,Hautes-Roches,Hautes-,Ri-haut,,,,,,,
42,SERVICE,serbie,SERVIR,,,,,,,
43,fran,la France,de France,france,,,,,,
44,Ettu,défrotter,Mettez,Nanette,Annette,nankin,,,,
45,j’,Voie,Lois,Vois,Sois,,,,,
46,rioux,"PETITE JEANNE

LE DEVOIR",Petite Jeanne,Ü,petite Jeanne,le japon,,,,
47,I,garniront,José-,"jeuné

—",occupez,,,,,
48,chand,réchauff,ar-,charrue,"char-

- gée du ménage",,,,,
49,Es-tu,Is-,Crois,Sais-tu,aimais-tu,Crois-tu,Ê,crois-tu,,
50,soudan,Inourables d'Issoudun,sou,Issoudun,,,,,,
