cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39
-1,Jeanno,J1,Etchacun,a6,Voulez,Astu,porsonne,Monge,Jugez,Jeanue,yerx,J loin,attondu,Embrasse,Luisse-le done faire,Saint-Pierre,tôte,la somme,Île capitaine,Jeax,Je,nankin,provins,Pas,monsieur,So-,Es-tu,meprie,Contole-toi,éveailla Jeanne de bon matn,José-,Allons,ÉPQOUSE,église n’,vendange,Jeantié,Lo,Guillaumt,JEANNE VEUVE,Payez-les-moi
0,Kh,Ù,Où,F,I,E,j’,M,@t,A,L’,Ê,s’,Ü,SL,|,,,,,,,,,,,,,,,,,,,,,,,,
1,Ïl,e’,Îà,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,En Bretagne,Bretagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ca,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,maman,Maman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,choirs,chosc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Maitro Tixior,Tixier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Estimez,Madome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SERVICE,servieo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,mounière,nuigre,noux,gonoux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Vatan,vatre,veux-tu dtre.ma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,hôpital de Bourges,Iubourer,Bourges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Berrÿ,Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
