text,cluster,cluster_corrected
vnie,0.0,
airmonie,0.0,
runie,0.0,
meuniere,0.0,
Solango,1.0,
Solange,1.0,
Solngo,1.0,
d6sola,1.0,
MIar-1h,2.0,
ar-,2.0,
matiar-lh,2.0,
oflloiar,2.0,
lann6e,3.0,
ann6es,3.0,
san mari,4.0,
san ohupeau,4.0,
san viilage,4.0,
mari6,4.0,
ARIIR,4.0,
san nonrrimson,4.0,
Gatharine,5.0,
Catharine,5.0,
Ctharino,5.0,
l'6curie,6.0,
cur,6.0,
svre-le,7.0,
chvre,7.0,
il6e-la,7.0,
ehanvre ataltettohe pat tarre,8.0,
chanvsre,8.0,
tto,8.0,
fiivre asi,8.0,
Durand,9.0,
Grand Bil,9.0,
Grand-,9.0,
eourt grand risuo,9.0,
Grand-Hal,9.0,
"Grand-
Bail",9.0,
Grand-Bail,9.0,
Grand-hlail,9.0,
Granil,9.0,
rand-Bail,9.0,
Grand-Hlail,9.0,
granle,9.0,
rand-ail,9.0,
Colis,10.0,
leglise,10.0,
lisie,10.0,
jolio,10.0,
Tixisr,11.0,
Iixisr,11.0,
parceeque cest,12.0,
quelguo,12.0,
Quen,12.0,
Phques,12.0,
queiquo,12.0,
Afrique,12.0,
peino,13.0,
lapeine,13.0,
Heinl,13.0,
Laprks,13.0,
veines,13.0,
Laprks-midi,13.0,
Lon,14.0,
lon,14.0,
meissan,15.0,
eonnaissanee,15.0,
mhmeIBANKR VYtVE,15.0,
ruissau,15.0,
Muarguerito,16.0,
lorgueil,16.0,
Margue-,16.0,
uerita,16.0,
Mlurguerito,16.0,
frthos,17.0,
ohoso,17.0,
fumer tes champs.-,18.0,
"Eh bionl js prendruais un de tss champs on
pnyemnent",18.0,
hamps,18.0,
naftra,19.0,
maftre,19.0,
Monsisur,20.0,
Lin nisu,20.0,
monsisur,20.0,
ner,21.0,
Prinnerie,21.0,
soignerai,21.0,
ner  sua,21.0,
Nai,22.0,
mnains,22.0,
venais do,22.0,
Nai-j ps ma ur,22.0,
llan'y rontrarapus,23.0,
Remantranaes,23.0,
ountra,23.0,
aharga do asun antratian,23.0,
pus to contraindro,23.0,
eontraire,23.0,
avunt,23.0,
moisso,24.0,
Issouimn,24.0,
Issoudun,24.0,
soupof,24.0,
Inourables d'Issoudun,24.0,
psisso,24.0,
Laissons,24.0,
rssouree,24.0,
sart,25.0,
TR0islM PARTIR,25.0,
Hautes-SEG0NDR PARTIB,25.0,
nePMIR PARTIR,25.0,
quartier-lh,25.0,
ATRIMIR PARTIR,25.0,
srtir,25.0,
TN0IsIMIR,25.0,
PATI,26.0,
ar-0UAYTRIH PATIR,26.0,
bAtir,26.0,
Patito,26.0,
etj',27.0,
etJRANR APOUSE,27.0,
- Merei,28.0,
mereie,28.0,
antndez,29.0,
PANTIk,29.0,
Panl,29.0,
PAHYTIk,29.0,
Cstte,30.0,
Mannstte,30.0,
tte,30.0,
travaillaer,31.0,
Dail-,31.0,
travalil,31.0,
ellae,31.0,
avaeo,31.0,
milla,31.0,
maresta plush dannaer,32.0,
Poonnae,32.0,
h Diu,32.0,
rest6e,32.0,
aisn,33.0,
uu bisn lurl,33.0,
Vais,33.0,
- Mtais,33.0,
oen voudraias pus,34.0,
puvont pus,34.0,
pus,34.0,
vona,34.0,
nessa so puso,34.0,
oinquanta,35.0,
manquAt,35.0,
gne,36.0,
eprgnee,36.0,
vire,37.0,
chneire,37.0,
veir,37.0,
eir,37.0,
"P
I
A.
N",38.0,
"Ki
L
I
I
I
I
I",38.0,
"I

H
I
E",38.0,
"A

I
II1
I
----l",38.0,
Pierres-,39.0,
truver Pierre,39.0,
MIERR,39.0,
"Pierres-
Folles",39.0,
IANNk,40.0,
Ans,40.0,
Vians,40.0,
pau y aompter,41.0,
oompte,41.0,
aoomnpter,41.0,
oes,42.0,
aoes,42.0,
antre moiti6,43.0,
moiti6,43.0,
armoie,43.0,
moitie,43.0,
leeturo de laete,44.0,
l etegeet,44.0,
LL E,44.0,
Mmie,44.0,
porto,45.0,
Ilsporta,45.0,
Iort,45.0,
port6,45.0,
empecher,46.0,
chsrcher,46.0,
Cher,46.0,
chereher,46.0,
du Cher,46.0,
s6cher,46.0,
exueto,47.0,
maiaon,47.0,
"oette
maiaon",47.0,
Maia,47.0,
trs-fort,48.0,
fortPRMIIRRE,48.0,
PRBMIIRRE,48.0,
ort de sa mhro,49.0,
aa mMre,49.0,
RT MRRR,49.0,
touch6 do sa doueeur,49.0,
bouher uno pibdeoe de,50.0,
uhe,50.0,
Nannottat,51.0,
Mannotte,51.0,
loanno,51.0,
east h prandre,52.0,
diset east,52.0,
st houl,52.0,
m6-,53.0,
io m6-,53.0,
allar,54.0,
alluma,54.0,
fallt,54.0,
mre Nanntte,55.0,
mre Nannette;A6,55.0,
mbre Nannette,55.0,
mre Nannette,55.0,
mbre Nannetta,55.0,
mbre Nannatte,55.0,
mre Nannett,55.0,
mre Nainnette,55.0,
mbre Nannetto,55.0,
mbre Nanaetts,55.0,
mra Nanntte,55.0,
Fuuche,56.0,
Touches,56.0,
huche,56.0,
Blancheo,56.0,
d6pana da ux,57.0,
femma da Gerbaud,57.0,
Gerband,57.0,
aprbes,58.0,
Aprbes,58.0,
Aprbs,58.0,
Aprs,58.0,
ain,59.0,
leain pritun bton,59.0,
Sylvain,59.0,
Aini,59.0,
Iaine,59.0,
maine,59.0,
alle,60.0,
lshelle,60.0,
Klle,60.0,
Rlle,60.0,
anfhntsl lle,60.0,
eelle-lh,60.0,
klle,60.0,
FLlE--,60.0,
Nutre,61.0,
vutra,61.0,
Muitra,61.0,
lautrl,61.0,
plaes,62.0,
aesoueil,62.0,
iaes,62.0,
Diaeu,62.0,
maes,62.0,
val,63.0,
valt,63.0,
pas8e,64.0,
passunt,64.0,
- Pas,64.0,
ku pasaunt,64.0,
llle,65.0,
Llle,65.0,
fmllleg,65.0,
- Veux-tu,66.0,
- Vois,66.0,
Vois,66.0,
beusg,67.0,
leuseuse,67.0,
horuais,68.0,
orue,68.0,
impossiblo,69.0,
ssir,69.0,
"E

E",69.0,
rendtt,70.0,
d6fendu,70.0,
Penduant,70.0,
aendurantae,70.0,
entendro,70.0,
rasenmmoda,71.0,
buas,71.0,
ileiuaseiur,71.0,
oolfre,72.0,
oola,72.0,
tete,73.0,
tetel,73.0,
nete,73.0,
voulea,74.0,
voulao,74.0,
Loule,74.0,
Saint-Jean,75.0,
vinttn,75.0,
Saint-Pierre,75.0,
"Saint-
Jean",75.0,
Saint-Iean,75.0,
Saint-lean,75.0,
tta hussa at la,76.0,
tta hussa,76.0,
eNviee,77.0,
Iiens,77.0,
Conviens,77.0,
sssvie,77.0,
Tiens,77.0,
anvio,77.0,
uoiqu',78.0,
quoiquil,78.0,
Hlal,79.0,
ruison,79.0,
ruisonnublo,79.0,
bont6,80.0,
Dumiont,80.0,
stonttot,80.0,
"volonta da
Disu",80.0,
montee,80.0,
tomhee,81.0,
tombsr,81.0,
Combin,81.0,
tlllas,82.0,
llas,82.0,
Lejeun,83.0,
prte,83.0,
Lejeun oolporteur,83.0,
LZ nnoi,84.0,
honnos,84.0,
bhonn,84.0,
miliau,85.0,
humili6,85.0,
tra humili6,85.0,
Mange,86.0,
grange el,86.0,
Iange,86.0,
elange,86.0,
d6rangeAt,86.0,
vendange,86.0,
ommana,86.0,
uund,87.0,
grund,87.0,
Grund-il,87.0,
ocette,88.0,
Nunnetta,88.0,
mre Nunnette,88.0,
mbr Nunnette,88.0,
nettoyee,88.0,
Nunnette,88.0,
"charit6 da
lua mbre Nunnetta",88.0,
mbre Nunnette,88.0,
Nunnetto,88.0,
lean Jusserand,89.0,
Jusserand,89.0,
jugez-en l Jai,90.0,
pee  l sliit,90.0,
vee A,90.0,
de les lyer,90.0,
LiI,90.0,
farae do,91.0,
paruatt,91.0,
aratt,91.0,
oatt,91.0,
nest-oe pas,92.0,
nest-oe,92.0,
SERVICE,93.0,
RN sERVICE,93.0,
RERVICR,93.0,
RANNE BN SERVIGR,93.0,
RN sRVICR,93.0,
serviee,93.0,
biioux,94.0,
So-,94.0,
iout,94.0,
out,94.0,
Iouii,94.0,
Iout,94.0,
herg,95.0,
hergra,95.0,
"mra
Nannatte",96.0,
Nunnatta,96.0,
tta,96.0,
mre Nnnnatto,96.0,
RN SEVI6GR,97.0,
seule.3RANN RN SEVI6GR,97.0,
cupes,98.0,
proat,98.0,
IJae,98.0,
propes,98.0,
proflt,98.0,
provins,98.0,
malemoiselle,99.0,
Mesdemoiselles,99.0,
mademoiselle,99.0,
mdemoisells,99.0,
vienne,100.0,
Etienne,100.0,
slietiee,100.0,
vtie,100.0,
aumne,101.0,
Amne,101.0,
present]110,102.0,
v8pres,102.0,
Apres,102.0,
Mre Tixier,103.0,
"pre
Tixier",103.0,
nuttre Tixior,103.0,
Tixier,103.0,
pre Iixier,103.0,
pre Tixier,103.0,
"f
- Muattre Tixier",103.0,
pre ixier,103.0,
Muitre Tixer,103.0,
corn0s,104.0,
daecord,104.0,
aecoutumee,104.0,
bheaueoup,105.0,
shAteau,105.0,
ieau,105.0,
Ieau,105.0,
As-tu pens6,106.0,
Las-tu,106.0,
as-Rr,106.0,
Pourqquoi,107.0,
Pourquaoi,107.0,
"pltisirquae
iai",107.0,
jardin mpour,107.0,
A foree,108.0,
foree,108.0,
la France,108.0,
bhoire,109.0,
choirs,109.0,
hoir,109.0,
"au-
trefois",110.0,
au-,110.0,
"au-
tres",110.0,
"au-
troes",110.0,
fand tres,110.0,
Ir6chauderiel,111.0,
nuudes,111.0,
ees ides,111.0,
maltresse,112.0,
maltre,112.0,
pltre,112.0,
murut,113.0,
seeurit6l,113.0,
Murgurite,113.0,
Meunet,114.0,
aueun,114.0,
--La jeunesse,114.0,
Neunet-sur-,114.0,
