cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Grise,Paris,la Grise,Merci,buis,,,
1,Périnnerie,Tréchauderie,la Périnnerie,Jugez,Bordinerie,Aidez,,
2,Saint-Pierre,Berry,Tixier,Saint-Jean,la Saint-Pierre,Pierres-Folles,Voyez,
3,aimais-tu,Dis-,Crois-tu,Isaure,Allons,Crois,Sais-tu,crois-tu
4,A,Bourges,Vatan,,,,,
5,Apprenez,Pas,Afrique,,,,,
6,Nannette,provins,Écoutez,petite Nannette,nankin,Mettez,Prévôt,
7,Prends,faraud,Attends,,,,,
8,garniront,Chétif,sèvrerai,veines,occupez,,,
9,huche,Cher,Hautes-Roches,département du Cher,Achetez,,,
10,Es-tu,As-tu,Payez-les-moi,Embrasse,Es-tu assez habile,ressens-tu,,
11,Vois,Sois,J',Mesdemoiselles,,,,
12,Chétif-Bail,Grand Bail,Jusserand,Grand-Bail,rougeur,Savez,Durand,Le Grand-Bail
13,Tes,Laisse,valais,aimais,SERVICE,,,
14,Estimez,Maman,Mange,vendange,,,,
15,Normandie,bâle,ferme des Ormeaux,Ormeaux,,,,
16,Conviens,Tiens,miens,,,,,
17,Voulez,Oui,beurrée,,,,,
18,Coupez,le soleil,sèvre-le tout,,,,,
19,hôpital de Bourges,JEANNE VEUVE,Petite Jeanne,champ de Jeanne,,,,
20,Sylvain,Solange,Te,sainte-Solange,Sainte-Solange,,,
21,Meunet,Meunet-sur-Vatan,lune,brune,,,,
22,Regardez,Poudre,Incurables d'Issoudun,Issoudun,,,,
23,de France,Avez,la Blanche,la somme,la France,,,
