cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,Tiens,Allons,Conviens,miens,Tixier,provins,
1,Crois-tu,Crois,Dis-,crois-tu,Sois,Vois,
2,Prends,Attends,Apprenez,Prévôt,,,
3,J',,,,,,
4,Aidez,Regardez,garniront,,,,
5,brune,lune,,,,,
6,Périnnerie,Tréchauderie,Bordinerie,Afrique,la Périnnerie,,
7,Oui,Écoutez,Coupez,Voulez,occupez,,
8,Berry,Saint-Pierre,Saint-Jean,Isaure,Sylvain,Pierres-Folles,la Saint-Pierre
9,buis,Grise,la Grise,Paris,,,
10,Estimez,Mesdemoiselles,Te,Tes,veines,Hautes-Roches,
11,champ de Jeanne,JEANNE VEUVE,,,,,
12,Sais-tu,aimais,aimais-tu,,,,
13,ferme des Ormeaux,faraud,Ormeaux,,,,
14,ressens-tu,As-tu,Es-tu assez habile,Es-tu,Payez-les-moi,,
15,rougeur,Jugez,beurrée,,,,
16,Incurables d'Issoudun,Issoudun,Poudre,,,,
17,sèvrerai,le soleil,sèvre-le tout,bâle,,,
18,Pas,Chétif,Chétif-Bail,,,,
19,Grand Bail,Durand,Jusserand,Le Grand-Bail,Grand-Bail,,
20,Petite Jeanne,Nannette,nankin,Mettez,petite Nannette,,
21,Embrasse,Laisse,valais,,,,
22,hôpital de Bourges,Bourges,,,,,
23,Solange,A,sainte-Solange,Sainte-Solange,,,
24,Vatan,Meunet,Meunet-sur-Vatan,,,,
25,Maman,vendange,Normandie,Mange,,,
26,de France,la somme,la Blanche,la France,,,
27,huche,Merci,SERVICE,Achetez,département du Cher,Cher,
28,Voyez,Savez,Avez,,,,
