text,cluster,cluster_corrected
Vois,-1,
Laisse,-1,
Regardez,-1,
la somme,-1,
Poudre,-1,
Chétif,-1,
Estimez,-1,
Bourges,-1,
Tixier,-1,
Incurables d'Issoudun,-1,
Voyez,-1,
faraud,-1,
Sylvain,-1,
Tréchauderie,-1,
Berry,-1,
le soleil,-1,
Sois,-1,
Prévôt,-1,
vendange,-1,
Vatan,-1,
ferme des Ormeaux,-1,
Ormeaux,-1,
Afrique,-1,
Solange,-1,
Crois,-1,
Saint-Jean,-1,
la Grise,-1,
Merci,-1,
brune,-1,
Paris,-1,
Conviens,-1,
huche,-1,
Prends,-1,
bâle,-1,
provins,-1,
Pas,-1,
Oui,-1,
Cher,-1,
A,-1,
Tes,-1,
petite Nannette,-1,
Issoudun,-1,
Grise,-1,
Mesdemoiselles,-1,
rougeur,-1,
Achetez,-1,
hôpital de Bourges,-1,
Payez-les-moi,-1,
Jugez,-1,
Normandie,-1,
Mettez,-1,
occupez,-1,
Isaure,-1,
Écoutez,-1,
champ de Jeanne,-1,
JEANNE VEUVE,-1,
Nannette,-1,
Hautes-Roches,-1,
Pierres-Folles,-1,
Coupez,-1,
beurrée,-1,
SERVICE,-1,
sèvre-le tout,-1,
Allons,-1,
ressens-tu,-1,
As-tu,-1,
Meunet-sur-Vatan,-1,
veines,-1,
Es-tu,-1,
lune,-1,
Mange,-1,
aimais-tu,-1,
Es-tu assez habile,-1,
buis,-1,
Jusserand,-1,
de France,-1,
Petite Jeanne,-1,
Te,-1,
la France,-1,
département du Cher,-1,
Chétif-Bail,-1,
Dis-,-1,
Apprenez,-1,
garniront,-1,
Meunet,-1,
Grand Bail,-1,
valais,-1,
Sais-tu,-1,
Aidez,-1,
sèvrerai,-1,
Maman,-1,
Attends,-1,
la Blanche,-1,
Durand,-1,
aimais,-1,
Embrasse,-1,
Voulez,-1,
nankin,-1,
Bordinerie,-1,
J',-1,
miens,0,
Tiens,0,
Sainte-Solange,1,
sainte-Solange,1,
Avez,2,
Savez,2,
Grand-Bail,3,
Le Grand-Bail,3,
Saint-Pierre,4,
la Saint-Pierre,4,
Périnnerie,5,
la Périnnerie,5,
Crois-tu,6,
crois-tu,6,
