cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
-1,Sylvain,Normandie,Dis-,A,Embrasse,Maman,Allons,la Blanche,nankin,ressens-tu,SERVICE,J',la somme
0,Avez,Savez,,,,,,,,,,,
1,sèvrerai,sèvre-le tout,,,,,,,,,,,
2,lune,brune,,,,,,,,,,,
3,Meunet,Meunet-sur-Vatan,Vatan,,,,,,,,,,
4,garniront,Regardez,Aidez,,,,,,,,,,
5,hôpital de Bourges,Bourges,,,,,,,,,,,
6,Périnnerie,Pas,Tréchauderie,Afrique,la Périnnerie,veines,Bordinerie,faraud,,,,,
7,Grise,Paris,la Grise,,,,,,,,,,
8,provins,Prévôt,,,,,,,,,,,
9,Estimez,Isaure,,,,,,,,,,,
10,Apprenez,Prends,Attends,,,,,,,,,,
11,Oui,Poudre,buis,,,,,,,,,,
12,Incurables d'Issoudun,Issoudun,,,,,,,,,,,
13,ferme des Ormeaux,Ormeaux,Merci,,,,,,,,,,
14,Berry,Jugez,rougeur,beurrée,,,,,,,,,
15,Conviens,Tixier,Tiens,miens,,,,,,,,,
16,bâle,Voulez,le soleil,Voyez,,,,,,,,,
17,Coupez,Écoutez,occupez,,,,,,,,,,
18,Laisse,valais,,,,,,,,,,,
19,Saint-Pierre,Saint-Jean,la Saint-Pierre,Pierres-Folles,,,,,,,,,
20,Payez-les-moi,Mesdemoiselles,,,,,,,,,,,
21,Hautes-Roches,Tes,Te,,,,,,,,,,
22,Chétif-Bail,Chétif,,,,,,,,,,,
23,Solange,sainte-Solange,Sainte-Solange,,,,,,,,,,
24,Mange,vendange,,,,,,,,,,,
25,de France,la France,,,,,,,,,,,
26,Grand Bail,Grand-Bail,Le Grand-Bail,,,,,,,,,,
27,Jusserand,Durand,,,,,,,,,,,
28,Vois,Sois,,,,,,,,,,,
29,Nannette,JEANNE VEUVE,Petite Jeanne,petite Nannette,champ de Jeanne,,,,,,,,
30,huche,Cher,département du Cher,Achetez,Mettez,,,,,,,,
31,Crois-tu,Crois,crois-tu,,,,,,,,,,
32,Es-tu,As-tu,Es-tu assez habile,,,,,,,,,,
33,aimais-tu,aimais,Sais-tu,,,,,,,,,,
