text,cluster,cluster_corrected
Villers-Cotterets,0,
—- Pauvre,0,
Vovray de Garderé,0,
Carmélites,0,
CHATEAU DE BINON,1,
Fronde,0,
"75

Sortait",0,
château de Sinon,1,
Turin,0,
Estrées,0,
Croyez-,0,
ais,0,
Insensée,0,
Am-,0,
Que veux-tu,0,
Îl,0,
lüi,0,
Que veux,0,
I,0,
château d’Anizy,1,
Croïx-Blanche,0,
Cour de France dans.le vieux,0,
Saint-Gabriel,0,
Venez,0,
Soyons,0,
b59,0,
"Sis-
I",0,
Carrousel,0,
AÀ,0,
"château
de Versailles",0,
A',0,
cria-t-ellé,0,
Comptez,0,
pareïs,0,
Que veux-tu dire,0,
guérie,0,
pays-c,0,
Paris,0,
en',0,
"retenue,-ne",0,
Fresque,0,
Cherche,0,
Sinon,0,
Maintenant,0,
Villeroy,0,
Dédaigné,0,
Combien,0,
Conscience,0,
Fort bien,0,
Terre-Sainte,0,
DE CHATEAU DE SINON,1,
Civile,0,
La Journée,0,
Hen.,0,
Emmenez,0,
Mothe-Houdancourt,0,
Clan,0,
Celte,0,
Picarde,0,
Ursulines,0,
lune,0,
St Madame,0,
Ajoutez,0,
Picardie,0,
Roï,0,
bravade,0,
Croyez,0,
quis,0,
Madarïe,0,
Clermont d'Amboise,0,
Lambertremit,0,
perlé,0,
Êtes,0,
Argus,0,
Pardonnez,0,
CHATEAU DÉ SINON,1,
Rou-,0,
gie,0,
Lejeune,0,
Rentrée,0,
L a1,0,
Cerbères,0,
M,0,
ae Ven,0,
Bussy-La-,0,
A T +,0,
Cherchez,0,
Passionnément,0,
Bourgogne,0,
-SINON,0,
Fêtre,0,
"49

Vallière",0,
"ile tes.

LE CHATEAU DE SINON",1,
aéc,0,
chavannes,0,
Vallière,0,
Mothe,0,
"au-

LE CHAPEAU",0,
Courval,0,
On s’,0,
"Écu

de France",0,
Coucy,0,
jardin des Hespérides,0,
allät,0,
enne,0,
pp ee Emme,0,
Vousprendrez,0,
Aimez,0,
vingtans,0,
N E,0,
Emme,0,
La Vallière,0,
Faut,0,
auberge de Saint-Gabriel,0,
Normandie,0,
Pas,0,
Causa,0,
féPre,0,
Pignon,0,
Louis-le-Gros,0,
Anizy-le-Châtel,0,
tespan,0,
tina,0,
Leurs,0,
étiez,0,
de France,0,
jura,0,
sailles,0,
Albret,0,
La-,0,
Grignan,0,
M. de,0,
"Al
bret",0,
franée,0,
Îs,0,
Absolument,0,
Bohémiens,0,
D,0,
Jé,0,
Champagne de Navarre,0,
Inconséquence,0,
Répondre,0,
Soit,0,
Tonnay-Charente,0,
Sire,0,
Lamineït,0,
Anim,0,
Voulez,0,
Songea,0,
Ellé,0,
Nicolle,0,
"com-

-

tesse",0,
sès,0,
maderoïselle,0,
Tarente,0,
Corcy,0,
Chavignon,0,
Aixin,0,
Ursulines de Laon,0,
SET HO,0,
Votre,0,
| E —,0,
crièreni-elles,0,
CHATEAU DE PINK,1,
Orléans,0,
Pignerol,0,
t’,0,
Louis-le-Grand,0,
color légèrément,0,
au',0,
Allons,0,
meth,0,
mienne,0,
ain,0,
GHATEAË,1,
Le vois,0,
Acceptez,0,
Corey,0,
Si-,0,
Minence,0,
terre de Sinon,1,
"P

—",0,
àla cour,0,
Made-,0,
Ramasse,0,
Attends,0,
bure,0,
Pour-,0,
Battu,0,
Je l’,0,
Je la vois,0,
Chapelain,0,
P,0,
"la-

pier",0,
ferais-tu à ma place,0,
couvent des Ursulines,0,
Gardez,0,
carioledeM. Cœur-de-Roy,0,
Jeudi-,0,
moselle de la Vallière,0,
Ayez,0,
ON,0,
Gabrielle,0,
LE CHATEAU DE SINON,1,
Prémontré,0,
chambre de mademoiselle de,0,
Lameth,0,
Rochefort,0,
Louison,0,
François,0,
BOT CN,0,
Lamethr,0,
NH,0,
Al,0,
Tenez,0,
Roucy,0,
Providence,0,
"par-

LE CHATEAU DE",1,
Anizy figura,0,
h LL,0,
Et l’,0,
verrou,0,
FataL,0,
méveille,0,
Patience,0,
Lien,0,
As-tu paré,0,
ÉCLIPSÉ,0,
DE CHATEAU DÉ SINON,1,
Soyez,0,
Ÿ.,0,
gard,0,
