text,cluster,cluster_corrected
pre,0,
-Prenez,0,
precher,0,
Navarre,0,
-Desprez,0,
Apres,0,
Combien,1,
tomber332,1,
BIen-,1,
gie,1,
raccommoda,1,
de Versailles,2,
chateau de Versailles,2,
Remont  Versailles,2,
Versailles,2,
Desmonte,3,
".,-",3,
emeraudes,3,
crmonie,3,
Remont,3,
mantes,3,
france,4,
grace,4,
Francois I,4,
de France,4,
esperance,4,
Cour de France,4,
deFrance,4,
la France,4,
Jo-,5,
Jouet,5,
-Jouet,5,
detoue,5,
ar-,6,
Argus,6,
Large,6,
Mortagne,7,
gne,7,
neth,7,
Allemagne,7,
Pignerol,7,
menez,7,
Bourgogne,7,
f,8,
Gardez,8,
Cedez,8,
gard,8,
lille,9,
notrefamille,9,
gill4e,9,
soleil,9,
Illes,9,
Louison Beaupr.292 Lt CA'TAbOU,10,
Louison,10,
Oh l Louison,10,
Prison,10,
-Louison,10,
AA,10,
Louis-le-Gros,10,
Sinon,11,
INON,11,
Sion,11,
PINO,11,
SINoN.,11,
CHIIATSAU D SINON,11,
Tonnay-Charente,12,
chard,12,
Tarente,12,
"II

iii
IIIII
Lettre",13,
II,13,
perduelIIIIIIII,13,
tour,14,
--Tout,14,
toul,14,
luitournt,14,
Tours,14,
CHAPEAU DE SINON,15,
LL CHATEAU D SINON,15,
CHATEAU DE INON,15,
HAMEAU DE SINON,15,
F0te-LE CHATEAU- DE SINON,15,
EE CHATEAU DE SINON,15,
aLIL CHAPEAU DE SINON,15,
le chteau,15,
eleganceLE CHATEAU bDE SINON,15,
CHATEAU D SINON,15,
"chateau
de Sinon",15,
E CHEVEAU DE SINON,15,
CHATEAU DE SiNON,15,
CHA1EAU DE SINON,15,
hol-LE CHATEAU DE SINON,15,
CHATEAU DE PrO.,15,
CHATEAU E SINON,15,
E CHATEAU DE SINON,15,
chateau de Fayel,15,
CHATEAU DE SINON,15,
gardeE CHATEAU DE SINON,15,
Vraiment?LE CHATEAU D SINON,15,
montre272  LE CHATEAU D SINON,15,
CHATEAU DE P1NON,15,
laLE CHATEAU DE SINON,15,
legerLE CHATEAU DE SINON,15,
terre de Sinon,15,
CATEAU bDE SINON,15,
CHATEAU bUE SINON,15,
chteau de Sinon,15,
Ls CHATEAU DE SINON,15,
"tra-252
LE CHATEAU DE SINON",15,
CHATEAU DE 1INON,15,
LI CHATEAU DE SINON,15,
lom-LE CHATEAU DE SINON,15,
lob-LE CHATEAU DE SINON,15,
chteau de Sissone,15,
IE CHATEAU DE SINON,15,
folatre et gra-LE CHATEAU DE SINON,15,
CHAPITEAU E SINON,15,
CHATEAU dE SINON,15,
CHATEAU DE PIGNON,15,
