cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Çudra,Voudrait-,,,,,,,,,,,,
1,L’,l’,I,A l’aube,,,,,,,,,,
2,Pierrotte,"BABAROTTES 17

LS","PIERROTTE 145

oo",Î,"Pierrotte…
Est",Mie Pierrotte,"Pierrotte!

Pierrotte",Pierrotte s’,Mile Pierrotte,,,,,
3,LS,LT LS,LS L,,,,,,,,,,,
4,Egypte,pyramide d'Egypte,,,,,,,,,,,,
5,m'’inspiraient,n'’irai,m'’introduire,m'’invitait,m'’effraya,m'’écrivaient,,,,,,,,
6,Cévenol,Cévenol l’,Cévennes,Cévenole,Vendredi,,,,,,,,,
7,Quelque,Quelquefois,Bouzanquet,Ménalque,Quels,Perroquet,Jacques,Laquelle,,,,,,
8,Tes,Amalécites,Jardin des Plantes,TE,bte,Carmélites,"Tes

l’air","TES

Sd",,,,,,
9,Attention,Attends,Religion,,,,,,,,,,,
10,Prés,Précédé,sabré,,,,,,,,,,,
11,C’,Barbette,Barbette!.,À,Barbette… Allons!,cette Bastille,,,,,,,,
12,Magasins,Madagas-,,,,,,,,,,,,
13,Travaille,mitra,As-tu bien travaillé,Hacqueville,Raspail,,,,,,,,,
14,Daçaratha,Bhagiratha,,,,,,,,,,,,
15,Saint-Cloud,Saint-,Saint-Pierre,Saint-Nizier,église Saint-Pierre,rue Saint-Benoît,Saint-Emilion,Saint-Pétesbourg,Saint-Esprit,Saint-Théophile,,,,
16,terre,Nanterre,"place des
Terreaux",D TER,rue Lanterne,Angleterre,,,,,,,,
17,Pardon,Parthénon,Chardon,,,,,,,,,,,
18,Rome,Rogé,trompe-la-mort,lapromenade,Promettez,,,,,,,,,
19,"Château-
Neuf-des-Papes",Neuf-des-Papes,Château-,,,,,,,,,,,
20,Araignée,Désir-de-plaire,Prairie,la Prairie,,,,,,,,,,
21,Marseille,Vieille,Marsala,rs,Conseille,,,,,,,,,
22,Lamartine d’Elvire,Quartier-,Quartier Latin,"Quartier
Latin",Latin,Moustier,"Quartier
Latin!",Quartier-Latin,,,,,,
23,Vallée,Allez,Mlle,,,,,,,,,,,
24,RSR R RER,dr rs,"CHOSE

RSS RER E SR R",SRE,,,,,,,,,,
25,Holà,"CHOSE

Tr

 

 

 

tot",Chose,Petit Chose,"CAOUTCHOUCS III

rs",D,,,,,,,,
26,"mer

 

 

 

 

LE ROMAN","mer

 

 

 

 

LE ROMAN DE",mans,,,,,,,,,,,
27,le Rhône,Lx,Rhône,Le Rhône,,,,,,,,,,
28,Océan,Cunocépa,,,,,,,,,,,,
29,J'aimais,"RUE
— J'ai",aimais,J',,,,,,,,,,
30,EPS,gardes-du-corps,du Nord,Regardez,,,,,,,,,,
31,Vienne,Nous vivions,Providence,Vive,VIOT,VI,Viçva-,victoria,,,,,,
32,les Angélus,Angélus,F,lui!.,Langlumeau,,,,,,,,,
33,Pier-,Nizier,Mlle Pier-,Cahier,Grossiers,Pie,,,,,,,,
34,qu’,jusqu’,Vénus,Jusque,,,,,,,,,,
35,buis,sais,cendis,Is,Vois,Sois,suisse,Pise,niais,miséra-a-ble!,initiais,Réfléchissez,,
36,"PAPILLON

Je crois bien!",m’,cimetière des Papillons,Papillon,guide-ballon n’,"PAPILLON
Chut","PAPILLON

Est","PAPILLON S
Ah!",Grillon,PAPILLON,Cap,"PAPILLON

C’",,
37,Comédie-Française,Théâtre-Français,Comédie,,,,,,,,,,,
38,Vieux-Collège,collège de,"collège de
Sarlande",collège cèlèbre,collège de Lyon,Récollets,collège n’,,,,,,,
39,théâtre Montparnasse,Montparnasse,boulevard Montparnasse,,,,,,,,,,,
40,A TRUE,rue des Dames,Dame,victoria de la dame,rue de Lille,"Ù
Ê",Rue des Dames,DAME,,,,,,
41,Trouves-tu mon Muguet,Muguets,Muguet,bésigue,Cadet,Languedoc,,,,,,,,
42,A,la Bretagne,Cassagne,sagne,d’Espagne,Bretagne,j’,,,,,,,
43,m'’appelait,m'’allait,Te rappelles-tu,m'’appelais,,,,,,,,,,
44,gros Serrières,Serrières,serrure,Sèvres,,,,,,,,,,
45,Paris,Parisiens,Charivaris,Parisien,Tiens,,,,,,,,,
46,Eux,veux-tu,Eu,,,,,,,,,,,
47,Rosellen,Grenelle,Le Rosellen,Mademoiselle,Rose,,,,,,,,,
48,Alsacien,Alsace,Algérien,Éliacin,,,,,,,,,,
49,Voyez,Avez,Savez,Caveau,,,,,,,,,,
50,Arrêtez,Prêtez,,,,,,,,,,,,
51,LL LPS,Sd,LL LL Sd,"ENLÈVEMENT 217

w / ae SI LL Sd",,,,,,,,,,
52,Combien,Lombards,Colombine,,,,,,,,,,,
53,"CRISTAUX
Ancienne Maison Lalouette

|
|
|",Fouette,goutte,Lalouette,Ebloui,"vieux
Lalouette",Rana-Valo,,,,,,,
54,È,,,,,,,,,,,,,
55,Odéon,Lyon,Mont-,Montmartre,honte!.,Montélimart,mont-de-piété,"-

Moi",Montez,,,,,
56,songeuse,Robinson,Sonne,Bonsoir,tonnelle,,,,,,,,,
57,PA fesse RD,noble n’,"fe me cn -

 

 

X
IRMA",baie de Naples,Se dd,"Bibliothèque nationale de France

4 LE PETIT CHOSE

ro

 

PE

 

 

 

US

Je dois dire",160 LE PETIT,titis de l’,,,,,,
58,Grand-Cercle,Petit-Cercle,Grand-Orient,,,,,,,,,,,
59,ronfla,porte Zéperons,Zéperons,Emporte,,,,,,,,,,
60,-je,Entrerai-je,Æ,,,,,,,,,,,
61,Sarlandais,Sar-,Sarlande,Inde,,,,,,,,,,
62,la manche,du cher,Pacheco,Perrache,Cher,Mon cher,Evêché,Chers,,,,,,
63,EE,Dsnemeete- Di,,,,,,,,,,,,
64,Frinc,principal n’,principal,Port-au-Prince,,,,,,,,,,
65,Géniès,Danielo,Daniel,,,,,,,,,,,
66,"Limoux
Seulement",Fougeroux,Amour,Limoux,,,,,,,,,,
67,ben,Pme,Confusément,Enr,Men,Bohême,,,,,,,,
68,Coucou-Blanc!.,Coucou-,Micou,Coucou-Blanc,Écoutez,COUCOU-BLANC,Blanc,Mile Coucou-Blanc,Coucou,"Coucou-
Blanc",Boucoyran,Annou,,
69,Alfort,Or,Infortunes,École d’Alfort,,,,,,,,,,
70,îles Marquises,Chenilles,fillesen,Les Chenilles,Naples,LES,,,,,,,,
71,Anastagille,Lakçamana,mastoïdes,Anastasie,d’,Gymnase,,,,,,,,
72,faubourg Saint-Germain,Saint-Germain-des-,Saint-Germain-des-Prés,Saint-Germain,clocher de Saint-Germain,Maintenant,Prés-Saint-Gervais,,,,,,,
73,Luxembourg,beurrées,bourrée,Tribou,—- Bonjour,t’,,,,,,,,
74,Champenoise,sur-le-champ,champagne,pagna,,,,,,,,,,
75,Seigneur,Notre-Seigneur,Guigne,Signez,,,,,,,,,,
76,Polichinelle,Chinois,Coquine,Chili,Chine,Philistine,,,,,,,,
77,Scarabées,TS,Escargots,,,,,,,,,,,
78,m'’entraînant,s’,s’entr’,,,,,,,,,,,
79,Fanfan-la-Tulipe,Vois-tu!,"Es-tu
retourné",TU,Crois-tu,croisée,Sais-tu qu’,,,,,,,
80,romains,Touraine,Maine,Porcelaines,uma,Foin,Mathurine,,,,,,,
81,Midi,le Midi,,,,,,,,,,,,
82,ner là-bas,trouverez là-bas des amis,Bas,irons /à-bas,Ià-bas,,,,,,,,,
83,MIle,Voilà,soleil,lilas,ILE,80 LE,,,,,,,,
84,"RÊVE 229

D",RÊVE,,,,,,,,,,,,
85,Musette,Eyssette,Mne Evyssette,,,,,,,,,,,
86,théâtre de Paris Quant,théâtre de Paris,,,,,,,,,,,,
87,Toto do do dd,tolocototignan,"Toloco-
totignan",oo ot oo todo,Tolocototignan,Toloco-,,,,,,,,
88,Fe,"FETE

AE",AE,,,,,,,,,,,
89,Pruneaux,Ë,bordeaux,Sceaux,Faust,BE,Beaux,Beaucaire,,,,,,
90,Lovelaces,Place!,,,,,,,,,,,,
91,m'’asseoir,Lo,Embrasse,fort Loyasse,Loyasse,,,,,,,,,
92,Afrique,l'Afrique,,,,,,,,,,,,
93,Poussé,poète!.,Pouah,Impossible,d’hippopotames,Po,,,,,,,,
94,Aïmez,ST St,Rime,estimez,,,,,,,,,,
95,voyais,Palais-Mazarin,Kalatçala,Palais-Royal,,,,,,,,,,
96,Turc,«Ce,RCE S ON,RCE,S,Nice,,,,,,,,
97,Bach’,Bamban!.,bah,Bandit,Cuba,Bamban,,,,,,,,
98,kakatoès,Vatel,AT,,,,,,,,,,,
99,Batignolles,"Bati-
gnolles",Ê,,,,,,,,,,,
100,Pilouitt!.,mois!.,Rà,Pilois,Pilois!.,kss!.,,,,,,,,
101,Rendez,Éttenez,Comprends-tu cela,recopiât,Venez,Comprenez,,,,,,,,
102,"rue
Saint-Guillaume",rue Saint-Guillaume,Saint-Guillaume,,,,,,,,,,,
103,Brave,P,Bravo,,,,,,,,,,,
104,SAUMON 175,SAUMON,Saumon,,,,,,,,,,,
105,vages,O,Jugez,Courage,wagon,Agen,,,,,,,,
106,guipure,Malheureuse-,Malheu-,Figurez,Malheureu-,,,,,,,,,
107,Souwaroff,soufHe,Pérou,Soubeyrol,,,,,,,,,,
108,l'Italie,Italiens,salie!.,Sitôt,Italien,Hospitalier,lit n’,Italie,,,,,,
109,LA BÊTE À BON DIEU,"LA BÊTE A BON DIEU

Quoi donc ?

LE PAPILLON","Ps

A ii

D",LA BÊTE A BON,LA BÊTE A BON DIEU,,,,,,,,,
110,Bernerette,Roberte,Ser-,DER,Fer,Palerme,RER,"FER 97

Sd dd dd",Consterna-,Université,Observatoire,tueras là-haut,ER,TIRER
111,Cristaux,Nécro-,Chauve-Souris,critérium!.,Rio,Crusoé,Écris,,,,,,,
