cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127
-1,"maitres,-","Musc
severe","L-N

A
f",MI,voyais,joufflus de douze,Somme,rue Lanterne,Infortunes,noms.r6z,tete empanachee,"J

-'
1
x
1",Lombards,1N,"16 J
as4 -
L",veloursl,MArie-anne,Fanfan-la-Italie,Accoude,asphyxie les etrangle,Couru-Blanc,precipite,benl,Tiens,Ma-,"Es-tu betel
Si la tete te tourne",N-,rY,tristel...,dEmanda,mefie-toil,frenesie,Port-au-Prince,Micou,melopee,Comnme,Boulons,Saint-Petesbourg,mastoides,premierln,equerres,celebres,Rio,trompe-la-mort,Vatel,Eh,exageree,Grillon,x=-,Colombine,Bernerette,"CHIOSE
A",Champenoise,reponse,e,par-dessus,IMt,laLE ROMIAN,magnifiquel,Cudra,t.t,Voyez,5I,Cristaux,N,Palerme,Pas,ronfla,Tes,Cuba,r8,L7sLL- L-L-L3,flte,Hospitalier,rien.- A,Souwaroff,Saint-Theophile,Entrezl,Tribou,Eux,tempete,Retourne,faubourg Saint-Germain,sur-le-champ,MASoN,S,larmcs,"I


-' Et
y",Paques,Pres-Saint-Gervais,Chauve-Souris,BeteI74,Cecilia,Chutl,Robinson,passerelle,La creole,"sous-prefectureln
Est",Iardin,La Bete,Muse badine,les Debuts,palotte,L.R,Crusoe,a6,assis,Boucoyran,cheminee,echantillon,jE,ceda,vicille fee,Saint-Emilion,Soudain,Cevennes,Prés,croirais-tu poete,boue de Paris,Mademoiselle.6,bouteille debouchee,enfaNt',Sar-,les86,"pAs eNcore
rencontree","Chosel
Or",desert,neud
0,4,E,.`2,I,.,P,C(.%,Y,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,O,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,.l,f,.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,I54,I59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,F,I99,"I,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3C-,C-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tolocototignan,tolocototignan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,saluerentIIIRIAR,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Turc,"IX
TU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
