cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,abbe Germane,"abbe
Germane",II,I49,abbe,Germane,,,,,,
1,Cecilia,P,humilie,Chili,FR,,,,,,,
2,alle,Vallee,allezl,Mlle,talle,Allez,,,,,,
3,menage,eleve Menalque,vages,Menalque,Ls,exageree,vIOT,menagerie,,,,
4,sagne,Cassagne,d'Espagne,pagna,la Bretagne,Bretagne,,,,,,
5,IEst,estimez,aSans,IMes,,,,,,,,
6,kakatoes,"Wsa
-",aJ',,,,,,,,,
7,Grand-Cercle,grand Baghavat,rY,Grand-Orient,Bandit,Faust,,,,,,
8,Sonne,MASoN,chiffonnee,iNN,"II
hY",-C,"W
g.

r.' F",,,,,
9,gresil,I,resister,"maitres,-",hesiter,Malgre,"P
L",frenesie,,,,
10,Annou,dore,J4,"E
R",,,,,,,,
11,connaft,plaft,unc,Laf,deplaft,Ma-,,,,,,
12,Pretez,srete,tempete,"xee
-",discrete,Arretez,,,,,,
13,du Nord,S6dt,S,tolocototignan,Tolocototignan,Nh,,,,,,
14,Jugez,"Bati-
gnolles",I59,Batignolleslo,gnol,,,,,,,
15,SAINT-NIzIER,SAINT-NIZIER,Saint-Nizier.n,Saint-Nizier,Nizier,Saint-Nizierl,,,,,,
16,Pier-,piece,Mlle Pier-,Grossiers,O,,,,,,,
17,He,,,,,,,,,,,
18,grace,Alsace,,,,,,,,,,
19,College,Recollets,"val
Quand je rentrai au college",Vieux-College,collegel,J',bibliotheque du college,,,,,
20,faiblement.z=-,menton,W1,Confusement,Boheme,L'ENLEvEMENT,"Limoux
Seulement",4--,bleme,Vraiment,,
21,fort Loyasse,assis,Loyasse,Embrasse,passerelle,,,,,,,
22,Desir-de-plaire,eclairee,Pecairel,Beaucaire,soiree,secrdtaire dejeune,,,,,,
23,Marquises,---rciseizzz--,miserablel,C-,Pise,t-'-,lisezl,,,,,
24,niais,voyais,croirais-tu poete,MIais,aimais,etais,sais,ecoutais,,,,
25,"PAPILLON
Grimpe","PAPILLON
Ehl",L.-iw,"PAPILLON
Quoil",Papillon,"PAPILLON
Ehl bienl",PAPILLON,,,,,
26,Gymnase,Anastasie,rs,Anastagille,Pl,,,,,,,
27,Savez,Avez,savezl,"W

I,5
V. W",,,,,,,,
28,sur-le-champ,champagne,Champenoise,R-L,,,,,,,,
29,Pruneaux,Cuba,Beaux,Turc,bordeaux,"W
1P
I","place des
Terreaux",Sceaux,,,,
30,"hM
r
J
L",Jacques,Iacques,Jacquesl,Hacqueville,Paques,,,,,,
31,N-,Egypte,Grenelle,Rosellen,Rosel,Mademoiselle.6,Rose,Le Rosellen,,,,
32,la Prairie,Ih1,Prairie,,,,,,,,,
33,dejeuna,Heinl,Deja,,,,,,,,,
34,l1'Academie,Cadet,premierln,l1'Odeon,Viva-,gr-c-,,,,,,
35,W,fievres,givre,levre,fievre,Sevres,I.E,,,,,
36,f,Inde,Rendez,Comprends-tu,saluerentIIIRIAR,,,,,,,
37,Adieul,IMt,Comedie,t,Comedie-Francaise,Comnme,Comeidie,,,,,
38,Md,tenezl,Comprenez,Venez,pensezl,enerve,Tenezl,tenonslo,,,,
39,NC2,Sarlandais,Sarlande,"college modele de
Sarlandel",Nice,Sar-,,,,,,
40,NJ,Rome,Promettez,cette Bastille,.l,Bernerette,as4  -,,,,,
41,c:::cz:=:t,Montparnasse,h Montparnasse,theatre Montparnasse,a Montparnasse,boulevard Montparnasse,,,,,,
42,11Aill,aIl,ILL',Raspail,,,,,,,,
43,le Midi,laLE ROMIAN,merl Le ciel,Midi,,,,,,,,
44,baie de Naples,tE,canape,Naples,les86,,,,,,,
45,Saint-Emilion,Saint-Esprit,Saint-,Saint-Theophile,Saint-Petesbourg,Saint-Cloud,"P' -L
- 
=",,,,,
46,"Vieille
bete de Pierrotte","P
N .5","Pierrotte
Pierrotte","Vieille
bete de Pierrotte, val",Pierrotte -,"PIERROTTE
I43
Cevenole",Pierrotte,Pierrotte.n,palotte,,,
47,Vendredil,Vive,k--,vENDRAS,Ca,aC',Cudra,Vendredi,TU vENDRAS DE LA,,,
48,Mont-,Montez,"A
-.

yAZ

'LA",Montmartre,mont-de-piete,,,,,,,
49,songeuse,conge,Angelus,hideuse,Mluse,IM,,,,,,
50,Eyssettte,Musette,Eyssette,Mee Eyssette,Eyssettel,,,,,,,
51,rLL---LL-LLL-L.L.L-LL,"L--
`",pays-lh,LL7sLL-LL-L-L3,"L--
`-",,,,,,,
52,got,Chenilles,Les Chenilles,aA,fillesen,,,,,,,
53,venere Lalouette,"vieux
Lalouette",Lalouette,Fouette,MI,Mee Lalouette,Lalouettel,Is1,,,,
54,Blanc,Y-N,Lyon,Blancs,noms.r6z,,,,,,,
55,"S
---
e",L----,a----,1---- IH,"C---e
L",Dig,,,,,,
56,Muguet,Bouzanquet,Muguets,baguettel,Languedoc,,,,,,,
57,Espa-,Or,aUn Espa-,,,,,,,,,
58,a'-a,"Y '
W,--r
7-x
'",,,,,,,,,,
59,Roberte,Robinson,MIimi-Pinson,.f,,,,,,,,
60,11I5,Grillon,guide-ballon,reveillon,echantillon,Rio,Allonsl,,,,,
61,Combien,Eh bien,rien.- A,Bientot,Tiens,Alsacien,,,,,,
62,Maintenant,Rh6ne,"Saint-Germain-des-
Pres",clocher de Saint-Germain,"I


-'  t",Saint-Germain,faubourg Saint-Germain,Pres-Saint-Gervais,Saint-Germainl,horloge de Saint-Germain,Saint-Germain-des-Pres,romains
63,Chose.8,Chosel,Choseln,Chose,"Chosel
Or",I54,,,,,,
64,sec.g6,echope,Crusoe,seche,,,,,,,,
65,Carmelites,Carmelites -,iM,m-,larmcs,place d'Armes,Palerme,Escargots,,,,
66,Broum-Broum,eperdus,Perou,apergcu,Fougeroux,"I

-
i",,,,,,
67,egayer,Saint-Benoft,rue Saint-Benoit,rue Saint-Benoft,benl,,,,,,,
68,frangcais,Frangais,Theatre-Frangais,"Theatre-
Frangais",Theatre-Frangcais,Theatre-Francais,theatre,"J

-'
1
x
1",annongca,,,
69,WL,Saumon,Eh,SAUMON,,,,,,,,
70,Figurez,Entrezl,guipure,LP-N,,,,,,,,
71,Boucoyran,r6gI,"Boucoyranln
- Bonjour",,,,,,,,,
72,execre,ecria,Necro-,A,,,,,,,,
73,Cherchons,Mon cher,Cher,du cher,la manche,,,,,,,
74,.--,.--ac-'-,cC`--.--.-  ---:-r--,,,,,,,,,
75,Langlumeau,Angleterre,Nanterre,equerres,,,,,,,,
76,Regardez,fardees,garde-robel,gardes-du-corps,,,,,,,,
77,meLEsS,pele-mele,eleves,melopee,celebrer,celebres,,,,,,
78,Pardonne,Pardon,Chardon,,,,,,,,,
79,reveillee,bouteille debouchee,vicille fee,Villle,Marseille,Camillel,Conseille,Mlol,petille,,,
80,LIl,moitie,IMoi,Limoux,,,,,,,,
81,RAEvE,REvE,"Musc
severe",treve,,,,,,,,
82,lLs-,Rhone,F-=,,,,,,,,,
83,Saint-Guillaume,rue Saint-Guillaume,A -.s,"rue
Saint-Guillaume",rue Saint-Guillaumel,,,,,,,
84,Quartier Latin,Moustier,Cachotier,Quartier-Latin,quartier,Quartier,,,,,,
85,cimetieres,Arrivee,tapissieres,arriere,Serrieres,Serrieres.n,Serrieresl,serrure,r8 fevrier,,,
86,Genies,Daniel,Danielo,F,Danielln,,,,,,,
87,"A 4


d
'",.L,Bonsoir,Vois,voirl,emouvoir,,,,,,
88,Cevennes,Cevenole,Cevenol,,,,,,,,,
89,Bamban,Caveau,avenue,Bravo,1N,bravel,,,,,,
90,Palais-Mazarin,palais de la fee Porcelaine,Palais-Royal,,,,,,,,,
91,".G

-

'",L.R,I47,,,,,,,,,
92,Marsala,Kalatala,ZY,,,,,,,,,
93,credence,Port-au-Prince,Emporte,Frinc,Providence,,,,,,,
94,mefie-toil,toi.n,toitl,mastoides,Souviens-toi,,,,,,,
95,AY,Barbette,Barbetten,Barbettel,,,,,,,,
96,manecanterie,avantl,Plantes,5I,ardin des Plantes,rue Lanterne,Tes,,,,,
97,rue des,rue de Lille,rue des Dames,Dames,,,,,,,,
98,CoUCoU-BLANC,Coucou-bBlanc,"Coucou-
Blanc",Micou,essouffle.coUcoU-BLANC,Accoude,Coucou,Coucou-Blanc,Coucou-,Coucou-Blancl,Coucou-Blancl Est,"K

.-1coUcoU-BLANC"
99,hate,Neuf-des-Papes,Chateau-,"Chateau-
Neuf-des-Papes",,,,,,,,
100,w-4,Saint-Pierre a Montmartre,"a47
Ici",Ohl,Saint-Pierre,eglise Saint-Pierre,,,,,,
101,Petit-Cercle,"sous-prefectureln
Est-ce",Est-ce,,,,,,,,,
102,iles Marquises,joufflus de douze,asphyxie les etrangle,A hx--,les Debuts,M. de,Voyez,,,,,
103,x=-,Cap,,,,,,,,,,
104,Rana-Valo,val,,,,,,,,,,
