cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0.0,Pierrotte,Pierrotte.n,palotte,"Vieille
bete de Pierrotte, val",Pierrotte -,"Pierrotte
Pierrotte","Vieille
bete de Pierrotte","PIERROTTE
I43
Cevenole",,
1.0,ner la-bas,la-bas,LA--3,Bas,lh-bas,,,,,
2.0,l1'Academie,Cadet,premierln,,,,,,,
3.0,Comedie,Adieul,Comeidie,Comedie-Francaise,,,,,,
4.0,songeuse,Mluse,conge,hideuse,Angelus,,,,,
5.0,Pousse,poussde,,,,,,,,
6.0,"a6
LE PETIT CHOSE",Petit Chose,"les86
LE PETIT CHOSE","mien.2o
LE PETIT CHOSE","arriere-magasin.r8o
LE PETIT","7LL-L-L
LE PETIT CHOSE","porte du collegel88
LE PETIT CHOSE","plus54
LE PETIT CHOSE
LL","BeteI74
LE PETIT CHOSE",
7.0,"sI. -
I
-
5:
i","W
I
2

re","I

-
i",,,,,,,
8.0,Combien,rien.- A,Comnme,Colombine,Bientot,Eh bien,,,,
9.0,hotel Pilois,hote,hotel,"hotel Piloisl...
Du",Vatel,Pilois,,,,
10.0,voyais,Voyez,sais,aimais,,,,,,
11.0,separa,paraft,Cunocepa,,,,,,,
12.0,"16 J
as4",as4  -,,,,,,,,
13.0,Barbette,Barbetten,Barbettel,,,,,,,
14.0,"-
-
-]","xl-
-.","w1
-
-7YIII",,,,,,,
15.0,Pres-Saint-Gervais,faubourg Saint-Germain,Saint-Germainl,horloge de Saint-Germain,Heinl,"Saint-Germain-des-
Pres",Saint-Germain,clocher de Saint-Germain,Saint-Germain-des-Pres,
16.0,Saint-Cloud,Saint-,Saint-Petesbourg,Saint-Theophile,Saint-Emilion,Saint-Esprit,,,,
17.0,Pardon,Chardon,Pardonne,,,,,,,
18.0,Rendez,Comprends-tu,Comprenez,,,,,,,
19.0,"L--
`-","L--
`",,,,,,,,
20.0,Prairie,la Prairie,,,,,,,,
21.0,Serrieresl,Serrieres,Serrieres.n,serrure,arriere,r8 fevrier,,,,
22.0,rue des Dames,rue de Lille,Dames,les Debuts,rue des,,,,,
23.0,Marseille,Marsala,bouteille debouchee,Camillel,Conseille,petille,,,,
24.0,Apres,representee,Pres,"maitres,-",precipite,rang.- Presentez,,,,
25.0,hesiter,resister,gresil,tristel...,,,,,,
26.0,dejeuna,Deja,secrdtaire dejeune,,,,,,,
27.0,ratatinee,cheminee,Bhagiratha,,,,,,,
28.0,Saint-Nizier,SAINT-NIZIER,Nizier,Saint-Nizier.n,SAINT-NIzIER,Saint-Nizierl,,,,
29.0,Lh-dessus,desert,LA-dessus,par-dessus,,,,,,
30.0,tempete,"Es-tu betel
Si la tete te tourne",bete,betes,La Bete,BeteI74,,,,
31.0,MIimi-Pinson,Robinson,Roberte,,,,,,,
32.0,Viva-,Arrivee,Vive,,,,,,,
33.0,Egypte,pyramide d'Egypte,Lamartine d'Elvire,,,,,,,
34.0,depit,l1'Epitome,Rhone,l1'Odeon,,,,,,
35.0,Vieux-College,College,Recollets,collegel,bibliotheque du college,"val
Quand je rentrai au college",,,,
36.0,punch,la manche,unc,,,,,,,
37.0,la Bretagne,Bretagne,,,,,,,,
38.0,rLL---LL-LLL-L.L.L-LL,LL7sLL-LL-L-L3,,,,,,,,
39.0,"Limoux
Seulement",Limoux,bleme,,,,,,,
40.0,Muguets,Muguet,,,,,,,,
41.0,Quelque,Quelquefois,Foin,val Quelquefois,,,,,,
42.0,"A
-.

yAZ

'LA","Wsa
-",,,,,,,,
43.0,srete,Arretez,discrete,Pretez,,,,,,
44.0,Iacques,Paques,Jacquesl,Hacqueville,Jacques,,,,,
45.0,Villle,LLLLLLLLLLLLL.LL-.L-,LLLLLLL-LLLLLLLL-,"L.LLL
-
W","LLLLLLLLLLLLLLL-LL-LLLLLLLL-LLLLL-LL-L
Dieu",,,,,
46.0,Fougeroux,Broum-Broum,Jugez,Perou,,,,,,
47.0,Germane,"abbe
Germane",abbe,abbe Germane,,,,,,
48.0,Ld-bas,ld-bas,,,,,,,,
49.0,LIl,lilas,,,,,,,,
50.0,Pier-,Mlle Pier-,piece,,,,,,,
51.0,echantillon,"PAPILLON
Ehl",Papillon,"PAPILLON
Grimpe",Grillon,PAPILLON,"PAPILLON
Quoil","PAPILLON
Ehl bienl",,
52.0,Blancs,Blanc,,,,,,,,
53.0,Frangais,Theatre-Frangais,"Theatre-
Frangais",Theatre-Frangcais,theatre,Theatre-Francais,frangcais,,,
54.0,baie de Naples,Naples,M. de,joufflus de douze,,,,,,
55.0,Pacheco,Perrache,Bach',Pachecon,,,,,,
56.0,Cristaux,boue de Paris,Paris,Parisiens,Parisl,Parisien,,,,
57.0,Retourne,veloursl,Pourvu,Chauve-Souris,Amour,,,,,
58.0,seche,echope,sec.g6,,,,,,,
59.0,Cassagne,sagne,pagna,assis,,,,,,
60.0,voirl,Vois,emouvoir,Faust,Bonsoir,,,,,
61.0,Fanfan-la-Tulipe,trompe-la-mort,Jusque-la,,,,,,,
62.0,lh-haut,la-haut,La-haut,tueras lha-haut,Lh-haut,,,,,
63.0,tapissieres,Grossiers,cimetieres,,,,,,,
64.0,benl,Saint-Benoft,rue Saint-Benoft,rue Saint-Benoit,,,,,,
65.0,REvE,"Musc
severe",reveillon,treve,reveillee,RAEvE,,,,
66.0,aIl,11Aill,ILL',Raspail,,,,,,
67.0,Neuf-des-Papes,"Chateau-
Neuf-des-Papes",hate,Chateau-,,,,,,
68.0,Cachotier,Quartier Latin,quartier,Quartier,Moustier,Quartier-Latin,,,,
69.0,Rosel,Rosellen,Grenelle,Mademoiselle.6,Le Rosellen,Rose,,,,
70.0,Pruneaux,du Nord,bordeaux,Sceaux,Caveau,Beaux,,,,
71.0,"a47
Ici",vicille fee,,,,,,,,
72.0,enerve,tenezl,Tenezl,Venez,,,,,,
73.0,pensezl,lisezl,,,,,,,,
74.0,Plantes,ardin des Plantes,Iardin,L.sdin--,,,,,,
75.0,"rue
Saint-Guillaume",rue Saint-Guillaume,rue Saint-Guillaumel,Saint-Guillaume,,,,,,
76.0,Eux,".'-
-re",".'-
-re-c
I n J
eA
A--",,,,,,,
77.0,baguettel,venere Lalouette,Fouette,Mee Lalouette,Lalouette,"vieux
Lalouette",Lalouettel,,,
78.0,val,Rana-Valo,,,,,,,,
79.0,mont-de-piete,Mont-,SAUMON,Saumon,Montez,,,,,
80.0,menage,exageree,menagerie,,,,,,,
