text,cluster,cluster_corrected
Cecilia,-1,
Foin,-1,
mitra,-1,
r8,-1,
miserablel,-1,
NJ,-1,
S6dt,-1,
assis,-1,
Jugez,-1,
Desir-de-plaire,-1,
Cunocepa,-1,
Saint-Emilion,-1,
cimetieres,-1,
Vatel,-1,
MASoN,-1,
He,-1,
mefie-toil,-1,
grace,-1,
echope,-1,
Adieul,-1,
Perrache,-1,
eclairee,-1,
Pise,-1,
rez-de-chaussee,-1,
sur-le-champ,-1,
violente,-1,
tempete,-1,
bouteille debouchee,-1,
LN,-1,
Chauve-Souris,-1,
Bouzanquet,-1,
Bhagiratha,-1,
buis,-1,
Micou,-1,
Cristaux,-1,
boue de Paris,-1,
Muse badine,-1,
Jusque-la,-1,
Cevennes,-1,
lh-bas,-1,
"L.LLL
-
W",-1,
"PAPILLON
Quoil",-1,
"I


-'  t",-1,
La Bete,-1,
"xee
-",-1,
Saint-Theophile,-1,
W1,-1,
egayer,-1,
Ih1,-1,
piece,-1,
Grillon,-1,
avantl,-1,
Crusoe,-1,
Champenoise,-1,
Pres-Saint-Gervais,-1,
"Es-tu betel
Si la tete te tourne",-1,
Eh,-1,
Accoude,-1,
Afrique,-1,
saluerentIIIRIAR,-1,
vicille fee,-1,
premierln,-1,
a6,-1,
croirais-tu poete,-1,
La creole,-1,
joufflus de douze,-1,
rien.- A,-1,
Comnme,-1,
Soudain,-1,
Horreurl,-1,
asphyxie les etrangle,-1,
Entrezl,-1,
laLE ROMIAN,-1,
Saint-Petesbourg,-1,
".G

-

'",-1,
"Y '
W,--r
7-x
'",-1,
merl Le ciel,-1,
larmcs,-1,
iNN,-1,
tete empanachee,-1,
Embrasse,-1,
Lombards,-1,
les Debuts,-1,
Emporte,-1,
trompe-la-mort,-1,
ronfla,-1,
Cudra,-1,
Camillel,-1,
Quoil,-1,
BeteI74,-1,
Colombine,-1,
"Musc
severe",-1,
Eux,-1,
M. de,-1,
"CHIOSE
A",-1,
exageree,-1,
A -.s,-1,
"J

-'
1
x
1",-1,
la manche,-1,
echantillon,-1,
passerelle,-1,
"W
g.

r.' F",-1,
precipite,-1,
les86,-1,
Tribou,-1,
Pentecote,-1,
Palerme,-1,
"W

I,5
V. W",-1,
benl,-1,
Mlol,-1,
Bas,-1,
mastoides,-1,
equerres,-1,
melopee,-1,
Faust,-1,
Fanfan-la-Tulipe,-1,
"A
 A

 
I




.Y",-1,
Raspail,-1,
rue Lanterne,-1,
neud,-1,
desert,-1,
