text,cluster,cluster_corrected
Saint-Germain,0,
faubourg Saint-Germain,0,
clocher de Saint-Germain,0,
Près-Saint-Gervais,0,
Saint-Germain-des-Près,0,
râpé,0,
tour de Saint-Germain,0,
Saint-Germain-des-Prés,0,
horloge de Saint-Germain,0,
suisse,1,
Ecce,1,
buis,1,
Réfléchissez,1,
Bengalis,2,
ben,2,
Venez,3,
Holà,3,
Comprenez,3,
Rendez,4,
Inde,4,
Attends,4,
Vendredi,4,
Montez,5,
Montmartre,5,
mont-de-piété,5,
Saumon,5,
Océan,5,
Vicvamitra,6,
victoria,6,
Sèvres,7,
Nécrophores,7,
Sarlandais,8,
Sarlande,8,
Or,9,
Regardez,9,
Chardon,9,
Faust,9,
Pardon,9,
Minuit,9,
Lombards,9,
Palais-Royal,10,
Lalaitou,10,
Palais-Mazarin,10,
Kalatçala,10,
Cadet,10,
Vive,10,
Marsala,10,
Rana-Volo,11,
Grand-Cercle,11,
Bandit,11,
Jugez,11,
Grand-Orient,11,
initiais,12,
voyais,12,
EYSSETTE,13,
Eyssette,13,
maison Eyssette,13,
Musette,13,
Limoux,14,
Amour,14,
Limouk,14,
V,14,
Moustiers,14,
Beaux,15,
bordeaux,15,
Pruneaux,15,
Sceaux,15,
Nice,15,
Châteauneuf-du-Pape,15,
Evêché,15,
Cristaux,15,
Vénus,15,
nez de mademoiselle,16,
Chose,16,
Rosellen,16,
lilas,16,
Phœbé,16,
Rêverie de Rosellen,16,
Le Rosellen,16,
Rose,16,
Daçaratha,17,
Odéon,17,
Rio,17,
Araignée,17,
Bhagirathg,17,
Soubeyrol,18,
Souwaroff,18,
Soudain,18,
Vatel,18,
Chauve-Souris,18,
Cévenol,19,
Cévenole,19,
Cévennes,19,
la Cévenole,19,
Confusément,20,
– Précisément,20,
Précédé,20,
Décidément,20,
aimais,21,
Jamais,21,
J'aimais,21,
Ancienne maison,21,
Dépêchons,22,
J',22,
Bons,22,
Annou,22,
Bonsoir,22,
Pierrotte d'autrefois,23,
Foin,23,
Pierrotte,23,
Sortez,24,
Emporte,24,
Port-au-Prince,24,
Roberte,24,
Entrerai-je,25,
menton,25,
Comment,25,
– Vraiment,25,
Vraiment,25,
Bamban,25,
estimez,25,
Italiens,26,
Italie,26,
d'Italie,26,
l'Italie,26,
"PAPILLON 
Grimpe",27,
Grillon,27,
"PAPILLON 
Trouves-tu mon Muguet",27,
VI,27,
Papillon,27,
guide-ballon,27,
cimetière des Papillons,27,
Rhône,28,
bah,28,
Le Rhône,28,
le Rhône,28,
XI,29,
Montparnasse,29,
boulevard Montparnasse,29,
théâtre Montparnasse,29,
Religion,30,
Expansion,30,
Turc,30,
Anastagille,31,
Lakçamana,31,
Pouah,31,
Anastasie,31,
Gymnase,31,
Grossiers,31,
mastoïdes,31,
Voyez,31,
Caraïbe,32,
Bohême,32,
Escargots,32,
