text,cluster,cluster_corrected
Maine,0,
Soudain,0,
Colombine,0,
Mathurine,0,
Porcelaines,0,
Touraine,0,
baie de Naples,1,
Naples,1,
EYSSETTE,2,
Musette,2,
maison Eyssette,2,
Eyssette,2,
cette Bastille,2,
Bamban,3,
Cuba,3,
Lombards,3,
Bandit,3,
bah,3,
Pardon,4,
Parthénon,4,
Chardon,4,
Marseille,5,
Marsala,5,
Hacqueville,5,
Vieille,5,
Conseille,5,
Grand-Cercle,6,
Petit-Cercle,6,
Grand-Orient,6,
Place !,7,
place des Terreaux,7,
Ecce,7,
place d'Armes,7,
Sonne,8,
tonnelle,8,
songeuse,8,
Robinson,8,
Ancienne maison,8,
Vienne,8,
Nice,9,
Géniès,9,
Daniel,9,
Petit Daniel,9,
Cécilia,10,
Philistine,10,
Chili,10,
lilas,10,
chiffraille,10,
Montez,11,
mont-de-piété,11,
Vatel,11,
Montmartre,11,
Saumon,11,
Présentez,11,
Théâtre-Français,12,
Comédie-Française,12,
Théâtre Français,12,
Coucou-Blanc,13,
Coucou-,13,
Annou,13,
Pouah,13,
Négresse Coucou-Blanc,13,
Courage,13,
Coucou,13,
Boucoyran,13,
Palais-Royal,14,
Palais-Mazarin,14,
Palerme,14,
Kalatçala,14,
Lalaitou,14,
Angleterre,15,
Nanterre,15,
rue Lanterne,15,
Montparnasse,16,
Embrasse,16,
boulevard Montparnasse,16,
théâtre Montparnasse,16,
Décidément,17,
Précédé,17,
– Précisément,17,
Confusément,17,
Eliacin,18,
l'Alsacien,18,
Alsace,18,
Alsacien,18,
Algérien,18,
rue Saint-Guillaume,19,
rue Saint-Benoît,19,
Saint-Benoît,19,
ben,19,
aimais,20,
voyais,20,
Jamais,20,
initiais,20,
Raspail,20,
J'aimais,20,
Écris,21,
Chauve-Souris,21,
Cristaux,21,
Rio,21,
Crusoé,21,
rue des Dames,22,
Rue des Dames,22,
Dame,22,
Jardin des plantes,22,
église Saint-Pierre,23,
Saint-Pétersbourg,23,
Saint-Pierre,23,
Saint Nizier,23,
Essaie,23,
Saint-Nizier,23,
Muguet,24,
Muguets,24,
bésigue,24,
Languedoc,24,
Sortez,25,
Port-au-Prince,25,
Emporte,25,
Roberte,25,
Amour,26,
Limoux,26,
Limouk,26,
Ecole d'Alfort,27,
Alfort,27,
Infortunes,27,
Carmélites,28,
carmélites,28,
Israélite,28,
Rana-Volo,29,
Gymnase,29,
Anastasie,29,
Lakçamana,29,
Anastagille,29,
mastoïdes,29,
Université,30,
Moustiers,30,
Grossiers,30,
Faust,30,
Poussé,30,
beurrées,31,
bourrée,31,
Turc,31,
Luxembourg,31,
Tribou,31,
sabré,31,
Tiens,32,
Parisiens,32,
Parisien,32,
Paris,32,
trompe-la-mort,33,
Rome,33,
Promettez,33,
Pruneaux,34,
Beaucaire,34,
Beaux,34,
Eux,34,
bordeaux,34,
Châteauneuf-du-Pape,34,
Langlumeau,34,
Sceaux,34,
Souwaroff,35,
Fougeroux,35,
Espéron,35,
Broum-Broum,35,
Pérou,35,
Soubeyrol,35,
râpé,35,
nez de mademoiselle,36,
Grenelle,36,
Chose,36,
Rosellen,36,
Rêverie de Rosellen,36,
Rose,36,
Le Rosellen,36,
Regardez,37,
Nègre,37,
Attends,37,
Vendredi,37,
Inde,37,
Rendez,37,
Comprenez,37,
Cadet,37,
du Nord,38,
Borel,38,
Dormez,38,
Or,38,
Nécrophores,38,
Pise,39,
suisse,39,
buis,39,
Réfléchissez,39,
îles Marquises,40,
les Chenilles,40,
Chenilles,40,
Tes chemises,40,
Te rappelles,40,
Sarlandais,41,
Sarlande,41,
Vlan,41,
Pierrotte d'autrefois,42,
Ferrouillat,42,
Pierrotte,42,
miséra-a-ble !,43,
pyramide d'Égypte,43,
Midi,43,
le Midi,43,
vingt-dix-neuf,44,
Vive,44,
VI,44,
Vicvamitra,44,
Providence,44,
rue de Lille,45,
collège de Lyon,45,
collège de,45,
Lyon,45,
collège de Sarlande,45,
Océan,46,
II,46,
Cunocépa,46,
Sèvres,47,
gros Serrières,47,
Muse sévère,47,
Observatoire,47,
Prri,47,
Serrières,47,
serrure,47,
Derrière,47,
Négresse,47,
Barrière,47,
Écouter,48,
Écoutez,48,
Batignolles -,49,
Récollets,49,
Batignolles,49,
Tolocototignan,49,
la Cévenole,50,
Cévenol,50,
Cévennes,50,
Cévenole,50,
d'Espagne,51,
la Bretagne,51,
Bretagne,51,
Cassagne,51,
le soleil,52,
Holà,52,
soleil,52,
Ebloui,53,
Lalouette,53,
Fouette,53,
Ménalque,54,
Quelquefois,54,
Jacques,54,
Quels,54,
Bouzanquet,54,
Quelque,54,
Jugez,55,
Caveau,55,
Savez,55,
Avez,55,
Voyez,55,
Venez,55,
Foin,56,
envoie-les-moi,56,
Bravo,56,
Vois,56,
Pilois,56,
Champenoise,56,
Sois,56,
Mlle,57,
Vallée,57,
V,57,
Allez,57,
Quartier latin !,58,
Quartier latin,58,
Lamartine d'Elvire,58,
Saint-Germain-des-Près,59,
Saint-Germain-des-Prés,59,
Saint-Emilion,59,
Saint-Cloud,59,
Saint-Esprit,59,
clocher de Saint-Germain,59,
tour de Saint-Germain,59,
Saint-Théophile,59,
Saint-Germain,59,
faubourg Saint-Germain,59,
Près-Saint-Gervais,59,
horloge de Saint-Germain,59,
Araignée,60,
Madagascar,60,
Phœbé,60,
Scarabées,60,
Escargots,60,
Caraïbe,60,
Près,61,
Arrêtez,61,
Prêtez,61,
Désir-de-plaire,62,
la Prairie,62,
Çudra,62,
Prairie,62,
l'Italie,63,
d'Italie,63,
Italiens,63,
Italie,63,
Bengalis,63,
XI,64,
cimetière des Papillons,65,
"PAPILLON 
Grimpe",65,
"PAPILLON 
Trouves-tu mon Muguet",65,
Grillon,65,
guide-ballon,65,
Papillon,65,
kakatoès,66,
victoria,66,
victoria de la dame,66,
estimez,67,
Entrerai-je,67,
– Vraiment,67,
menton,67,
Comment,67,
Vraiment,67,
Signez,68,
Notre-Seigneur,68,
Guigne,68,
Seigneur,68,
Bachagas,69,
Bhagirathg,69,
Daçaratha,69,
Polichinelle,70,
Coquine,70,
Chinois,70,
Chine,70,
Frinc,71,
l'Afrique,71,
Afrique,71,
Rhône,72,
Le Rhône,72,
le Rhône,72,
guipure,73,
