cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Pierrotte,Pierrotte d'autrefois,Ferrouillat,,,,,,,,,
1,Sarlande,Sarlandais,Vlan,,,,,,,,,
2,Cher,Mon cher,Approche,la manche,Evêché,du cher,Heulla,Pacheco,Perrache,,,
3,Daniel,Géniès,Petit Daniel,Nice,,,,,,,,
4,Quels,Quelque,Quelquefois,Bouzanquet,Ménalque,Jacques,,,,,,
5,Quartier latin,Lamartine d'Elvire,Quartier latin !,,,,,,,,,
6,Souwaroff,Broum-Broum,Pérou,râpé,Fougeroux,Espéron,XI,Soubeyrol,,,,
7,Rendez,Cadet,Regardez,Nègre,Comprenez,Inde,Vendredi,Attends,,,,
8,Holà,soleil,le soleil,,,,,,,,,
9,Chili,lilas,Cécilia,chiffraille,Philistine,,,,,,,
10,Alfort,Ecole d'Alfort,Infortunes,,,,,,,,,
11,Jamais,voyais,aimais,J'aimais,initiais,Raspail,,,,,,
12,Ecce,Place !,place des Terreaux,place d'Armes,,,,,,,,
13,Batignolles,Batignolles -,Tolocototignan,Récollets,,,,,,,,
14,rue Saint-Benoît,Saint-Benoît,ben,rue Saint-Guillaume,,,,,,,,
15,Anastagille,Anastasie,Lakçamana,Rana-Volo,Gymnase,mastoïdes,,,,,,
16,Saint-Cloud,tour de Saint-Germain,Saint-Germain-des-Prés,faubourg Saint-Germain,Près-Saint-Gervais,Saint-Germain,Saint-Emilion,clocher de Saint-Germain,horloge de Saint-Germain,Saint-Germain-des-Près,Saint-Esprit,Saint-Théophile
17,bourrée,Luxembourg,beurrées,Tribou,Turc,sabré,,,,,,
18,Pardon,Parthénon,Chardon,,,,,,,,,
19,Dormez,Or,Borel,du Nord,Nécrophores,,,,,,,
20,V,J',,,,,,,,,,
21,suisse,Pise,buis,Réfléchissez,,,,,,,,
22,Promettez,Rome,Bohême,ronfla,trompe-la-mort,,,,,,,
23,Seigneur,Notre-Seigneur,Guigne,Signez,,,,,,,,
24,Çudra,Désir-de-plaire,Prairie,la Prairie,,,,,,,,
25,Chine,Polichinelle,Chinois,Colombine,,,,,,,,
26,rue des Dames,Dame,Rue des Dames,Jardin des plantes,,,,,,,,
27,Odéon,Expansion,Bons,Bonsoir,wagon,Dépêchons,,,,,,
28,église Saint-Pierre,Saint-Pétersbourg,Saint-Pierre,Saint Nizier,Saint-Nizier,Essaie,,,,,,
29,Minuit,Inutile,Vénus,,,,,,,,,
30,Hacqueville,Marseille,Vieille,Marsala,Conseille,,,,,,,
31,Mlle,Vallée,Allez,,,,,,,,,
32,Négresse Coucou-Blanc,Coucou-,Coucou,Boucoyran,Courage,Annou,Pouah,Coucou-Blanc,,,,
33,Afrique,Frinc,l'Afrique,,,,,,,,,
34,Soudain,Maine,Porcelaines,Touraine,Mathurine,Coquine,,,,,,
35,Midi,le Midi,pyramide d'Égypte,miséra-a-ble !,,,,,,,,
36,Daçaratha,Bachagas,Bhagirathg,,,,,,,,,
37,Rassurez,figurez,Figurez,guipure,Religion,,,,,,,
38,le Rhône,Rhône,Le Rhône,,,,,,,,,
39,Carmélites,Israélite,carmélites,,,,,,,,,
40,Cévenol,Cévennes,Cévenole,la Cévenole,,,,,,,,
41,Entrerai-je,menton,– Vraiment,Vraiment,Comment,estimez,,,,,,
42,Musette,cette Bastille,Eyssette,EYSSETTE,maison Eyssette,,,,,,,
43,Providence,Vive,Vicvamitra,VI,vingt-dix-neuf,,,,,,,
44,Poussé,Moustiers,Grossiers,Université,Faust,,,,,,,
45,Limoux,Limouk,Amour,,,,,,,,,
46,Pruneaux,Beaux,Beaucaire,Châteauneuf-du-Pape,Eux,bordeaux,Langlumeau,Sceaux,,,,
47,Précédé,Décidément,– Précisément,Confusément,,,,,,,,
48,Palerme,Palais-Mazarin,Kalatçala,Palais-Royal,Lalaitou,,,,,,,
49,Port-au-Prince,Roberte,Emporte,Sortez,,,,,,,,
50,"PAPILLON 
Trouves-tu mon Muguet",cimetière des Papillons,Papillon,Grillon,guide-ballon,"PAPILLON 
Grimpe",,,,,,
51,II,rue de Lille,collège de Sarlande,collège de Lyon,collège de,Lyon,,,,,,
52,îles Marquises,les Chenilles,Tes chemises,Chenilles,Te rappelles,,,,,,,
53,Lombards,Cuba,Bamban,bah,Bandit,,,,,,,
54,Naples,baie de Naples,,,,,,,,,,
55,Théâtre Français,Comédie-Française,Théâtre-Français,,,,,,,,,
56,Océan,Cunocépa,,,,,,,,,,
57,théâtre Montparnasse,boulevard Montparnasse,Montparnasse,Embrasse,,,,,,,,
58,bésigue,Muguets,Languedoc,Muguet,,,,,,,,
59,Écouter,Écoutez,,,,,,,,,,
60,serrure,Muse sévère,Sèvres,Négresse,gros Serrières,Barrière,Serrières,Observatoire,Derrière,Prri,,
61,kakatoès,victoria de la dame,victoria,,,,,,,,,
62,Paris,Parisiens,Parisien,Tiens,,,,,,,,
63,Grenelle,Chose,Rêverie de Rosellen,Le Rosellen,nez de mademoiselle,Rose,Rosellen,,,,,
64,Champenoise,Pilois,Foin,Bravo,envoie-les-moi,Vois,Sois,,,,,
65,Eliacin,Alsace,l'Alsacien,Algérien,Alsacien,,,,,,,
66,Savez,Jugez,Caveau,Voyez,Venez,Avez,,,,,,
67,Vatel,Arrêtez,Près,Prêtez,,,,,,,,
68,Araignée,Phœbé,Escargots,Madagascar,Caraïbe,Scarabées,,,,,,
