cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,"Pas
lais",Pas,d’,Anglaise,Laisse,Relais-,Marseillais,Lim,Anglais,galais,,,,,,,,,,,,,
1,Per=,gris-perle,perse,laïr,Occupez,m’,,,,,,,,,,,,,,,,,
2,fiacre,bn,nacre,ter le fiacre,,,,,,,,,,,,,,,,,,,
3,"rue de

Choiseul",rue de Choiseul,rue de Chabrol,Choiseul,M. de Cisy,gènée,"rue de
Choiseul",HE,,,,,,,,,,,,,,,
4,la Daumont,"Pié-\
mont",Montataire,Mont,Montpensier,Montagne,Saumon,Laédémone,Montez,"Mont-
charron",vermont,Montreuil-Nantua,Montebello,Grammont,Aspremont,,,,,,,,
5,Peuple,Naples,Temple,,,,,,,,,,,,,,,,,,,,
6,rue Vivienne,Vienne,curaçao,vie?Il,vésuliennes,Vincennes,Vénitienne,Vivienne,,,,,,,,,,,,,,,
7,l Seine,la Seine,seine,Seine,VI,La Seine,hein,,,,,,,,,,,,,,,,
8,Citoyen,le Citoyen,Le Citoyen,Citoyen s’,Voyez,Moyens,Citoyens,,,,,,,,,,,,,,,,
9,Allez,lez,Allemagne,Halles,cœr,Po,Allemand,alluma,salle-des-fêtes,,,,,,,,,,,,,,
10,ger,Auger,An=,Ro-,,,,,,,,,,,,,,,,,,,
11,"boulevard des
Capucines",Hébés,soulevant@æ,boulevards des Gobelins,boulevard de l'Hôpital,bouleversa,RD  Pe 2,Bohême,,,,,,,,,,,,,,,
12,Vanneroy,Yonne,nonne,colonne de Juillet,baïonnettes,"Cou-

| ronne",Hussonnet-,Sorbonne,Frisonne,Hussonnet,,,,,,,,,,,,,
13,Ï,Desolmes,"des-
sin",Hespérides,Armes,Mesdames,Desde,Ormes,,,,,,,,,,,,,,,
14,Change,Singe-,"gueule
Chanson",angeles,Changer-,Cisy,Changarnier,,,,,,,,,,,,,,,,
15,Gouvernement,Gouver-,Gouverne-,Le Gouvernement,Sauver-,Vésuve,Auvergne,trouverez,Ver-,Fouvent,Gou,Ver,,,,,,,,,,,
16,-Ærédéric,Frédéricæ,SE,Frédéric,Frédérie,mo=,Frédé-,,,,,,,,,,,,,,,,
17,Chambre des députés,Chambre,chamoisïs,Chambord,Ambrecicourt,Cham,seuil de l’antichambre,Chambres,antichambre,Antichambre,Forchambeaux,Bréa,,,,,,,,,,,
18,Rond-Point,XI° arrondissement,Girondins,Ro,III arrondissement,È,XII° arrondissement,,,,,,,,,,,,,,,,
19,Poissards,Poissarde,Poisson,,,,,,,,,,,,,,,,,,,,
20,pälir,le Pont-Neuf,Ponts,Pont-Neuf,pont Neuf,E,pont de Charenton,pont d’Arcole,Dupont,Tibi,pont Royal,,,,,,,,,,,,
21,etle,Etle,Toutle,,,,,,,,,,,,,,,,,,,,
22,porte Saint-Martin,faubourg Saint-Martin,théâtre de la Porte-Saint-Martin,rue Saint-Martin,Porte-Saint-Martin,,,,,,,,,,,,,,,,,,
23,Lection,défection=-,Révélation,Inquisition,Désubalternisation,Direction,Fraction,,,,,,,,,,,,,,,,
24,Pé-,Pierrot,Pie,,,,,,,,,,,,,,,,,,,,
25,Blackstone,Creton,Ton,BH HG,Dar,Antony,Tons,,,,,,,,,,,,,,,,
26,Æarrivant,Avantages,\ivan,,,,,,,,,,,,,,,,,,,,
27,Maréchale décroch,Æs,Maréchale,Maréchaux,Pays,Béchatel,la Maréchale,Maréchale n’,fl,Marécharles,La Maréchale,"Maréchale de l’ais
mer",,,,,,,,,,,
28,Rosanette,Rosa-,"|

Rosanette",Rosanelte,Rosannette,Rosanetle,,,,,,,,,,,,,,,,,
29,san bond,san,Sanson,Dumersan,,,,,,,,,,,,,,,,,,,
30,Vêpres,Pre,Premières,Presse,Presles,ferme de Presles,,,,,,,,,,,,,,,,,
31,Bravade,Bray,Vibrant,Ur,cambrai,Bravo,A Bray,,,,,,,,,,,,,,,,
32,Châlons,haïallons.r,bazas,châle,,,,,,,,,,,,,,,,,,,
33,môtres,Mitre,théätre,Autre,tre,Gare aù lustre!,,,,,,,,,,,,,,,,,
34,Va,nie,Californie,b----,s’,porn,,,,,,,,,,,,,,,,,
35,Figu-,Ambigu,,,,,,,,,,,,,,,,,,,,,
36,ws’,Lara,léclara,leé,Niagara,Varaud,,,,,,,,,,,,,,,,,
37,Ablon,Mably,Barcelone,Longjumeau,,,,,,,,,,,,,,,,,,,
38,Moruit,Minuit,Morelly,Morgue,®,,,,,,,,,,,,,,,,,,
39,"Château
d'Eau",Châte-,Beauté,Château-d'Eau,Châtelet,Châteauroux,le Château-d'Eau,,,,,,,,,,,,,,,,
40,"abbé
Cœur",l'Amérique du Sud,l'Amérique,Amérique,Américains,,,,,,,,,,,,,,,,,,
41,Atala,Balaruc,falbalast,Las,Ù,hasta,,,,,,,,,,,,,,,,,
42,Pardon,"ha-
ward",Allard,F,Savoyard,gard,,,,,,,,,,,,,,,,,
43,Edo - ER RÉ,ler L,Palerme,ete er N,ler,,,,,,,,,,,,,,,,,,
44,therot,trot,Troyes,Trocadéro,Trottoirs,,,,,,,,,,,,,,,,,,
45,mero pueblo del mundo,x delhi,Della,,,,,,,,,,,,,,,,,,,,
