cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
0,Bertinaux,Portier,A,quartier Breda,upporter,Poitiers,,,,,,,,,,,,,,,,,,,,,,,,
1,fiacre,nacre,ter le fiacre,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Va,soulevant@æ,S,Laval,Lovarias,\ivan,val #,samovars,vorouva,,,,,,,,,,,,,,,,,,,,,
3,"rue de

Choiseul",rue de Choiseul,Choiseul,bois de Crancé,M. de Cisy,"rue de
Choiseul",m’,côte de Chaïlly,,,,,,,,,,,,,,,,,,,,,,
4,Mnamnés,Mn,Hébés,J1,Gymnase,,,,,,,,,,,,,,,,,,,,,,,,,
5,Maisait,Mai-,Mlait,sais,Maison,Minuait,Mildais,Ecossais,quai Voltaire,Métait,Lpouvait,Millissait,._.,Miouhaitait,aimais,Maient,,,,,,,,,,,,,,
6,Provi-,Providence,Prési-,Vi-,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Citoyen,le Citoyen,Le Citoyen,Citoyen s’,Benedicite,Moyens,Citoyens,,,,,,,,,,,,,,,,,,,,,,,
8,Allez,lez,Palerme,Allemagne,Halles,Allemand,alluma,oulez,,,,,,,,,,,,,,,,,,,,,,
9,Leonnue,Yonne,Mbonne,Lyon,baïonnettes,"Cou-

| ronne",Hussonnet-,Sorbonne,Frisonne,Hussonnet,,,,,,,,,,,,,,,,,,,,
10,la Daumont,Rond-Point,"Pié-\
mont",Montataire,Mont,Ponts,Montpensier,Montagne,Saumon,Panthéon,Montez,Morgue,Monvenable,Mondor,pont de Charenton,"Mont-
charron",mo=,pont d’Arcole,Lacédémone,Dupont,Montreuil-Nantua,Monseï,Montebello,Grammont,Mont les ventres,Aspremont,,,,
11,Gouvernement,Gouver-,Gouverne-,Le Gouvernement,mouve-M,Caverne-des- Brigands,Vésuve,Auvergne,trouverez,Gouvernem,Fouvens,Gou,,,,,,,,,,,,,,,,,,
12,Empoigne,"poi-ù
trine",empoignè==,Savigny,,,,,,,,,,,,,,,,,,,,,,,,,,
