cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0.0,Embrasse- iL N,Pa-,Masselin,Brasseur,embrassa--,,,,,,,,,,,,,,,
1.0,rue de Laval,rue de l'Empereur,rue de Marbueuf,rue de Richelieu,"tic-tac de la
cnlule",rue de la Paix,rue de l'Arcade,rue de Rivoli,rue de Valois,Laval,,,,,,,,,,
2.0,Suisse,Suissesse,suis-,,,,,,,,,,,,,,,,,
3.0,Voil,Voilh,Voila,VOilà-,Voili,ceoilfure,voilh,,,,,,,,,,,,,
4.0,thbeses,Ibes,,,,,,,,,,,,,,,,,,
5.0,blama,rclama,llamaria,Laclam-,,,,,,,,,,,,,,,,
6.0,ayec,Irayeur,ayeec,,,,,,,,,,,,,,,,,
7.0,suischagrin,chagrin?n,,,,,,,,,,,,,,,,,,
8.0,PRie-,Privilge,Propriete,Brie,geometriel,,,,,,,,,,,,,,,
9.0,moucloirs,chuclola,rotloir,,,,,,,,,,,,,,,,,
10.0,Croix-Hlousse,yoix,lousie,Russe,,,,,,,,,,,,,,,,
11.0,Frederic,Or4ederic,Frederie,Frderic,lFrederic,Fderic,attraper Frderic,,,,,,,,,,,,,
12.0,Sauvagcsse,Femnme-Sauvage,Sauvagcsse avit,,,,,,,,,,,,,,,,,
13.0,Aulnays,M. des Aulnays,paysn,,,,,,,,,,,,,,,,,
14.0,Turc,Zoraide Turc,Mlurchux,Turcs,,,,,,,,,,,,,,,,
15.0,n0lres,pllre,fenclre,prelres,aulres,,,,,,,,,,,,,,,
16.0,Cisy 2,ciseax,Cisy,,,,,,,,,,,,,,,,,
17.0,liacre,nacre,fiacre,sacree,,,,,,,,,,,,,,,,
18.0,plcein,reinc n.,hein,,,,,,,,,,,,,,,,,
19.0,Ton,Creton,Tond,-  Sortons,,,,,,,,,,,,,,,,
20.0,Mladame,Madamel,Notrc-Dame,,,,,,,,,,,,,,,,,
21.0,Iallait,"l.
-",Iallu,Ilfallait,,,,,,,,,,,,,,,,
22.0,l'Empire,Empire,L'E,,,,,,,,,,,,,,,,,
23.0,reprenaicnt,Reprit,tenailt,amenaicnt,examinaicnt,Prends,,,,,,,,,,,,,,
24.0,prolites-cn,gnrosites,prolilt,,,,,,,,,,,,,,,,,
25.0,Pont-Neuf,le Pont-Neuf,A Elbeuf,,,,,,,,,,,,,,,,,
26.0,Voulez,voulitle,- Voulez,circulezl,vOulez-VouS,,,,,,,,,,,,,,,
27.0,plateaua,Chateau,Chatelet,"Chateau-
d'Eau",Chate-,chteau,Chateau-,Chhteauroux,,,,,,,,,,,,
28.0,papicr,Papal,picd,,,,,,,,,,,,,,,,,
29.0,Saint-Jacques,rue Saint-Jacques,tSaint-Jacques,Jacques,,,,,,,,,,,,,,,,
30.0,jura,Vuraud,raudes,Iraucs,,,,,,,,,,,,,,,,
31.0,Anglais,caufe Anglais,Mlais,Anglaise,porte du cafe Anglais,,,,,,,,,,,,,,,
32.0,ecluir,cclui de Lamoricire,Lamoricire,,,,,,,,,,,,,,,,,
33.0,Monsieurl,Monsei-,Monsicur,Mlonsieur,,,,,,,,,,,,,,,,
34.0,EDUcATI0N sENTIMENTALE,incATI0N SENTIMENTALE,L'EDUCATI0N SENTIMENTA,nUCATION SENTIMENTALE,EDUCATI0N sSENTIMENTA ILE,L'EDUcATI0N sENTIMENTALE,EDUcATI0N SENTIMENTALE,"IL DUCAT10N SENTIMENTA LE
- MOi?",.eL' iEnUCATI0N SENTIMENALE,EDUcATI0N sENTIIENTALE,E nucATI0N SENTIMIENTAILE,E DUcATIr0N sENTIMENTALE,EDUCAT10N sENTIMENTALE,pas-L'fncATI0N SENTIIENTALE,L'EpUCATI0N SENTIMENTALE,EnUcAT10N sENTIMENTALE,L'EDUCATI0N sSENTIMENTALE,"cafe170
L EDUCAT10N SENTIMENTALE
Dagneaux",LuCIE0N sEN TIMENTALE,iCI0N SEN T IMENTALE
35.0,ucune,jecune,ucun,,,,,,,,,,,,,,,,,
36.0,EsT-ce,EsT-cc,EST-ce,ESt-ce,,,,,,,,,,,,,,,,
37.0,pos-L' fED,pos-L,,,,,,,,,,,,,,,,,,
38.0,ctre,vtre,fenttres,.'etre,avaitrecu,geomtre,Iichtre,Mattre,,,,,,,,,,,,
39.0,quai d'Orsay,Orsay,,,,,,,,,,,,,,,,,,
40.0,Cancane,Vatican,canape,Toscane,cancan,renoncant,,,,,,,,,,,,,,
41.0,vilure,l'Heure,"rue
Coq-Heure",Lheure,glgeures,,,,,,,,,,,,,,,
42.0,lologne,IPologne,bois de Bologne,bcsogne,Bologne,la Pologne,Pologne,,,,,,,,,,,,,
43.0,Dussar-,Dussardier,Picardie,Grce  Dussardier,Dussardioer,Froissard,Dussarlier,Poissarde,,,,,,,,,,,,
44.0,cheminde,cachemire,cheminee,,,,,,,,,,,,,,,,,
45.0,cntra,trafne,rultrapa,Carpenltras,traglie,,,,,,,,,,,,,,,
46.0,ILe,lidolatrie imbecile del',Ccile,soufIle,ILes,Cecile,YVIIle sibcle,chile,Iler-,lile,,,,,,,,,,
47.0,rue Saint-Martin,Saint-Mlartin,porte Saint-Martin,Suint-Murtin,Porte-Saint-Martin,faubourg Saint-Martin,,,,,,,,,,,,,,
48.0,Partezl,Sortezl,partez,mbes ecartees,,,,,,,,,,,,,,,,
49.0,clle,lombreclle,cervclle,clle avuit reluse,Quclle,,,,,,,,,,,,,,,
50.0,la Capitale,Capitale,Capitaine,,,,,,,,,,,,,,,,,
51.0,systmnes,ommne,homnes,,,,,,,,,,,,,,,,,
52.0,rue Descartes,rue Dauphine,rue d',rue Joubert,rue d'Anjou,rue Duphot,rue Transnonain,"rue du Marcle-aux-
hevaux",rue Paradis,rue Drouot,rue Grange-Atelier,rue Jacob,rue du Bac,rue des Irois-llois,,,,,,
53.0,Voyons,Yoyonst,Lyon,,,,,,,,,,,,,,,,,
54.0,galerie d'O0dedans,O0dedans,Bengale,,,,,,,,,,,,,,,,,
55.0,Pas,-  Pas,,,,,,,,,,,,,,,,,,
56.0,Regardez,Garde-,Gardes,Frde-,Garde-Meubles,regardit,gard,,,,,,,,,,,,,
57.0,sicnne,Vicns,rue Vivicnne,sicnnes,,,,,,,,,,,,,,,,
58.0,Senc-,sEN,"Senc-
cal",,,,,,,,,,,,,,,,,
59.0,Jesuites du Paraguay,siuges du Mluseum,Mluseum,,,,,,,,,,,,,,,,,
60.0,gargon,guargon,Niagara,,,,,,,,,,,,,,,,,
61.0,l1Orient,Ient,Bientot,NTIIENTA,Ctaient,,,,,,,,,,,,,,,
62.0,Larsillois,Gaillon,"porl
Maillot",chillonnires,Maillot,defaillir,place Gaillon,Fllo,,,,,,,,,,,,
63.0,musee,Amuse-,amusaitl,,,,,,,,,,,,,,,,,
64.0,"dortoir,18
L' i",Conservatoire,-  Conservons-les,oratoir du Pape,onservatoire,,,,,,,,,,,,,,,
65.0,nice,Sicelui-l,Hui-,Celutal,,,,,,,,,,,,,,,,
66.0,Barbs,Barbbs,,,,,,,,,,,,,,,,,,
67.0,MIis,IIis-,MIise-,,,,,,,,,,,,,,,,,
68.0,l-bas,lh-bas,la-basl,Bas,,,,,,,,,,,,,,,,
69.0,Temple,tempete,mpe,,,,,,,,,,,,,,,,,
70.0,Voici-,Benedicite,m6ci-,Or6l6ici,,,,,,,,,,,,,,,,
71.0,geniel,Genie,,,,,,,,,,,,,,,,,,
72.0,Provencaux,Trois-Ordre-Provencaux.-,"rue
le Provence",,,,,,,,,,,,,,,,,
73.0,Or4aider,Fr4aider,Or6aider,,,,,,,,,,,,,,,,,
74.0,I.'i,ICI.'i,,,,,,,,,,,,,,,,,,
75.0,Vatnazl,Mlle Vatnaz,Vatnaz,Vntnaz,Vutnaz,,,,,,,,,,,,,,,
76.0,Pere-Lachaise,soltises,l0aise,Aise0ellE,Irangaise,caises,Irangcaise,Iavseillaise,,,,,,,,,,,,
77.0,silencicuse,odicuse,Dbardcuse,M. Dumbrcuse,sricuse,adicu,,,,,,,,,,,,,,
78.0,Murcchale,Marchale,Iarchander,La Marchale,Mlurchale,Marcchale,,,,,,,,,,,,,,
79.0,I6serte,Liberte,desert,,,,,,,,,,,,,,,,,
80.0,revolta,Revo-,quai Voltaire,,,,,,,,,,,,,,,,,
81.0,Persan,perse,operer,Dumersan,perail,,,,,,,,,,,,,,,
82.0,meltre,pltre,ultrefois,abaltre,,,,,,,,,,,,,,,,
83.0,tristel,Pwris,aris,Charivari,Parisien,Paris,Mlarie,soie gris,aristocratel,vee h Paris,l2aris,,,,,,,,,
84.0,ligne du Nord,Nord,du Nord,gne du menage,,,,,,,,,,,,,,,,
85.0,aggravee,AVEz,AVez,pave,,,,,,,,,,,,,,,,
86.0,Francais,anca,Comedie-Francaise,Francaise,Buzancais,,,,,,,,,,,,,,,
87.0,-  Ouil,-  Ohl,Ouil,- OUi,Oui,,,,,,,,,,,,,,,
88.0,Change,Changar-,La revocation du general Changarnier,Changarnier,ar-,,,,,,,,,,,,,,,
89.0,Sphinx,la chine,Chine,chicards,chine,Chinec,lchira,,,,,,,,,,,,,
90.0,Debardeuse,Debar-,la Debardeuse,l Dehardeuse,Dbardeuse,,,,,,,,,,,,,,,
91.0,l3anne-Non-,sala l3anne-Non-,Non-,,,,,,,,,,,,,,,,,
92.0,lanternes prbs des lanternes,Jardin des Plantes,"lanternes vnitiennes accrochees 
des poteaux iormaicnt",Jardin des llautes,Jrdin,,,,,,,,,,,,,,,
93.0,San,san,pysan,Sans,sangl,Sane-et-,,,,,,,,,,,,,,
94.0,compgnie,pagnie,pagnon,coipagnie,,,,,,,,,,,,,,,,
95.0,Travaillezl,ravailleurs,voleurslon,Avais L,,,,,,,,,,,,,,,,
96.0,Boulogne,bois de Boulogne,Bouloi,dCcbarque  Boulogne,,,,,,,,,,,,,,,,
97.0,Dit,Dit-il,dit2,Dittmer,,,,,,,,,,,,,,,,
98.0,sentan,SEN T IMENTALE,SE NT1MENTALE,SENTIMENTALE,ENTALE,TIMENIALE,SENTI,sSENTIMENTALE,sENTI E NIALE,SENTIMENTA IL E,LuCIE0N SENTIMENTA,SENTIMTENTAILE,sENTIMENTALE,SENTIMENTAILLE,,,,,,
99.0,Avança,Van-,mlavancer,,,,,,,,,,,,,,,,,
100.0,Pourquoi ma lpublique,ourquoi,Pourquoi t'acharnes,Quoi?n,,,,,,,,,,,,,,,,
101.0,bete-lh,cte-l,bete,,,,,,,,,,,,,,,,,
102.0,arrivel,barrirc,Arriv,Vive,"aH -
voir larrive de l'oncle Barthelemy",enveloppee,,,,,,,,,,,,,,
103.0,OÙ es-tu,p1es-,Es-tu,Attendrais-tu ton lidalgo,Es-tu?,,,,,,,,,,,,,,,
104.0,Vlour,lourdes,veloursl,Loure,Loulou,,,,,,,,,,,,,,,
105.0,dressce,messc,lissc,,,,,,,,,,,,,,,,,
106.0,ourgogne,Bourgogne,,,,,,,,,,,,,,,,,,
107.0,Flanque-la dehorslon,Salamanque,Flanque,Blanqui,Banque,,,,,,,,,,,,,,,
108.0,Bien,Eh Bien,bientl,Combien,bien376,,,,,,,,,,,,,,,
109.0,Cygne de la Cvroiz,cygne,Cygne,,,,,,,,,,,,,,,,,
110.0,choseln,ppieres entrc-chose,chosc,,,,,,,,,,,,,,,,,
111.0,Somme,sommc,Sombaz,Commcntl,hommcs,,,,,,,,,,,,,,,
112.0,biographics,Progrs,eprouva,,,,,,,,,,,,,,,,,
113.0,- TRente-sept,trentel,-  Trbs,laltirerent,,,,,,,,,,,,,,,,
