cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30
0,Laclam-,chuclola,lacloche,blama,Ilammes,la142,dclara,claira,rclama,Las,m-,Mladame,,,,,,,,,,,,,,,,,,,
1,Marlotte,Parlotte,T,aott,Churlotte,mateclot,,,,,,,,,,,,,,,,,,,,,,,,,
2,Unc,unc,punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pluic,plutt,Colui,Sicelui-l,Clubstick,ecluir,,,,,,,,,,,,,,,,,,,,,,,,,
4,Louvre,ouvragcs,0me du Louvre,euvre,Au Louvre,"exprs louvrage do
Gobet",usqulau Louvre,Loure,eprouva,Huvre,pauvrejeune,,,,,,,,,,,,,,,,,,,,
5,fiacre,liacre,ia,nacre,Creil,sacree,ecria,,,,,,,,,,,,,,,,,,,,,,,,
6,llle,Allez,trulles,clle,Mlle,Halles,souflle,Fllo,Emball,Nlle,allees,Quclle,mnolle,Flle,lombreclle,alluma,,,,,,,,,,,,,,,
7,porlail,Orlans,Orleans,Mormans,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,cOmment,Almanach du Commerce,Ia Comedie,Commcntl,Commerce,Comimnent,i5,comnplimenter,COmment Donc,Commecnt,,,,,,,,,,,,,,,,,,,,,
9,Avocat,Lavocat,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Geneve,vengence;-,Sainte-Genevieve,enveloppee,Eugene,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Brasseur,jura,Bray,Vuraud,Embrasse- iL N,Gymnase,embrassa--,Heudras,,,,,,,,,,,,,,,,,,,,,,,
12,UcATI0N,EnDUCATI0N,UCcATI0N,I00,CA TI0N,EDcATI0N,TI0N,EUcATI0N,fncATI0N,lesL' EDUCATI0N,EDUcATI0N,DUcATI0N,CATI0UN,nUCAT10N,iEncATI0N,EnDUcATI0N,"par-l.
L' iDUCCATI0N",,,,,,,,,,,,,,
13,ain,Ordinaire,Cmpain,Vrai,"sc-
maine",Comaing,dEmain,Fontainebleau,cerains,AIin,maine,lointaine;-,mnains,lainc,Américain,Demain,Lorraine,,,,,,,,,,,,,,
14,llosnette,osanette,Rosanette,Sane-et-,llosanette,a4,con nette,Rosanctte,Rosannette,Hosnette,Mostaganem,Rosanetlte,llosanetle,Osage,Ilosanette,Iosanette,kosanelte,llosaneltte,kRosannette,Hosanette,Rosanetle,,,,,,,,,,
15,troncons lde statuc,Con,jurisconsulle,fer n. Nonancourt,Conslitulion,pont d'École,macons,conita,feconde,congediee,pont de la Concorde,Nonancourt,Concoit,deu garcons iatigues,Considerant,considera,Con-,,,,,,,,,,,,,,
16,Coq-Ironie,nir,rue Coq-Ironie,lironie,compgnie,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Chambres devraicnt,Chambre des deputes,el des galas,M. des Aulnays,ferme de Presles,Chambre des depules,accreditee depui,terrompu des grenouilles r6pond,rue Descartes,,,,,,,,,,,,,,,,,,,,,,
18,glcterre,Pierre,orfevrerie,La terre,piece,reverraitl,aerrtri,Pierrot,,,,,,,,,,,,,,,,,,,,,,,
19,lonc?n,lonc,sulon,qulon,Poncif,Ablon,on longca,gnonnc,,,,,,,,,,,,,,,,,,,,,,,
20,Institut,lInstitut,Constantinople,Injustice,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,faience,gie,Bien,Bientot,bientl,tien,Combien,Genie,Ibcrien,Patience,bien376,geniel,lIIerbigny,Eh Bien,,,,,,,,,,,,,,,,,
22,Sans,san,sance,regagnantsa,pysan,Avança,sangl,Dumersan,sanc--,Persan,San,tanl,Van-,,,,,,,,,,,,,,,,,,
23,siuges du Mluseum,Iu,Mluseum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Avt,AVEz,aggravee,f-,pave,AVez,Vesuve,,,,,,,,,,,,,,,,,,,,,,,,
25,Californie,N'6était,italie,traglie,ebranlie,Italie,juste-italie,l'Italie,d'Italie,Italienne,Alieu,Italiens,22I,ITALIE,,,,,,,,,,,,,,,,,
