cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,du Nord,Nord,Dunod,ligne du Nord,,,,,,,,,,,,,,,,,,,,,
1,Qui?n,Quoi?n,,,,,,,,,,,,,,,,,,,,,,,
2,rue Saint-Martin,"rue
Saint-Martin",rue Caumartin,Porte-Saint-Martin,porte Saint-Martin,rue Sint-Anne,rue Saint-Hyacinthe,faubourg Saint-Martin,,,,,,,,,,,,,,,,,
3,ar-,Debar-,"par-l.
L'",Ar-,,,,,,,,,,,,,,,,,,,,,
4,t0t. n,t0t,I72,,,,,,,,,,,,,,,,,,,,,,
5,.L,.l,m-,,,,,,,,,,,,,,,,,,,,,,
6,ILE,Ile Marthe,ILe,Gilet,lile,ILes curiosit de382,lIle,lesiusils,YVIIle,Chile,Cile,Cecile,ILes,sENIIMI EN1AILE,,,,,,,,,,,
7,ger,ge,operer,gErard,gere,r6diger,Auger,Algerie,,,,,,,,,,,,,,,,,
8,Boulevard,cule lIalbout,bouleversa,boulevards des Gobelins,"boulevard sen
lait vide",boulevard de luI0pital,"boulevard des
capucines",,,,,,,,,,,,,,,,,,
9,Tals,talant,Ls,Atala,,,,,,,,,,,,,,,,,,,,,
10,rompre,Corrompu,Romeo,Comprenez,,,,,,,,,,,,,,,,,,,,,
11,DUcATI0N,EcATI0N,DuCaTIF0N,DucaTIF0N,"colonne de Juillet reprend-80
L' DUCATI0N",W,DuCATI0N,DuCATIF0N,lEDUC TI0N,TI0N,,,,,,,,,,,,,,,
12,Los,Fnlo,losc,Philosophie,Colosse,,,,,,,,,,,,,,,,,,,,
13,A Bray,A 1M,P,Bray,,,,,,,,,,,,,,,,,,,,,
14,Turque,Lesurques,turquie,,,,,,,,,,,,,,,,,,,,,,
15,gne,tC',rsignee,Empoigne,Ligne,chtaigners,gne du menage,cygne,Agneaux,r6signe,Pugne,Lavergne,,,,,,,,,,,,,
16,E35,I35,I17,,,,,,,,,,,,,,,,,,,,,,
17,bois de Boulogne,dCcbarque  Boulogne,bois de caf,bour de basque,Boulogne,bois de Bologne,,,,,,,,,,,,,,,,,,,
18,Capitale,A05,-  Tapecz,la Capitale,Capitaine,,,,,,,,,,,,,,,,,,,,
19,dit2,Dit,,,,,,,,,,,,,,,,,,,,,,,
20,Pradier,Prado,,,,,,,,,,,,,,,,,,,,,,,
21,EDUCATION,ducaTION,EDUCA,EdUCATION,E dUCATIoN,L'EDUCA,,,,,,,,,,,,,,,,,,,
22,A19,.19,".A12
L'",A1,la142,,,,,,,,,,,,,,,,,,,,
23,z:::::cc-,z:::c,t:::---,.::,c::ccc,c::::::t,Ec::::':-,,,,,,,,,,,,,,,,,,
24,Frayeur,effray,elfraya,ayeec,,,,,,,,,,,,,,,,,,,,,
25,Liban,Liberte,Taliban,,,,,,,,,,,,,,,,,,,,,,
26,gard,Gardes,La0ard,Regardez,Prenez gardel,Gare,rd,,,,,,,,,,,,,,,,,,
27,I00,G,s00,,,,,,,,,,,,,,,,,,,,,,
28,suischagrin,chagrin?n,,,,,,,,,,,,,,,,,,,,,,,
29,santerre,La terre,Angleterre,gutierrez,E,glcterre,la tlc,,,,,,,,,,,,,,,,,,
30,Fort,rue belfort,Rumfort,Fortelle,rue Rumfort,fort honnete,,,,,,,,,,,,,,,,,,,
31,Rosanetle,Rosanetlte,llosanetle,Rosa-,Etle,,,,,,,,,,,,,,,,,,,,
32,"port
Maillot","porte
Maillot",Nimporte,,,,,,,,,,,,,,,,,,,,,,
33,pre Oudry,Oudry,pre Roque,,,,,,,,,,,,,,,,,,,,,,
34,Sainte-Pelage,le Sainte-Pelage,"Sainte-
Chapelle",,,,,,,,,,,,,,,,,,,,,,
35,Gauloises,soltises,Eglises,Gaulois,,,,,,,,,,,,,,,,,,,,,
36,PUis,buis,.Puis,Pur,Puisquon,,,,,,,,,,,,,,,,,,,,
37,Fixes,Fixa,A,,,,,,,,,,,,,,,,,,,,,,
38,Art industriel;,Art industriel,,,,,,,,,,,,,,,,,,,,,,,
39,pt-dcsstts,Dcs,,,,,,,,,,,,,,,,,,,,,,,
40,gote,lugo,degot,Oter,hotel,motel,,,,,,,,,,,,,,,,,,,
41,ME arrondissement,Classements,NIl arrondissement,,,,,,,,,,,,,,,,,,,,,,
42,du Havre,llavre,gare du Havre,au Havre,Havre,,,,,,,,,,,,,,,,,,,,
43,Filly,Fille,Chantilly,Andilly,Chilly,Billy,Morelly,Neuilly,,,,,,,,,,,,,,,,,
44,k.,As-tu cent,Central,rultrapa,Carpentras,trafne,,,,,,,,,,,,,,,,,,,
45,toulon,sulon,toul,Boulot,,,,,,,,,,,,,,,,,,,,,
46,Blackstone,Creton,Ton,-  Sortons,elton,aNtony,,,,,,,,,,,,,,,,,,,
47,signilia,sige,siges,Sigle,ige,gorge-de-pigeon,,,,,,,,,,,,,,,,,,,
48,.'etre,tre,"au-
tre c0te",v0tre,autresne,avaitrecu,Votre,Lautre,-  Trente-sept,pltre,,,,,,,,,,,,,,,
49,Percepteur,percut,Prcepteur,Recepteur,,,,,,,,,,,,,,,,,,,,,
50,Sauver-,v0-,Auvergne,Gouver-,Ver-,,,,,,,,,,,,,,,,,,,,
51,Ilina,CLin,Berlin,Praslin,Inclin,,,,,,,,,,,,,,,,,,,,
52,rue de Valois,rue Joubert,rue de,rue de l'Empereur,rue Duphot,rue de Rivoli,rue Jacob,rue de Richelieu,rue de Marbeuf,rue Drouot,rue de Clerc,rue des e Mondes,rue Descartes,rue de l'Arcade,rue d'Anjou,rue des Francs-Bourgeois-Saint-,rue de Chabrol,rue du Bac,rue de Laval,rue de Breda,rue de Fleurus,mero pueblo del mundo,rue Dauphine,rue Souflot,rue d'
53,IIL,nI0ISIlLiII,II,MIis,IIl,liiIrencc,IIIII,ii,,,,,,,,,,,,,,,,,
54,Tournelle,la Tournelle,Tournez,journe,orne,,,,,,,,,,,,,,,,,,,,
55,d6bordes  o,Borde-,Bordelais,Bordelaise,Bordure,Bordeaux,,,,,,,,,,,,,,,,,,,
56,Administr--,Ministre,,,,,,,,,,,,,,,,,,,,,,,
57,egimbart,Regimbart,Flambard,Flabart,lRegimbart,Regimbartl,Regis-,Sombaz,legimburt,,,,,,,,,,,,,,,,
58,Quentin-Bauchart,SENTI,iDenTIT0N,sENTINIE,sENTIR,S EN1MENTI.E,sENTI E NIALE,S ENTI E NTA,Tibi,,,,,,,,,,,,,,,,
59,acajou,jou,Anjou,toujouRs,Oui,,,,,,,,,,,,,,,,,,,,
60,lavie,Laval,Savigny,Avide,,,,,,,,,,,,,,,,,,,,,
61,Choiseul,rue de Choiseul,"rue de
Choiseul","rue de Choiseul.78
L' Ep",c0te de Chilly,,,,,,,,,,,,,,,,,,,,
62,brigand,pandu,gand,Mostaganem,,,,,,,,,,,,,,,,,,,,,
63,Vatnaz,Vntnaz,Vatnazl,Mlle Vatnaz,Vutnaz,,,,,,,,,,,,,,,,,,,,
64,Papal,Palais,Palais-Royal,palais-loyal,"Palais-
Royal",galais,,,,,,,,,,,,,,,,,,,
65,pont de la Concorde,pont de la Boucherie,pont de Charenton,place de la Concorde,blonde l,,,,,,,,,,,,,,,,,,,,
66,Villeneuve-l'Rarchique,Hauteville,Ville,Villeneuve,Vazeille,Vaudeville,Sainville,Seville,Villages,Gemonville,Surville,luI0tel-de-Ville,Fouquier-Tinville,tranquille,Belleville,,,,,,,,,,
67,chette,as achete,cachemire,lachete,Lacet,Lacham-,Tache,,,,,,,,,,,,,,,,,,
68,Combien,-  Bien,-  Bah,bien376,BIef,,,,,,,,,,,,,,,,,,,,
69,oran,ecrans,d'York,orang-outan,,,,,,,,,,,,,,,,,,,,,
70,bal des Tuileries,dome des Tuileries,Fr4lerie,H,Tuileries,Ilesperides,ux Tuileries,jardin des Tuileries,D,"Tui-
lerins",,,,,,,,,,,,,,,
71,Dsualtevnisation,nATION,Fraction,EnC ATION,Lection,Rvolution,Inquisition,,,,,,,,,,,,,,,,,,
72,"rue
Coq-Heron",Coq-Aileron,rue Coq-Aileron,y-A,,,,,,,,,,,,,,,,,,,,,
73,gourette,Loure,Vlour,langoureux,lourdes,,,,,,,,,,,,,,,,,,,,
74,aulgrienne,rue Vivienne,Vienne,Vincennes,liennes,sienne,Bars enfui de Vincennes,ancienne176,Nitienne,Vivienne,,,,,,,,,,,,,,,
75,tamise,MI,mimi?n,MIme,Mignot,,,,,,,,,,,,,,,,,,,,
76,I6serte,reese,serin-L,SE,perse,hse,Gymnase,Venise,corset,se260,,,,,,,,,,,,,,,
77,la Boardeuse,la Cardeuse,,,,,,,,,,,,,,,,,,,,,,,
78,Olympe,L'Olympe,lisbeth-Olympe-Louise HRoque,,,,,,,,,,,,,,,,,,,,,,
79,Eh,-  Eh,Cr e',iD E,-  Ohl,,,,,,,,,,,,,,,,,,,,
80,Seneca,Senecal,Sene--,Sen6cal,Senegal,notre Senecal,,,,,,,,,,,,,,,,,,,
81,Boheme,lBoheme,Ohe l,boheme,O,,,,,,,,,,,,,,,,,,,,
82,Accueil,cccccc.26,jardin d'Accueil,,,,,,,,,,,,,,,,,,,,,,
83,"rue du Marcle-aux-
chevaux",rue du Marcle-aux-,Gare-aux-Ces,,,,,,,,,,,,,,,,,,,,,,
84,cherie,Psyche,lche,tche,Cher,Niches,Richelieu,"mor
cher",Long-clocher,Boucher,cheri,Catherine,,,,,,,,,,,,,
85,Fallu,Fallait,Allard,Allait,,,,,,,,,,,,,,,,,,,,,
86,sAint-Jacques,Saint-Jacques,Jacques,rue Saint-Jacques,,,,,,,,,,,,,,,,,,,,,
87,partez,Partez partez,Sortez,Partez,Charte,,,,,,,,,,,,,,,,,,,,
88,Autorit,auteuil,seuil du boudoir,Auteuil,Fauteuil,,,,,,,,,,,,,,,,,,,,
89,"chapeletsln
-  Pas",pele-mele,mele,poele,soie gris-pele,delend,pele-mile,,,,,,,,,,,,,,,,,,
90,A59,A52,,,,,,,,,,,,,,,,,,,,,,,
91,Orleans,O0orleans,Orlans,,,,,,,,,,,,,,,,,,,,,,
92,Bourges,bOurges,Bourgeoise,Bourgogne,Bourse,bourgogne,de Bourges,Luxembourg,,,,,,,,,,,,,,,,,
93,-  A,-  Ah,ebahi,"n
- Ah",,,,,,,,,,,,,,,,,,,,,
94,Carrousel,Andalouse,Carousel,place du Carrousel,"place du
Carrousel",,,,,,,,,,,,,,,,,,,,
95,"Champ de
Mars","Champ
e MArs",Champ de Mars,Champ-de-Mars,,,,,,,,,,,,,,,,,,,,,
96,le japon,Japon,Poncif,,,,,,,,,,,,,,,,,,,,,,
97,Institut,lInstitut,J',,,,,,,,,,,,,,,,,,,,,,
98,Hosanette,con nette,llosnette,Rosannette,Ilosanette,osanette,kRosannette,Rosanette,Iosanette,llosaneltte,,,,,,,,,,,,,,,
99,cn,lticn,scne,,,,,,,,,,,,,,,,,,,,,,
100,Femme-Sauvage,eme-Sauvage,Sauvagcsse,,,,,,,,,,,,,,,,,,,,,,
101,gascon,congediee,macon,confusemcnt,Con,gascon cha immdiatemcnt,Raconte,conita,,,,,,,,,,,,,,,,,
102,tais-toil,vis-a-vis,Mai-,Mais-,aIMais,S-,Jamais,Maisje,J,,,,,,,,,,,,,,,,
103,Dumersan,san,Sanson,Faisant,San,la Renaissance,sangl,sanc--,Persan,,,,,,,,,,,,,,,,
104,Aulnay,Ln,I85,M. des Aulnay,,,,,,,,,,,,,,,,,,,,,
105,Benedicite,Cite,Cit,Lez-ois lite,Iratevnite,prolites-cn,cida,celebrite,,,,,,,,,,,,,,,,,
106,collge de Sens,Collge de France,Collage de France,Empire cree pair de fRance,collge,colonne de Juillet,,,,,,,,,,,,,,,,,,,
107,Injustice,Clubstick,nice,,,,,,,,,,,,,,,,,,,,,,
108,NTA,sEN RIMENTAL E,RIMENTAL,comnplimenter,SE RIMENTALE,b,nomeny,RIMENTALE,IM,RIMENTAL E,,,,,,,,,,,,,,,
109,L I,l a,,,,,,,,,,,,,,,,,,,,,,,
110,hauss6e,s6,haussantles,,,,,,,,,,,,,,,,,,,,,,
111,Pellerin,Miserables,clerg,ler,glee,Ler,Palerme,,,,,,,,,,,,,,,,,,
112,Moulin-Rouge,"Chevalier
de Maison-rouge",Chevalier,,,,,,,,,,,,,,,,,,,,,,
113,donc?n,Donc,lanc?n,,,,,,,,,,,,,,,,,,,,,,
114,barribre du236,Bars,tibre,barribre,Arriv,CarRi0,barrirc,Barrot,barribre d'Italie,,,,,,,,,,,,,,,,
115,lhc,Lheure,Heures,l'Heure,,,,,,,,,,,,,,,,,,,,,
116,Vive,cricr,crivit,Privilge,Crivent,a20,ssouvit,,,,,,,,,,,,,,,,,,
117,Art,PArt,pArt,Parthenon,Partout,,,,,,,,,,,,,,,,,,,,
118,l'Aube,conseil general de l'Aube,Aube,,,,,,,,,,,,,,,,,,,,,,
119,Conference,Intelligence,fayence,Genre,Regence,Regency,,,,,,,,,,,,,,,,,,,
120,ILaromiguire,languir,lanuit,Languedoc,Nolan-,,,,,,,,,,,,,,,,,,,,
121,Flanque-la dehorslon,Flanque,Blanqui,Banque,Salamanque,,,,,,,,,,,,,,,,,,,,
122,quai Voltaire,revolta,Revo-,volupt,,,,,,,,,,,,,,,,,,,,,
123,Iront,Ro-,affranchiront,pont Royal,Rond-Point,lironie,Girondins,,,,,,,,,,,,,,,,,,
124,dinant,Dant,Bacchante,Nantes,Barante,suPplanter,Quarante,h0tel de Nantes,snte,oulrageante,-  Maintenant,Tes,Payante,,,,,,,,,,,,
