text,cluster,cluster_corrected
de l',-1,
Saint-Cloud,-1,
Chambre des passages des philosophes,-1,
Bertinaux,-1,
Lola Montés,-1,
Odéon,-1,
rue Transnonain,-1,
Mouffetard,-1,
Comaing,-1,
Osage,-1,
Comines,-1,
Foire,-1,
Reynolds,-1,
Pardon,-1,
Magnifique,-1,
Palazot,-1,
rue Saint-Victor,-1,
Chambre des députés,-1,
affranchiront,-1,
Fables de Lachambeaudie,-1,
Saint-Valéry,-1,
Législative,-1,
pont de la Boucherie,-1,
rue de l'Arcade,-1,
Tropiong,-1,
hôtel Lambert,-1,
Petites Affiches,-1,
Saint-Ferdinand,-1,
Poncif,-1,
Pierrot,-1,
Hôtel-Dieu,-1,
seuil de la lorette,-1,
Fontainebleau,-1,
Montpensier,-1,
Pouvoir,-1,
Apollonie,-1,
Autorité,-1,
Hespérides,-1,
Californie,-1,
Balaruc,-1,
orang-outang,-1,
guipure,-1,
colonne de Juillet,-1,
Lara,-1,
rue du Bac,-1,
pierre de Notre-Dame,-1,
Bouttevilain,-1,
rue Bellefond,-1,
quai d'Orsay,-1,
Réalisme,-1,
Chambord,-1,
Allard,-1,
Sois,-1,
Anglo-Saxonnes,-1,
Yankees,-1,
perse,-1,
rue Caumartin,-1,
rue des Francs-Bourgeois-Saint-Michel,-1,
Saint-Roch,-1,
Epicerie,-1,
Bréda,-1,
Paraguay,-1,
lip-fraoli,-1,
Attends,-1,
langoureux,-1,
Procédure,-1,
Egalité,-1,
serrure,-1,
rue des Martyrs,-1,
Deslauriers,-1,
La Fougère,-1,
rue de Valois,-1,
Palerme,-1,
rue de Marbeuf,-1,
la Pâtisserie,-1,
Mlle,-1,
Style,-1,
rue de Chabrol,-1,
statue de la Liberté,-1,
carbonaro,-1,
du truité,-1,
Meudon,-1,
Norvins,-1,
Cygne de la Croix,-1,
Saint-Paul,-1,
porte Maillot,-1,
Bœuf,-1,
Sphinx,-1,
Bonsoir,-1,
Liban,-1,
Mieux,-1,
Dunod,-1,
Boutron,-1,
Béarnais,-1,
rue Rumford,-1,
Frères-Siamois,-1,
Vraiment,-1,
Sens,-1,
caleçon,-1,
Garçon,-1,
Orientaux,-1,
Croix des-Petits-Champs et du Bouloi,-1,
Chantilly,-1,
Rubens,-1,
rue de Bréda,-1,
Misérable,-1,
Ambigu,-1,
Bourse,-1,
Loulou,-1,
rue de Rivoli,-1,
heroicos mártires,-1,
wagon,-1,
Bouquet-du-Roi,-1,
Dulaure,-1,
Chapeau,-1,
Lélia,-1,
turbotière,-1,
Panthéon,-1,
seuil du boudoir,-1,
Sainte-Pélagie,-1,
Partout,-1,
Laisse,-1,
ganse,-1,
Philosophie,-1,
Las,-1,
rue Duphot,-1,
Genève,-1,
Levez,-1,
bourriquet,-1,
Art,-1,
Délassements,-1,
théâtre Bobino,-1,
Orsay,-1,
bonds,-1,
Fleurs,-1,
Savoyard,-1,
Bengale,-1,
Summa,-1,
Sanson,-1,
Hiérarchie,-1,
bouleversa,-1,
A,-1,
Magistrature,-1,
Mazas,-1,
Occupez,-1,
quai Voltaire,-1,
rue de l'Empereur,-1,
Voulez,-1,
Cinq-Mars,-1,
nôtre,-1,
Havrais,-1,
Vicomte,-1,
Hauteville,-1,
Gare,-1,
Vincennes,-1,
Pitié,-1,
Laval,-1,
Samedi,-1,
Lorraine,-1,
hasta,-1,
Morgue,-1,
Niagara,-1,
place du Marché,-1,
Parthénon,-1,
quai Saint-Bernard,-1,
Chevalier,-1,
Dijon,-1,
théâtre du,-1,
Livon,-1,
tambour de basque,-1,
Vive,-1,
Sainte-Geneviève,-1,
punch,-1,
Gueuse,-1,
Trocadéro,-1,
Surville,-1,
Carpentras,-1,
tic-tac de la pendule,-1,
Préfecture de police,-1,
buis,-1,
pâlissante,-1,
l'Europe,-1,
Considérant,-1,
créances,-1,
Ministre,-1,
Salut,-1,
Muséum,-1,
Corbeil,-1,
Premières,-1,
Grange-Batelière,-1,
rue Dauphine,-1,
Benedicite,-1,
rue Rambuteau,-1,
Champs-Elysées,-1,
Vit,-1,
Magdelena,-1,
MM. Chambolle,-1,
rue de la Roquette,-1,
Art industriel,-1,
Saint-Thomas,-1,
pont de Charenton,-1,
Suresne,-1,
états-majors,-1,
rue Drouot,-1,
Don Juan de Molière,-1,
Sortez,-1,
