cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97
-1,V'escalier,pre,J1,Cargèse,EH,à-,Roi-Louis,surfabeno,ombrE,Blesséos,cueillie,recut,malaDe’,Cria-,"UNE VOIX267

   
 AH 
 
 
 
 
 
 
 J 
 
 
 
 
 
 
 J 

../: Qu'est-ce que je deviendrai",ferme d’Életot,Ltorturée,Damas,"sur-

 
 
 
 
 AH 
   
 X",Ellé,Mira,UN,rivige,vert-de-gris,Coup,"Tue
oo Mais ta mère n’",Fr bornme,s’'enfoncer,Rouen,Pouvait,alluma,anca,champagne,Éloignait,Bout,AH,mer par-dessus,Notre-Dame du Gros-Ventre,pothes,Reminil,voilÀ,Anti-physiques,Encaissée,HU,el,la Jampe,Île s’,sesavoir,quem devoret,Quittez-le,Hollande,Marseille,Impureté,mont Riboudet,"vieux

 

 X 
 
 
 
 J 
 
 

330 NE",d’aiguille,Ellesse,Lise,Lés,Patronne,Comptez,el hourrue,V',Coco,trouves-tu,Allait-Royal,"AH 
 
 
 
 
 
 J 
     
 
 
 
 J 
 
 
 J 
   
 
 

 

47",surgirent.de,supplie,Ts,d’,F,Remontée,BIentôt Apparut Le Village,E,"Co |

Dè rares",éotnme,apportez-les-moi,y-,j’,ôrmes,Allemagne,b,alaternes,dOnc,A84,Béelzébuth,serrure,bois bruni,Sobrés,A,Goder-,m’,entR-inaccoutumé.-Les châtelains,Éternelle,J,Ia,D S
0,"À l
l'obscurité",2 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hé-,hé-,c0chér,GO Gp,habitué,Cuitaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Madère,Dè,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tassit,Sitôt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Re-je-regarDE,regardez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lys,Thysbé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,S,d2,Î,É,z0n€,I,t’,kB,qü’,R,j-,|,Ïl,D|,m-,N,Ù,l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,l’,L’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Moi,moi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
