cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67
-1,Gésirer,Capitaine,Évisa,bois bruni,m'’aimer,Île s’,cueillie,d’aiguille,moselle de la Roche-Aubert,Aït,riple,Coco,Adélaïde,Larmes,anca,Chambre-aux-Demoiselles,aüt de la chaire des imprécations,el hourrue,Damas,Mascotte,suré,s‘blancs.-,Coup,Qué,Dentu,terre de Barville,"ba-
ron",obséquieux,Be,Hollande,choua,Lexpertise des Vaud,M. de Brisbane,apporte-les-moi,supplie,ellis,Madeleines,Romäines,Ajaccio,naie,serrure,Arrêtér,Ellé,Allemagne,Brisseville,champagne,Le,d’,Notre-Dame du Gros-Ventre,pides,deuxijouts,on.se,Ellerentrait,Fection,àvec,garonne,golfe de Sagone,Mira,sapins,bésigne,Per,vert-de-gris,rs-accourait,Cargèse,surgirent.de,l'Empire,Rouen,He
0,m-,F7,m’,É,Æt,R,|,kB,Ç,qü’,Î,A84,È,J,i,F,j’,I,"É
3 Æ",P,z0n€,D,u%,Æ,J1,b,S,d2,Ÿ,E,ÏS,t’,Ïl,Ù,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L’,l’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Là-haut,"| |

Hauts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lys,Thysé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tolbiac,bé Tolbiac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,c0chér,2 Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,mer par-dessus,trôinvit,mer invisible,mer r bleu À,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Midi,près-midi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fr,habitué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ÿ Xi,Ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,mont Roudet,Remontée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,un',"Raven-

Soirés",rémonie,Bonsoir,nu-bras,bonIëu£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Croyez-,Croyez->ou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Voyez,Fuyez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Providence,s’'enfoncer,Provence,Florence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Réponds,Répondez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Normandie,Normand,Normande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
