cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0.0,eeil,oeiltaut,aeil,,,,,,,,,,,,,,,,,,
1.0,Tot,Lttot,,,,,,,,,,,,,,,,,,,
2.0,Lllesentit,Iressentit,"n
Lllesentit","io
 Eg",,,,,,,,,,,,,,,,,
3.0,alle,alluma,allee,alleroir,Allemagne,,,,,,,,,,,,,,,,
4.0,severe,seve,severement enfermee,,,,,,,,,,,,,,,,,,
5.0,Pois,Trois-Mares,parois,Viloise,Vois-tu,hoisie,Fartois,Ioisant,,,,,,,,,,,,,
6.0,cherie,empecher,miserieorde,hereher,calinerie,,,,,,,,,,,,,,,,
7.0,toutou,fToute,toul,gttout,ettout,,,,,,,,,,,,,,,,
8.0,Mediterranee,"Me-
literrannee",,,,,,,,,,,,,,,,,,,
9.0,enne,Inne,nne,Rienne,,,,,,,,,,,,,,,,,
10.0,Qrti,artit,,,,,,,,,,,,,,,,,,,
11.0,oach6,ch6e,,,,,,,,,,,,,,,,,,,
12.0,tle ui,outle,etle,,,,,,,,,,,,,,,,,,
13.0,apres,Apres,Aprks,Sevres,,,,,,,,,,,,,,,,,
14.0,auraitbesoin,Aucunbesoin,Ilaurait,,,,,,,,,,,,,,,,,,
15.0,Etusnd,Vousne,,,,,,,,,,,,,,,,,,,
16.0,Roi-Louis,RRoi-Louis,,,,,,,,,,,,,,,,,,,
17.0,Mariez-les,mariez-les,Quittez-le,Pourriez-,nmari,apportez-les-moi,,,,,,,,,,,,,,,
18.0,heuressans,yiheuar,IQans,san,,,,,,,,,,,,,,,,,
19.0,Corse,la Corse,l-bas en Corse,Corsel,Aors,La Corse,Corse d'Evisa,Qestla Corse,,,,,,,,,,,,,
20.0,tiede,entie-.-,Tiens,,,,,,,,,,,,,,,,,,
21.0,Coutelier,Ieras,hotel,accoutumee,Laroute,,,,,,,,,,,,,,,,
22.0,barue,Barbes,oset,laant remarue,,,,,,,,,,,,,,,,,
23.0,cueillie,Yontivilliers,LlIe,,,,,,,,,,,,,,,,,,
24.0,h Yport,Yport,Ykport,,,,,,,,,,,,,,,,,,
25.0,Puison,buis,ssison,Lison,Puis,PuIs,,,,,,,,,,,,,,,
26.0,avee,Savez,haron monterent avee,Avee,servee,,,,,,,,,,,,,,,,
