cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Las,Angleterre,Méditerranée,Perret,,,,,
1,Combien,plaçât,Tiens,Lucienne,Oriental,Impatienté,Julien,,
2,Bastia,mer là-bas,l'Empire,Sacré-Cœur,Tolbiac,basques,,,
3,Folle,Hollande,Rollebosc,Jardin,Bassolle,,,,
4,Suisse,Roi-Louis,housses,buis,,,,,
5,mer là,,,,,,,,
6,Cigogne,cigogne,Auvergne,Cologne,cognac,,,,
7,Eretry,Impureté,Lamoureux,Étretat,serrure,,,,
8,Réponds,Côte,Lapons,Répondez,Tantôt,Londres,Fuyez,,
9,La Corse,Corse,bras-le-corps,Corse d'Évisa,Le Corse,,,,
10,surplis,Lise,jura,Lison,,,,,
11,Fécamp,I,champagne,,,,,,
12,dormeuse,hôtel de Normandie,Flamands,Normand,Normandie,Niolo,Normande,,
13,pâlie,Rosalie,supplie,d'Italie,Italie,,,,
14,pays de Caux,phare de Fécamp,golfe de Sagone,Pas de lune,Le Perthuis des Vauds,,,,
15,Cargèse,Songe,mangeât,Crisange,Évisa,bésigue,,,
16,Palais-Royal,aimais,connais-tu,Bravo,Encaissée,,,,
17,Damas,Dentu,Étouvent,Rentrons,Bonsoir,menton,,,
18,Coutelier,Accoutumé,Ajaccio,Écoutez,,,,,
19,Coursil-Courville,Bourse,Coursil,Thysbé,,,,,
20,air du Val,vallon sauvage d'Ota,rue du Sauvage,Notre-Dame du Gros-Ventre,reparue,,,,
21,P,dévala,Religion,val,val d'Ota,,,,
22,Romaines,la Seine,Hauts,Touraine,Madeleines,Vierge,Chine,,
23,Lerat,bosquet,Croquerat,Quelquefois,quem devoret,,,,
24,Vaucotte,Attendu,Guettez,Crotte,calme-toi,souffletterai,,,
25,Livourne,Voudrez,,,,,,,
26,Saint-Léonard,Soudain,Sainte-Hélène,,,,,,
27,Savez,Avez,,,,,,,
28,Le Havre,au Havre,du Havre,Grèce,collège du Havre,Belzébuth,rue du Havre,,
29,lune,Barville,terre de Barville,Fourville,Goderville,Voyez,Barbes-de-capucin,,
30,Mornes,Athènes,Gênes,,,,,,
31,Briseville,gare de Beuzeville,Batteville,Beuzeville,Varneville,,,,
32,Gilberte,habitué,Albertacce,Bolbec,comtesse Gilberte,,,,
33,Marseille,Vrillette,Versailles,tilleul,Couillon,,,,
34,Sèvres,Envoie,Trois-Mares,Apôtres,varech,Cany,Mars,,
35,ieau,château des Peuples,Pyrame,hameau de,Sitôt,,,,
36,mont Riboudet,oremus,Adélaïde,Remontée,sapins,Montivilliers,Reminil,,
37,Naples,Royales,,,,,,,
38,Quittez-le,apportez-les-moi,mariez-les,,,,,,
39,alluma,Allemagne,,,,,,,
40,le soleil,soleil,Le soleil,,,,,,
41,Madère,Amérique,L'Amérique,l'Afrique,Anti-physiques,obséquieux,Lastique,halées,Afrique
42,Yport,Attirée,Évaporée,Chicorées,,,,,
43,Picot,bécota,caleçon,,,,,,
44,Voulez,Paulet,souleva,Poulet,,,,,
45,Rouen,Cité,Voilà,,,,,,
46,Chinois,Viloise,Autrefois,bois bruni,,,,,
47,Couche,Corniche,Piana,Cana,Ganache,,,,
48,tonnelle,mignonne,Mignonne,donne-les-moi,,,,,
49,Surprise,vert-de-gris,Midi,Eut,Paris,,,,
50,Rappelée,Provence,Enchaînée,Providence,Florence,,,,
51,Verneuil,Chambre-aux-Demoiselles,alaternes,Éternelle,javelle,,,,
52,Qué,France,la France,,,,,,
