text,cluster,cluster_corrected
Évaporée,0.0,
Attirée,0.0,
Chicorées,0.0,
Mignonne,1.0,
mignonne,1.0,
Anti-physiques,2.0,
basques,2.0,
Thysbé,2.0,
halées,3.0,
Rappelée,3.0,
Chinois,4.0,
bois bruni,4.0,
Chine,4.0,
Viloise,4.0,
Paris,5.0,
reparue,5.0,
Surprise,5.0,
Gênes,6.0,
Athènes,6.0,
Mornes,6.0,
apportez-les-moi,7.0,
mariez-les,7.0,
donne-les-moi,7.0,
Yport,7.0,
Quittez-le,7.0,
Cana,8.0,
Ganache,8.0,
Piana,8.0,
Cany,8.0,
Saint-Léonard,9.0,
Sainte-Hélène,9.0,
Religion,9.0,
Jardin,9.0,
Mars,10.0,
Fuyez,10.0,
Marseille,10.0,
cigogne,11.0,
Cigogne,11.0,
bécota,12.0,
Vaucotte,12.0,
Crotte,12.0,
Picot,12.0,
Sitôt,13.0,
Tantôt,13.0,
d'Italie,14.0,
Italie,14.0,
Rosalie,14.0,
vert-de-gris,15.0,
Barbes-de-capucin,15.0,
Vierge,16.0,
Auvergne,16.0,
Bonsoir,17.0,
Rentrons,17.0,
Lapons,17.0,
calme-toi,18.0,
caleçon,18.0,
Cologne,19.0,
Niolo,19.0,
cognac,19.0,
Livourne,20.0,
Lamoureux,20.0,
serrure,20.0,
obséquieux,20.0,
tonnelle,21.0,
Chambre-aux-Demoiselles,21.0,
Éternelle,21.0,
javelle,21.0,
alaternes,21.0,
Verneuil,21.0,
Remontée,22.0,
mont Riboudet,22.0,
Voudrez,22.0,
Soudain,22.0,
Montivilliers,22.0,
Madeleines,23.0,
la Seine,23.0,
Madère,23.0,
Avez,23.0,
val,24.0,
air du Val,24.0,
dévala,24.0,
rue du Havre,25.0,
du Havre,25.0,
Le Havre,25.0,
collège du Havre,25.0,
au Havre,25.0,
Vrillette,26.0,
Varneville,26.0,
Batteville,26.0,
Briseville,26.0,
Beuzeville,26.0,
Attendu,26.0,
Impatienté,27.0,
Tiens,27.0,
Oriental,27.0,
menton,27.0,
surplis,28.0,
Lison,28.0,
Lise,28.0,
Songe,28.0,
Providence,29.0,
Provence,29.0,
Florence,29.0,
Dentu,29.0,
Enchaînée,29.0,
Albertacce,30.0,
Gilberte,30.0,
comtesse Gilberte,30.0,
mangeât,31.0,
Évisa,31.0,
Crisange,31.0,
Coursil-Courville,32.0,
Bourse,32.0,
Coursil,32.0,
Romaines,33.0,
jura,33.0,
Touraine,33.0,
quem devoret,34.0,
Impureté,34.0,
Étretat,34.0,
Eretry,34.0,
champagne,35.0,
Allemagne,35.0,
alluma,35.0,
bosquet,36.0,
Lerat,36.0,
Croquerat,36.0,
Apôtres,37.0,
Londres,37.0,
Trois-Mares,37.0,
Sèvres,37.0,
Voyez,38.0,
Hollande,38.0,
Folle,38.0,
Bassolle,38.0,
Rollebosc,38.0,
aimais,39.0,
connais-tu,39.0,
Royales,39.0,
Palais-Royal,39.0,
Couche,40.0,
Accoutumé,40.0,
Coutelier,40.0,
Ajaccio,40.0,
Écoutez,40.0,
Envoie,41.0,
Voilà,41.0,
Las,42.0,
Bastia,42.0,
Lastique,42.0,
Fécamp,43.0,
golfe de Sagone,43.0,
gare de Beuzeville,43.0,
phare de Fécamp,43.0,
varech,43.0,
Bravo,44.0,
bras-le-corps,44.0,
mer là-bas,45.0,
mer là,45.0,
Combien,46.0,
pâlie,46.0,
Lucienne,46.0,
Julien,46.0,
supplie,46.0,
Tolbiac,47.0,
Bolbec,47.0,
bésigue,48.0,
souffletterai,48.0,
Guettez,48.0,
Méditerranée,49.0,
Perret,49.0,
Angleterre,49.0,
Réponds,50.0,
Répondez,50.0,
Reminil,51.0,
oremus,51.0,
la France,52.0,
France,52.0,
Corse d'Évisa,53.0,
Corniche,53.0,
Le Corse,53.0,
La Corse,53.0,
Corse,53.0,
Paulet,54.0,
Voulez,54.0,
Poulet,54.0,
souleva,54.0,
Barville,55.0,
Fourville,55.0,
tilleul,55.0,
Goderville,55.0,
terre de Barville,55.0,
Versailles,55.0,
Hauts,56.0,
Autrefois,56.0,
Quelquefois,56.0,
val d'Ota,57.0,
Couillon,57.0,
rue du Sauvage,57.0,
vallon sauvage d'Ota,57.0,
Côte,58.0,
Savez,58.0,
Amérique,58.0,
l'Afrique,58.0,
Afrique,58.0,
L'Amérique,58.0,
housses,59.0,
buis,59.0,
Encaissée,59.0,
Roi-Louis,59.0,
Suisse,59.0,
Flamands,60.0,
Normandie,60.0,
hôtel de Normandie,60.0,
Normande,60.0,
dormeuse,60.0,
Normand,60.0,
Damas,61.0,
Étouvent,61.0,
Pyrame,61.0,
Notre-Dame du Gros-Ventre,61.0,
soleil,62.0,
Le soleil,62.0,
le soleil,62.0,
pays de Caux,63.0,
lune,63.0,
Pas de lune,63.0,
Le Perthuis des Vauds,64.0,
ieau,64.0,
Naples,64.0,
hameau de,64.0,
château des Peuples,64.0,
Cargèse,,
Cité,,
Qué,,
sapins,,
Sacré-Cœur,,
Grèce,,
Eut,,
habitué,,
Belzébuth,,
Adélaïde,,
P,,
plaçât,,
Midi,,
I,,
Rouen,,
l'Empire,,
