text,cluster,cluster_corrected
Grece,0,
Grenade,0,
grace,0,
piece,0,
N0VELLE,1,
NO0VELLE,1,
N0,1,
LA NO0VELLE,1,
N0VELLE FRANCE,1,
N0VELL,1,
manche,2,
franche,2,
Manuscrits,2,
lche,2,
la manche,2,
NoUVELLE,3,
retrouveront,3,
NOUVELLE FRANCE,3,
"T
L
LA N0NOUVELLE",3,
NOUVELLE E8FRANCE,3,
NoUvILLB,3,
N0UVELLE,3,
LA N0NOUVEL,3,
NOUVELLE FRANCE O1,3,
"NOUVELLE TENdANCE
- Moi",3,
N0NoUVELLE,3,
M0UVELLE,3,
I.A NOUvELLE,3,
",- Nou",3,
"cri,-",4,
Paris,4,
A Paris,4,
S,4,
A1,4,
attrist6e,4,
Parme,4,
ar-,4,
pAris,4,
Bovary,4,
l'Oise,5,
Oise,5,
oisivet,5,
Sois,5,
H,5,
Teloise,5,
Bois,5,
Is,5,
aimais,6,
etais,6,
Etat,6,
- Nais,6,
Jamais,6,
C'6tait,6,
Comment,7,
gauchement,7,
Corinthe,7,
A chemine,7,
Singulierement,7,
sentimentale,7,
extreme,7,
Boheme,7,
A55,7,
A92,8,
A9,8,
A07,9,
d'Italie,9,
lItalie,9,
LI,9,
Italie,9,
Berlin,9,
Clichy,9,
Anatolie,9,
ecoliers,9,
G-.--,10,
L---,10,
.--.310,10,
rome,11,
Jerome,11,
Rome,11,
Tyrol,11,
ESPERANCB 87,12,
LA N0NOUVELLE ESPERANCE,12,
N0UVBLLB,12,
N0UVELLE EsPERANCE,12,
N0UYELLE ESPERANCB,12,
N0UYELLE ESPERANCE,12,
LA NoUVELLE ESPERANCIE,12,
N0UVELLE ESPiRANCE 87,12,
lA NOUVELLE ESPERANCE 8B5,12,
N0UYELLE EsPRANCE 57,12,
"N0UVELLE EsPRANCE
Son existence reprenait",12,
N0NOUVELLE ESPERANCE,12,
I0RIELLE ESPfEnRANCE,12,
LA NOUvELLE ESPERANCE 2871,12,
N0UVELLlL ESPERANCB,12,
N0ELLE EsPERANCE,12,
forceLA N0OUBLI ESPERANCE 79,12,
NOYELLE ESEnRANCB,12,
N0UVELLE ESPfR ANCE,12,
N0ivILLE ESPERANCE,12,
N0UYELLE ESPERANCE 11,12,
Terme,13,
tetu,13,
tete college,13,
tete,13,
Compte d'une Societe,13,
bete,13,
htel,13,
Quittez,13,
Bois de Boulogne,14,
Pologne,14,
bois de hoyer,14,
boules-de-neige,14,
N0PUBLIE,15,
troublejusqu',15,
Joubliais,15,
nobiliaire.6,15,
Ia2,15,
z.,16,
Fabien,16,
Tabieh Mauri,16,
Subie,16,
"chambre
deshabituee",16,
"rue madame
Fortier",17,
"rue Jean-
Bart",17,
"E
S",17,
port6,17,
avaitvecu,18,
G:;avan,18,
vecu,18,
wagon,19,
Wagon,19,
lagonie,19,
chteau,20,
cruaut,20,
beaut,20,
au-,20,
Bordures,21,
chateau des Bordures,21,
endure,21,
Cordoue,21,
A6,22,
T3,23,
Passe,24,
Assise,24,
massif de myosotis,24,
auSsi,24,
paule,25,
paules des cannes,25,
Indes,25,
Lausanne,25,
lunes bleues,25,
N,26,
de Saxe,26,
- D6cide,26,
decidee,26,
vde,26,
y-,27,
Ferney,27,
cherie,27,
lErie,27,
Pierre,27,
Mont-Valerie,27,
v6nerable,27,
colere,27,
elan,28,
J',28,
ceLA,28,
cela',28,
Courbe,29,
Tournon,29,
Pour-,29,
Touraine,29,
tournon,29,
tourmentait170,29,
Voyez,30,
Vosges,30,
jardin des Vosges,30,
accabl6e,31,
caf,31,
ca,31,
cahors,31,
Somone,32,
- Montez,32,
Remonter,32,
Amont,32,
amiti6,32,
crmonie,32,
reuni,33,
UN,33,
bruni,33,
lune,33,
a7,34,
regal,34,
inegal,34,
reseda,35,
Cest,35,
Gravures,35,
resume,35,
Suresnes,35,
fresnes,35,
aequies-,35,
"II

LILA",36,
uniLAT,36,
Il1,36,
