text,cluster,cluster_corrected
Wagon,0.0,
lagonie,0.0,
wagon,0.0,
Jamais,1.0,
aimais,1.0,
Egypte,2.0,
Gypte,2.0,
tourmentait170,3.0,
tournon,3.0,
Pour-,3.0,
Tournon,3.0,
Touraine,3.0,
Courbe,3.0,
Nulle,4.0,
tulle,4.0,
LA N0NOUVELLE ESPERANCE,5.0,
N0UVELLE EsPERANCE,5.0,
"N0UVELLE EsPRANCE
Son existence reprenait",5.0,
N0UVELLlL ESPERANCB,5.0,
N0UVELLE ESPfR ANCE,5.0,
N0UVELLE ESPiRANCE 87,5.0,
LA NoUVELLE ESPERANCIE,5.0,
N0UVBLLB,5.0,
lA NOUVELLE ESPERANCE 8B5,5.0,
ESPERANCB 87,5.0,
LA NOUvELLE ESPERANCE 2871,5.0,
N0NOUVELLE ESPERANCE,5.0,
bois de hoyer,6.0,
Bois,6.0,
Voyez,6.0,
de Saxe,6.0,
Bois de Boulogne,6.0,
wo  boi.28,6.0,
Seine,7.0,
la Seine,7.0,
seit,7.0,
"la
Seine bleue",7.0,
Gens,8.0,
Geneve,8.0,
Agrigente,8.0,
Quelque,9.0,
Quelquefois,9.0,
Paques,9.0,
Dominique,9.0,
Flore,10.0,
Florence,10.0,
loranger,10.0,
Ferney,11.0,
du morne,11.0,
Saint-Cloud,12.0,
Louvre,12.0,
du Louvre,12.0,
Bordures,13.0,
endure,13.0,
chateau des Bordures,13.0,
piece,14.0,
Grece,14.0,
Pierre,14.0,
colombes,15.0,
Tombe,15.0,
Pologne,15.0,
Son,16.0,
sondepart,16.0,
Partez,16.0,
mediocre,16.0,
deput,16.0,
frileux,17.0,
Lucile,17.0,
N0UYEILILE,17.0,
soleil,18.0,
colere,18.0,
oeiL,18.0,
cela',19.0,
ceLA,19.0,
elan,19.0,
Berlin,20.0,
Wurtemberg,20.0,
Nancy,21.0,
ESPEnANCB,21.0,
ANCI,21.0,
- D6cide,22.0,
decidee,22.0,
verveine acidul,23.0,
Serves,23.0,
Lhiver,23.0,
Versailles,24.0,
Seville,24.0,
VILA,24.0,
NoUvILLB,24.0,
Etat,25.0,
etais,25.0,
C'6tait,25.0,
- Nais,25.0,
lErie,26.0,
Mont-Valerie,26.0,
cherie,26.0,
NOYELLE ESEnRANCB,27.0,
N0ivILLE ESPERANCE,27.0,
N0ELLE EsPERANCE,27.0,
N0UYELLE ESPERANCE,27.0,
N0UYELLE ESPERANCB,27.0,
