text,cluster,cluster_corrected
Bois de Boulogne,0,
boules-de-neige,0,
Mossoul,0,
Pologne,0,
Seine,1,
Sabine,1,
Messine,1,
Berlin,1,
Touraine,1,
Anzin,1,
la Seine,1,
Versailles,2,
Marsan,2,
Naples,2,
Séville,2,
perse,2,
Suresnes,3,
colombes,3,
Gênes,3,
Est,3,
Gravures,3,
Sèvres,3,
J'ai Pierre,4,
J',4,
Pierre,4,
VI,5,
Vienne,5,
rue de l'Ancienne-Comédie,5,
Fabien Mauri,5,
Lausanne,5,
Allez,6,
Alsace,6,
tulle,6,
Voyez,6,
Bengale,6,
Allemagne,6,
barcarolle,6,
alluma,6,
Ève,7,
Genève,7,
l'Espagne,8,
Espagne jaune,8,
Ferney,8,
lune,8,
Penché,9,
Flore,9,
Florence,9,
Menacée,10,
Août,10,
nacre,10,
mer d'Azow,11,
Azow,11,
Jean-Jacques,12,
Jacques,12,
rue de Tournon,13,
rue de,13,
Tournon,13,
abreuva de clarté,13,
Saint-Cloud,14,
Louvre,14,
du Louvre,14,
soleil,15,
le soleil,15,
Isolée,15,
Quelquefois,16,
Quelque,16,
Muette,16,
Bibliothèque Nationale,16,
"VI 
Quelques jours",16,
Bohême,17,
Trocadéro,17,
Rome,17,
Tyrol,17,
Rozée,17,
Hollande,18,
Anatolie,18,
Mélancolie,18,
Retombant,18,
Tolède,18,
feuillage du Luxembourg,19,
houx,19,
Luxembourg,19,
Wurtemberg,19,
Courbée,19,
Bourgogne,19,
Corinthe,20,
Cordoue,20,
Rouen,20,
Égypte,21,
Rentrée,21,
Agrigente,21,
Régent,21,
sentimentale,21,
État,22,
d'Italie,22,
Italie,22,
Clichy,22,
l'Italie,22,
Italien,22,
vert-de-gris,23,
Parme,23,
Paris,23,
Partez,23,
Michelet,24,
dentelle,24,
Grèce,24,
Appelle,24,
Cellelà,24,
Bois,25,
Sois,25,
l'Oise,25,
Assise,25,
Autrefois,25,
Oise,25,
Curieuse,26,
Asie Mineure,26,
Leurs,26,
Docteur,26,
Elseneur,26,
Latin,27,
Dauphiné,27,
abêti,27,
Obstinée,27,
Pas,28,
Passy,28,
wagon,29,
Pomone,29,
Chantez,29,
Remontée,29,
Mont-Valérien,29,
Quittez,29,
Montez,29,
jais,30,
aimais,30,
Marseillaise,30,
Suisse,30,
Anglais,30,
Laisse,30,
Indes,31,
Vosges,31,
jardin des Vosges,31,
Étonnante enfance,32,
Nancy,32,
N',32,
de Saxe,32,
manche,32,
Collège de France,32,
la France,32,
de France,32,
mademoiselle,33,
Fontenay,33,
Grenade,33,
massif de myosotis,33,
mademoiselle de Fontenay,33,
château de l'Oise,34,
Bruyères,34,
bruni,34,
château des Bruyères,34,
