cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Luxembourg,houx,Tournon,Bourgogne,feuillage du Luxembourg,Wurtemberg,Bohême,,,
1,rue de,rue de l'Ancienne-Comédie,massif de myosotis,Bois de Boulogne,abreuva de clarté,de Saxe,rue de Tournon,,,
2,de France,Grèce,Étonnante enfance,Collège de France,la France,,,,,
3,manche,Michelet,Marsan,Nancy,Penché,,,,,
4,Louvre,du Louvre,Flore,Saint-Cloud,Florence,,,,,
5,Mossoul,Pas,Passy,,,,,,,
6,Pierre,J'ai Pierre,J',Août,,,,,,
7,Fontenay,Remontée,wagon,Égypte,Montez,Chantez,Pomone,N',Mont-Valérien,Quittez
8,mer d'Azow,Azow,,,,,,,,
9,Assise,Marseillaise,Suisse,Laisse,Anglais,aimais,jais,,,
10,soleil,le soleil,Isolée,,,,,,,
11,Asie Mineure,Fabien Mauri,Elseneur,Curieuse,Docteur,Leurs,,,,
12,perse,Oise,château de l'Oise,l'Oise,Autrefois,mademoiselle,Sois,Bois,,
13,"VI 
Quelques jours",Jean-Jacques,Quelque,Quelquefois,Jacques,Muette,,,,
14,Berlin,abêti,État,Anzin,Latin,Dauphiné,Obstinée,,,
15,alluma,Allemagne,Allez,Bengale,tulle,Voyez,Versailles,Séville,Alsace,
16,Touraine,Sabine,boules-de-neige,Messine,Seine,la Seine,,,,
17,Menacée,Grenade,nacre,,,,,,,
18,Clichy,d'Italie,Italien,Italie,l'Italie,,,,,
19,bruni,château des Bruyères,Bruyères,,,,,,,
20,Appelle,Cellelà,Agrigente,Rentrée,mademoiselle de Fontenay,dentelle,sentimentale,,,
21,Hollande,Retombant,Bibliothèque Nationale,Tolède,Anatolie,Mélancolie,,,,
22,VI,Vienne,Lausanne,,,,,,,
23,Ève,Régent,Genève,,,,,,,
24,Est,Gênes,Sèvres,Naples,Gravures,colombes,Suresnes,,,
25,Vosges,Indes,jardin des Vosges,,,,,,,
26,Parme,barcarolle,Partez,vert-de-gris,Paris,,,,,
27,Courbée,Corinthe,Cordoue,Rouen,,,,,,
28,Tyrol,Rozée,Rome,Trocadéro,,,,,,
29,l'Espagne,Pologne,lune,Ferney,Espagne jaune,,,,,
