text,cluster,cluster_corrected
Hareaurt,-1,
continued--,-1,
Atlantic,-1,
Prcsident,-1,
Poets,-1,
x--,-1,
Scotsmen,-1,
Library,-1,
"childhood,--and",-1,
Glamorgan,-1,
I1TE,-1,
Coins,-1,
but1,-1,
Dcnmark,-1,
L-l,-1,
INto,-1,
Endure,-1,
HO3E,-1,
partre,-1,
Latin 1',-1,
Adelaide,-1,
no'd,-1,
Heroes,-1,
Smile-,-1,
Pembroke,-1,
slc,-1,
Prove-,-1,
MR,-1,
Sweden,-1,
the Fire Islands,-1,
IIownrd,-1,
Tluce,-1,
N-7,-1,
Dauris,-1,
Ashburton,-1,
Wales,-1,
IN1GLANCE,-1,
Elizalcthan,-1,
Gaol,-1,
Rose,-1,
Edinburgh,-1,
Ear,0,
"Ne
Year's",0,
forbearig,0,
Earth,0,
North,1,
MIrth,1,
Forteseue,2,
fort,2,
Fortcscuc,2,
comfort,2,
Oxford,3,
MElford,3,
Plymouth,4,
bDartmoutl,4,
Portsmouth,4,
Truth,4,
"South
America",5,
British America,5,
ROME,6,
I1coME,6,
moment''-she,6,
CoME INFLUEnCE,7,
INFLUeNCE,7,
Providence,8,
IN.HENCE,8,
Benevolence,8,
Io INPILCENCE,8,
eNgland,9,
england,9,
England,9,
Old England,9,
Highland,10,
Ireland,10,
Landor,10,
Moorlunds,11,
Mloorlnnds,11,
Moorlands,11,
Scotland,12,
Maitland,12,
Mlaitland,12,
MIaitland,12,
Lady,13,
LA,13,
niece,14,
Cecil,14,
deceit,14,
H0It,14,
Mlama,15,
Flamma,15,
Lascelles,16,
Lelly,16,
Helen,16,
Ellen,16,
Ill,17,
lLoe,17,
Ill.,17,
LL,17,
Villa,17,
Groeville,18,
Seville,18,
Llangwillan,19,
Ilangillan,19,
Nurse Languor,19,
Coal,20,
Algicrs,20,
Salhatl,20,
al,20,
Esq,21,
Essie,21,
lIes,21,
Faintness,22,
ain,22,
To1E,23,
Torrington,23,
CPTO,23,
Swansea,24,
Seaton,24,
Sea,24,
the Sea ucen,25,
"the Sea
Green",25,
Hamnilton,26,
Hauilton,26,
Harilton,26,
Ilamilton,27,
IInmilton,27,
IIamilton,27,
Hamiltaon,28,
Hamiltou,28,
Cheltenham,29,
Cleltenham,29,
Cheltenlam,29,
vARIETIs,30,
paris,30,
Paris,30,
Hovard,31,
Ward,31,
Italy,32,
italy,32,
Handing,33,
FInding,33,
lIndia,34,
INDIA,34,
India,34,
Emmeliue,35,
Fmmeline,35,
Lmmcline,35,
Caroline,36,
Curoline,36,
Cnroline,36,
Oakwood,37,
Oakwool,37,
Onkwood,37,
Lowood,37,
PEACE,38,
Speak,38,
bDevonshire,39,
Dconshire,39,
Devonshire,39,
Yorkshire,40,
New York,40,
LOndon,41,
london,41,
lOndon,41,
London,41,
Easter,42,
Hasty,42,
Given,43,
IVor,43,
Myrvsin,44,
myrtle,44,
MIyrvin,44,
Perc,45,
Perry,45,
Percy,45,
Emotion,46,
"itself,-EMotion",46,
MIss,47,
Miss.,47,
Germany,48,
germany,48,
c.,49,
&c.,49,
