text,cluster,cluster_corrected
Plymouth,0,
Portsmouth,0,
"South
America",0,
Truth,0,
Bnut,0,
Sunay,1,
usunl,1,
uay,1,
fSunday,1,
husbanl,2,
anl,2,
Wcnlly,2,
Iamilton,3,
Inmilton,3,
Hamnilton,3,
Hauilton,3,
IInmilton,3,
Harilton,3,
IIamilton,3,
Hamiltou,3,
Ilamilton,3,
Hamiltaon,3,
fcw,3,
Emeline,4,
Fmmeline,4,
Aeliag,4,
Caroline,4,
Lmmcline,4,
YV,4,
Emmeliue,4,
lifel,4,
Curoline,4,
Lmelino,4,
Elizalcthan,4,
Edardl,5,
Edarl,5,
x--,5,
"Luey
Hareout",6,
Luey,6,
Hareaurt,6,
eOh,6,
Iareourt,6,
dol,7,
Gaol,7,
Gol,7,
Forteseue,8,
Oxford,8,
fort,8,
MIilford,8,
Fortcscuc,8,
comfort,8,
Oford,8,
forI,8,
North,8,
Mlr.,9,
Mlr,9,
&c.,10,
kc.,10,
Az,10,
Germany,11,
ny,11,
Tinyl,11,
IonE INNLUENCE,12,
ImoME INLUENCE,12,
I1loME INLULNCE,12,
nIoI INLUENCE,12,
INLUNCE,12,
ntoIE,13,
IoIE,13,
mOIES,13,
MR,13,
"st
oIE",13,
lorton,14,
Seston,14,
Torrington,14,
CPTO,14,
"itself,-MIorton",14,
Mlorton,14,
Ashburton,14,
Perc,15,
stoppei,15,
lercy,15,
Percy,15,
TPecy,15,
Feroe,16,
lFeroe,16,
the Feroe Islands,16,
Feroc,16,
Osteroe,16,
Edwud,17,
kEdwurd,17,
Edwuard,17,
z7,18,
Algicrs,18,
Algiers,18,
Mn,19,
Elcmnor,19,
Mnnly,19,
mn,19,
"Ne
Year's",20,
hearda,20,
kdward,20,
Ioward,20,
Eard,20,
Barbary,20,
Hovard,20,
Elward,20,
Earth,20,
havc,21,
havre,21,
Hasty,21,
Leander,22,
Glamorgan,22,
England,22,
Highland,22,
lEngland,22,
Ireland,22,
thce island,22,
Iand,22,
XIIL,23,
IHis,23,
nall probnbility,23,
Ilis,23,
esil,23,
Hlis,23,
Listecn,23,
bDevonshire,24,
Dconshire,24,
Yorkshire,24,
Devonshire,24,
slc,25,
INFLCENCE,25,
INFLENcE-,25,
INFLCLNCE,25,
oncee,25,
Io INPILCENCE,25,
hce,25,
niece,26,
conscequece,26,
consin,26,
Cecil,26,
consequcncc,26,
deceit,26,
yong,27,
the yong party,27,
partre,27,
lcngth,28,
thcm,28,
HO3E,28,
Thoe,28,
withont,28,
Ialeira,29,
Noal,29,
Ialy,29,
ia,29,
aetually,29,
realy,29,
causiug,30,
miue,30,
MIueh,30,
MInmma,31,
mmma,31,
Emm,31,
lamma,31,
tbat MIanmma,31,
MImma,31,
"the Sea
Gueen",32,
the Sea ucen,32,
Sea,32,
Swansea,32,
peaee,32,
Ellecn,33,
Dearest Elenor,33,
Lelly,33,
Ellen,33,
lleaen,33,
LL,33,
Natnre,34,
bonat,34,
tn,34,
nd promisel,35,
Berry Pomeroy,35,
ROME,35,
acros,35,
Ifrom,35,
rI,36,
vARIETIs,36,
Yenr's ere,37,
New York,37,
New Yenr's Ee,37,
New Yenr's,37,
Hleaven,38,
Ile,38,
IIeaven,38,
Ileaven,38,
Icnven,38,
Delmont,39,
continued--,39,
belmont,39,
tlese eil,40,
tlem,40,
myrtle,40,
Cheltenlam,41,
Grnhame,41,
Cheltenham,41,
Cleltenham,41,
Grahame,41,
Pembroke,42,
kEm.,42,
kEm,42,
Soldon Grange,43,
Seldon Grange,43,
arrangc,43,
ld,43,
ain.,44,
ain,44,
MIyrvin,44,
morro,45,
mo,45,
moreoved,45,
Scotsmen,46,
Seneca,46,
mischiof,46,
disensc,46,
disgae,46,
villin,47,
Bille,47,
Groeville,47,
Greille,47,
"Groevillc
Manor",47,
Grerille Manor,47,
somc,48,
somc boon companions,48,
completc,48,
I1TE,49,
Nota,49,
lote,49,
anoter,49,
MIaitland,50,
Atlantic,50,
Scotland,50,
Maitland,50,
Mlaitland,50,
IoIrE IFLUENCE,51,
INFLULNCE,51,
IoIE 1FLUENCE,51,
I1NFLUENCE,51,
Tluce,51,
LUENCE,51,
IYFLUEXCE,51,
nIoxIE IFLUENCE,51,
n1oIE IFLUENCE,51,
NFLUENCE,51,
IIoE IFLUENCE,51,
Oakwood,52,
Oakwool,52,
Onkwood,52,
Ceeil,53,
INFIENCE,53,
INILULENCE,53,
INNFILUELNCE,53,
INFILENCE,53,
I1o INFILENCE,53,
IIoIE INFILENCE,53,
IYFLENCE,53,
Benevolence,53,
MIrs,54,
NIrs,54,
whiceh,55,
thicl,55,
cloul,55,
escapet,56,
pcrhaps,56,
hapy,56,
herts,57,
IIerbert,57,
ernfty,57,
Sentember,57,
Easter,57,
Haoweer,57,
Exeter,57,
Ereter,57,
Edwnrd,58,
Iowrd,58,
Elwnrd,58,
IIis,58,
IIownrd,58,
"Prince
Charles",59,
Chnrles,59,
Wales,59,
WVat,60,
"that,-if",60,
Salhatl,60,
Whatl,60,
Esq,61,
IMIPRESSED,61,
quickncss,61,
"assre
ou",61,
Caithness,61,
ress,61,
Llangwillan,62,
Ill.,62,
Ilangillan,62,
lIndia,63,
INDIA,63,
India,63,
Edinburgh,63,
Latin 1',64,
Mlama,64,
Mlary,64,
Hlarris,64,
las grown,64,
Mlay,64,
enslaer,64,
L-l,64,
Lady,64,
LA,64,
las,64,
IIoIE INFLLENCE,65,
IHFLLENCE,65,
IIOWIE INFLLENCE,65,
IIoMIE INFLUNCE,65,
INTLLENCE,65,
noIE INFLLENCE,65,
oIE INFLLENCE,65,
Prcsident,66,
Henen,66,
Yenr,66,
benr,66,
fenr,66,
Godl Denth,66,
denr,66,
Spenk,66,
Dclont,67,
Maldon,67,
Ellon,67,
herlong,67,
Iondon,67,
London,67,
marel,68,
Dcnmark,68,
md,68,
Denmark,68,
Snmboe,69,
wasa,69,
N-7,69,
Samboe,69,
Mliss Iarcourt,70,
Harcourt,70,
Mliss Harcourt,70,
Moorlunds,71,
Moorlands,71,
Mloorlnnds,71,
"childhool,--and",71,
Mloorlands,71,
