text,cluster,cluster_corrected
"Groevillc
Manor",0,
Grerille Manor,0,
Groeville,0,
ROME,1,
nd promisel,1,
Ifrom,1,
acros,1,
Berry Pomeroy,1,
somc,1,
Mliss Iarcourt,2,
Mliss Harcourt,2,
Harcourt,2,
z7,2,
Whatl,3,
Salhatl,3,
"that,-if",3,
WVat,3,
YV,3,
disensc,4,
Henen,4,
Seneca,4,
Spenk,4,
Scotsmen,4,
Benevolence,4,
Devonshire,5,
Yorkshire,5,
bDevonshire,5,
Dconshire,5,
New Yenr's,6,
"Ne
Year's",6,
New Yenr's Ee,6,
New York,6,
Yenr's ere,6,
belmont,7,
Delmont,7,
mo,7,
Caroline,8,
Elizalcthan,8,
Emeline,8,
Emmeliue,8,
Lmmcline,8,
Curoline,8,
Aeliag,8,
Lmelino,8,
lifel,8,
Fmmeline,8,
Algicrs,9,
Algiers,9,
IIownrd,10,
Elwnrd,10,
IIis,10,
Iowrd,10,
Ioward,10,
Edwnrd,10,
kc.,11,
&c.,11,
Hovard,12,
Eard,12,
Earth,12,
hearda,12,
Elward,12,
Barbary,12,
Dcnmark,12,
IIoIE INFLLENCE,13,
INTLLENCE,13,
IHFLLENCE,13,
oIE INFLLENCE,13,
noIE INFLLENCE,13,
IIOWIE INFLLENCE,13,
IIoMIE INFLUNCE,13,
IIoIE INFILENCE,13,
HO3E,14,
lcngth,14,
thcm,14,
Thoe,14,
withont,14,
thicl,14,
Natnre,15,
tn,15,
bonat,15,
Dearest Elenor,16,
LL,16,
Lelly,16,
Ellen,16,
lleaen,16,
Ellecn,16,
mmma,17,
lamma,17,
MImma,17,
Emm,17,
MInmma,17,
tbat MIanmma,17,
Oakwood,18,
Onkwood,18,
Oakwool,18,
MR,18,
Lady,19,
LA,19,
Mlary,19,
Latin 1',19,
enslaer,19,
Ilangillan,19,
Llangwillan,19,
Mlay,19,
Mlama,19,
las grown,19,
las,19,
fort,20,
Oford,20,
forI,20,
Forteseue,20,
North,20,
comfort,20,
Fortcscuc,20,
Oxford,20,
MIilford,20,
Sea,21,
peaee,21,
"the Sea
Gueen",21,
Swansea,21,
the Sea ucen,21,
"itself,-MIorton",22,
lorton,22,
Torrington,22,
Ashburton,22,
CPTO,22,
the yong party,22,
Mlorton,22,
cloul,22,
Seston,22,
husbanl,23,
anl,23,
Wcnlly,23,
Tinyl,24,
ny,24,
Germany,24,
Az,25,
London,25,
Dclont,25,
Maldon,25,
yong,25,
herlong,25,
Ellon,25,
Iondon,25,
IInmilton,26,
IIamilton,26,
Hamnilton,26,
Iamilton,26,
Harilton,26,
Hauilton,26,
Hamiltaon,26,
Inmilton,26,
Hamiltou,26,
Ilamilton,26,
somc boon companions,27,
consin,27,
continued--,27,
consequcncc,27,
Listecn,28,
Hlis,28,
Ilis,28,
IHis,28,
nall probnbility,28,
villin,28,
disgae,28,
Hasty,29,
pcrhaps,29,
havc,29,
havre,29,
hapy,29,
kEdwurd,30,
Edwuard,30,
Edardl,30,
Edwud,30,
Edarl,30,
kdward,30,
x--,30,
anoter,31,
lote,31,
I1TE,31,
Nota,31,
benr,32,
Yenr,32,
fenr,32,
denr,32,
Denmark,32,
Godl Denth,32,
Prcsident,32,
herts,33,
Easter,33,
Sentember,33,
Haoweer,33,
Ereter,33,
IIerbert,33,
Exeter,33,
ernfty,33,
completc,34,
Greille,34,
tlem,34,
myrtle,34,
Wales,34,
Ile,34,
esil,34,
Chnrles,34,
Bille,34,
Ill.,34,
XIIL,34,
tlese eil,34,
dol,35,
Gaol,35,
Gol,35,
L-l,36,
Iareourt,36,
partre,36,
"Luey
Hareout",36,
Hareaurt,36,
moreoved,36,
eOh,36,
marel,36,
N-7,37,
Percy,37,
lercy,37,
stoppei,37,
TPecy,37,
Perc,37,
IoIE,38,
"st
oIE",38,
ntoIE,38,
mOIES,38,
realy,39,
Ialy,39,
aetually,39,
ia,39,
Noal,39,
Ialeira,39,
Iand,40,
India,40,
INDIA,40,
lIndia,40,
Edinburgh,40,
Leander,41,
England,41,
lEngland,41,
miue,42,
causiug,42,
MIueh,42,
IMIPRESSED,43,
escapet,43,
Esq,43,
"assre
ou",43,
quickncss,43,
ress,43,
Caithness,43,
Elcmnor,44,
Mn,44,
mn,44,
Mnnly,44,
Mlr,45,
Mlr.,45,
Seldon Grange,46,
arrangc,46,
ld,46,
Soldon Grange,46,
NIrs,47,
MIrs,47,
mischiof,47,
IoIrE IFLUENCE,48,
INNFILUELNCE,48,
Luey,48,
IYFLUEXCE,48,
ImoME INLUENCE,48,
n1oIE IFLUENCE,48,
I1loME INLULNCE,48,
I1NFLUENCE,48,
IIoE IFLUENCE,48,
nIoI INLUENCE,48,
INILULENCE,48,
nIoxIE IFLUENCE,48,
LUENCE,48,
IoIE 1FLUENCE,48,
IonE INNLUENCE,48,
NFLUENCE,48,
INLUNCE,48,
Tluce,48,
"South
America",49,
Portsmouth,49,
Bnut,49,
Truth,49,
Plymouth,49,
thce island,50,
Ireland,50,
Scotland,50,
Atlantic,50,
Highland,50,
Maitland,50,
Mlaitland,50,
MIaitland,50,
the Feroe Islands,51,
Osteroe,51,
lFeroe,51,
Feroe,51,
Feroc,51,
rI,52,
vARIETIs,52,
Hlarris,52,
oncee,53,
INFILENCE,53,
INFLENcE-,53,
INFLCLNCE,53,
"Prince
Charles",53,
IYFLENCE,53,
slc,53,
fcw,53,
INFLULNCE,53,
I1o INFILENCE,53,
Io INPILCENCE,53,
INFLCENCE,53,
whiceh,53,
hce,53,
INFIENCE,53,
Snmboe,54,
wasa,54,
Samboe,54,
Grahame,55,
md,55,
Cleltenham,55,
Grnhame,55,
Cheltenlam,55,
Cheltenham,55,
MIyrvin,56,
ain.,56,
ain,56,
Glamorgan,57,
"childhool,--and",57,
Mloorlands,57,
Mloorlnnds,57,
Moorlunds,57,
Moorlands,57,
morro,57,
kEm.,58,
Pembroke,58,
kEm,58,
niece,59,
Ceeil,59,
conscequece,59,
deceit,59,
Cecil,59,
IIeaven,60,
Icnven,60,
Hleaven,60,
Ileaven,60,
usunl,61,
uay,61,
fSunday,61,
Sunay,61,
