text,cluster,cluster_corrected
Plymouth,0.0,
Portsmouth,0.0,
Truth,0.0,
Milford,1.0,
Oxford,1.0,
Nurse Langford,1.0,
Atlantic,2.0,
Highland,2.0,
Leander,2.0,
Ireland,2.0,
Scotland,2.0,
Llangwillan,2.0,
England,2.0,
Old England,2.0,
Moorlands,2.0,
Swansea,3.0,
Seaton,3.0,
"birds,—(several sea",3.0,
STORY.—A CONFESSION,4.0,
INDIA,4.0,
Caithness,4.0,
Torrington,4.0,
Providence,5.0,
Benevolence,5.0,
"promise,—if",5.0,
Cheltenham,6.0,
Grahame,6.0,
Hamiltou,6.0,
Ellen,7.0,
Lelly,7.0,
Lina,8.0,
Caroline,8.0,
Collins,8.0,
Yorkshire,9.0,
New York,9.0,
Devonshire,9.0,
hearda,10.0,
Earth,10.0,
Percy,11.0,
Perey,11.0,
Percy?—let,11.0,
Harding,12.0,
Seneca,12.0,
Edinburgh,12.0,
Crarton,13.0,
Glamorgan,13.0,
Seldon Grange,13.0,
"itself,—Morton",13.0,
Ashburton,13.0,
Easter,14.0,
Hasty,14.0,
Exeter,14.0,
India,14.0,
Osteroe,14.0,
LONDON,15.0,
London,15.0,
Thou,16.0,
thou,16.0,
Lady,17.0,
Germany,18.0,
Greville Manor,18.0,
Dearest Eleanor,18.0,
Manor,18.0,
the Sea Queen,19.0,
"the Sea
Queen",19.0,
Samboese,20.0,
Samboe,20.0,
LiBRARY,21.0,
Barbary,21.0,
Sweden,22.0,
Denmark,22.0,
"Luey
Harcourt",23.0,
Harcourt,23.0,
Feroe,24.0,
the Shetland Isles,24.0,
the Feroe Islands,24.0,
Jady,25.0,
"South
America",26.0,
Bricuriy,26.0,
British America,26.0,
fort,27.0,
North,27.0,
Wales,27.0,
comfort,27.0,
Scotsmen,28.0,
Berry Pomeroy,28.0,
moment”—she,28.0,
&c.,,
Delmont,,
Mr,,
Italy,,
Gehazi,,
Esq,,
T—.,,
MR,,
Cecil,,
Euphrosyne,,
wasa,,
me?—oh,,
Nota,,
Psalm,,
Sabbath,,
Madeira,,
myrtle,,
MS,,
Algiers,,
Halifax,,
Pembroke,,
n’t,,
Tn,,
JT,,
Oakwood,,
deceit,,
Elizabethan,,
Tus,,
