text,cluster,cluster_corrected
Jaden,0.0,
Dryden,0.0,
AINSWORTH,1.0,
Perth,1.0,
Kenilworth,1.0,
Pelham,2.0,
Thames,2.0,
Waltham,2.0,
Nottingham,2.0,
Hamburg,2.0,
KRONHEIM,3.0,
Blenheim,3.0,
KronuEIM,3.0,
Byron,3.0,
Ninus,4.0,
Oak Openings,4.0,
Venice,4.0,
Trigge,5.0,
Trigce,5.0,
Tzigge,5.0,
Rougemont,6.0,
Beaumont,6.0,
Richmond,6.0,
Beatitudes,6.0,
Montrose,6.0,
Inn,7.0,
Inn-lane,7.0,
Stowe,8.0,
Londcn Stone,8.0,
Paston,8.0,
Eastcheap,8.0,
Grafton,8.0,
Haliburton,8.0,
Albany,9.0,
Millbank,9.0,
anon,10.0,
Cristofano,10.0,
Athanor,10.0,
Vanbrugh,11.0,
Ivanhoe,11.0,
Charles,12.0,
Farquhar,12.0,
Harvey,12.0,
Charing,12.0,
New Type,13.0,
NEW YORK,13.0,
Sea,14.0,
Japhet inSearchofaFather,14.0,
Trayther,14.0,
Antverp,15.0,
River,15.0,
Regent,16.0,
Serpentine,16.0,
25th Regiment,16.0,
St. Peter,17.0,
St.,17.0,
"St.
George’s",17.0,
Park,18.0,
Park-street,18.0,
Seutree,18.0,
King-street,18.0,
Billinsgit,19.0,
Cornhill,19.0,
Achilles,19.0,
Old London,20.0,
LONDON,20.0,
London,20.0,
Old Bailey,20.0,
Lammermoor,21.0,
Hermetic,21.0,
Vhere,21.0,
scagliola,22.0,
Monsieur Violet,22.0,
AURIOL,22.0,
St. James’ss,23.0,
Saint,23.0,
"Saint
James's-square",23.0,
Packet,24.0,
the Black Dwarf,24.0,
EDWARDS,24.0,
Godolphin,25.0,
china,25.0,
Rotterdam,26.0,
Vignettes,26.0,
Wyandotte,26.0,
Damocles,26.0,
Cinq Mars,27.0,
Mars,27.0,
Warsaw,27.0,
Reeks,28.0,
stecl,28.0,
Steel Plates,28.0,
Stepney-green,28.0,
"Queen
Elizabeth’s time",28.0,
Rookwood,29.0,
Woodstock,29.0,
Lothbury,30.0,
Canterbury,30.0,
Midlothian,30.0,
Finsbury,30.0,
c'oth,30.0,
Italy,30.0,
Drury,30.0,
ROME,31.0,
Rome,31.0,
The Inland Sea,32.0,
Scotland,32.0,
England,32.0,
Granada,33.0,
Ovingdean Grange,33.0,
Abingdon,33.0,
Strand,34.0,
Henry VIIL.,34.0,
Sea Lions,34.0,
IIlustrations,34.0,
Calabria,35.0,
Isaical,35.0,
"the Alabama

Il

Case",35.0,
Boscobel,36.0,
Belvoir,36.0,
Forest Days,37.0,
nearest kinsman,37.0,
Southwark,38.0,
South-,38.0,
Washington,39.0,
Kensington,39.0,
Colours,40.0,
Lyndhurst,40.0,
ROUTLEDGE,41.0,
Routledge,41.0,
Highlands,42.0,
oie Highlands,42.0,
Whitefriars,43.0,
"Hallywoed Es
Hall",43.0,
Whitehall,43.0,
Santa,44.0,
Marion,44.0,
Santa Maria,44.0,
Bavaria,44.0,
flagon,45.0,
Flapdragon,45.0,
Author,46.0,
Thou,46.0,
thou,46.0,
Tlosiage,47.0,
ROSICRUCIAN,47.0,
Marked,48.0,
Mark,48.0,
Leicestershire,49.0,
master’ll,49.0,
scaly sea-monster,49.0,
Westminster,49.0,
Munster Festivals,49.0,
Zoroaster,49.0,
Aldgate,50.0,
Watts,50.0,
Waterloo,50.0,
HYDE PARK,51.0,
Hyde Park,51.0,
Clara,52.0,
Paris,52.0,
Paradiso,52.0,
Mackintoshes,53.0,
Ispahan,53.0,
Phantom Ship,53.0,
Beaafort,54.0,
Portrait,54.0,
Oxford,54.0,
fort,54.0,
Forum,54.0,
Elia,55.0,
penetralia,55.0,
America,55.0,
Amelia,55.0,
Bunce,56.0,
Fra,56.0,
France,56.0,
Turk,57.0,
Pictures,57.0,
Vol,58.0,
vol,58.0,
Sheridan,59.0,
Podrida,59.0,
ANTIQUARIES,60.0,
Rienzi,60.0,
Temple-bar,,
Mississippi,,
DR,,
Tasso,,
bds.,,
UK,,
Seto,,
Bivouac,,
sepulchre,,
STATUE,,
Morse,,
Pompeii,,
Loftus,,
f—-,,
Curzon,,
Holbein,,
crowne,,
Se,,
Nigel,,
Fexh,,
Tn,,
L. EL.,,
M.A.,,
TX,,
Fairfax,,
Jun.,,
Emm,,
’s,,
Peak,,
Tokay,,
Wakefield,,
Swan,,
Isle of Skye,,
Boraa,,
Ve're,,
Ww,,
8vo,,
JT,,
Havre,,
ER,,
yon’t,,
Bacon,,
c.g.,,
Satan,,
W.H.,,
IL,,
