text,cluster,cluster_corrected
Richmond,-1,
Venice,-1,
Aldgate,-1,
Rienzi,-1,
Havre,-1,
Belvoir,-1,
Emm,-1,
DR,-1,
Henry VIIL.,-1,
Fexh,-1,
scagliola,-1,
Phantom Ship,-1,
Lammermoor,-1,
Haliburton,-1,
’s,-1,
c.g.,-1,
Italy,-1,
Eastcheap,-1,
Calabria,-1,
Isle of Skye,-1,
Mackintoshes,-1,
Tasso,-1,
Japhet inSearchofaFather,-1,
Grafton,-1,
penetralia,-1,
St. James’ss,-1,
Old Bailey,-1,
Bacon,-1,
bds.,-1,
Wakefield,-1,
Clara,-1,
Fairfax,-1,
M.A.,-1,
Tokay,-1,
Pompeii,-1,
Serpentine,-1,
Marion,-1,
L. EL.,-1,
W.H.,-1,
America,-1,
f—-,-1,
"the Alabama

Il

Case",-1,
Holbein,-1,
TX,-1,
Curzon,-1,
AURIOL,-1,
Isaical,-1,
Peak,-1,
Boraa,-1,
ANTIQUARIES,-1,
EDWARDS,-1,
Temple-bar,-1,
Ww,-1,
scaly sea-monster,-1,
Monsieur Violet,-1,
Loftus,-1,
Mississippi,-1,
Leicestershire,-1,
JT,-1,
crowne,-1,
Damocles,-1,
Drury,-1,
Vignettes,-1,
The Inland Sea,-1,
Boscobel,-1,
UK,-1,
Swan,-1,
Ve're,-1,
Packet,-1,
Billinsgit,-1,
yon’t,-1,
Nottingham,-1,
IL,-1,
Beatitudes,-1,
Tn,-1,
the Black Dwarf,-1,
Rougemont,0,
Montrose,0,
Beaumont,0,
Byron,1,
KRONHEIM,1,
KronuEIM,1,
Blenheim,1,
LONDON,2,
Londcn Stone,2,
Paston,2,
Old London,2,
London,2,
Stowe,2,
Rookwood,3,
Woodstock,3,
anon,4,
Cristofano,4,
Athanor,4,
Ispahan,4,
Granada,5,
Abingdon,5,
Ovingdean Grange,5,
Fra,6,
Bunce,6,
Jun.,6,
France,6,
Paradiso,7,
Paris,7,
HYDE PARK,8,
Hyde Park,8,
Park,8,
King-street,9,
Park-street,9,
Mark,10,
Marked,10,
Mars,11,
Warsaw,11,
Cinq Mars,11,
Seutree,12,
Stepney-green,12,
Reeks,12,
stecl,13,
Steel Plates,13,
Westminster,14,
Munster Festivals,14,
Zoroaster,15,
master’ll,15,
Santa,16,
Bavaria,16,
Santa Maria,16,
Satan,16,
STATUE,16,
Waterloo,17,
Watts,17,
nearest kinsman,18,
Forest Days,18,
Forum,19,
Oxford,19,
Portrait,20,
fort,20,
Beaafort,20,
Perth,21,
Hermetic,21,
River,21,
Vhere,21,
Trayther,21,
ER,21,
Antverp,21,
Podrida,22,
Sheridan,22,
c'oth,23,
Midlothian,23,
Finsbury,23,
Canterbury,23,
Lothbury,23,
Dryden,24,
Jaden,24,
Scotland,25,
England,25,
oie Highlands,26,
Highlands,26,
Inn,27,
Inn-lane,27,
Seto,28,
Se,28,
Sea Lions,28,
Sea,28,
Morse,28,
sepulchre,28,
Strand,29,
IIlustrations,29,
Wyandotte,30,
Rotterdam,30,
Hamburg,31,
Pelham,31,
Thames,32,
Waltham,32,
"Saint
James's-square",33,
Saint,33,
"St.
George’s",34,
St. Peter,34,
St.,34,
Kenilworth,35,
AINSWORTH,35,
Charles,36,
Charing,36,
Farquhar,37,
Harvey,37,
Achilles,38,
Cornhill,38,
china,39,
Godolphin,39,
South-,40,
Southwark,40,
Thou,41,
thou,41,
Author,41,
Whitefriars,42,
Whitehall,42,
"Hallywoed Es
Hall",42,
Ninus,43,
Oak Openings,43,
Vol,44,
Bivouac,44,
8vo,44,
vol,44,
Tzigge,45,
Nigel,45,
Trigge,45,
Trigce,45,
Albany,46,
Millbank,46,
Kensington,47,
Washington,47,
Regent,48,
25th Regiment,48,
"Queen
Elizabeth’s time",48,
Amelia,49,
Elia,49,
flagon,50,
Flapdragon,50,
Turk,51,
Pictures,51,
Tlosiage,52,
ROSICRUCIAN,52,
Colours,53,
Lyndhurst,53,
ROUTLEDGE,54,
Routledge,54,
ROME,55,
Rome,55,
NEW YORK,56,
New Type,56,
Vanbrugh,57,
Ivanhoe,57,
