text,cluster,cluster_corrected
China,-1,
"Pensioner
Crags",-1,
that7,-1,
Thrushcross park,-1,
champion1,-1,
west wind,-1,
ILIEIGIT8,-1,
france,-1,
offer1,-1,
Heighten,-1,
hush1,-1,
Happily,-1,
la,-1,
Immersion kirkland,-1,
fresno,-1,
North,-1,
Height,-1,
him1,-1,
Linton Heathcliff,-1,
Hercules,-1,
Immersion,-1,
Mn,-1,
brazil,-1,
Liverpool,-1,
a Slough of Despond,-1,
tl.see,-1,
dells,-1,
TAIPEI,-1,
VA,-1,
sulle,-1,
"mutterel Tenth-
clif",-1,
NO EL,-1,
Mars,-1,
Mlr,-1,
thorpe,-1,
Another-,-1,
Brond,-1,
III:2Is,-1,
yong,-1,
Grange,-1,
Lockwood,-1,
BEING8.,-1,
Linton,-1,
IT1,-1,
beek,-1,
IlIowever,-1,
MIrs,-1,
IlIareton,-1,
"dol
HIe",-1,
paris,-1,
TEIGIITS,-1,
Hareton,-1,
end1,-1,
MOrTIMER S,-1,
BERING,-1,
merced,-1,
HErTS,-1,
Yau'd,-1,
basel,-1,
erie,-1,
kirkland,-1,
spain,-1,
quad-,-1,
Ill,-1,
America,-1,
Catherine,-1,
fort,-1,
anl,-1,
ny,-1,
ky,-1,
OhIO,-1,
Atlantic,-1,
nc,-1,
us,-1,
noRTHERN IIEIGIITS,-1,
Him,-1,
Lascar,-1,
BERING HE1GIFTS,-1,
wEaRING EGIIT3,-1,
MIster,-1,
Continent,-1,
Thrushcross Grange,-1,
faro,-1,
DIGITS,-1,
Titan,-1,
Phenix,-1,
Christendom,-1,
oman,-1,
wEEI0 HEIGHTS,-1,
tennessee,-1,
Desert,-1,
PETE,-1,
dallas,-1,
Range,-1,
Zillah,-1,
white ocean,-1,
Hnreton,-1,
' york,-1,
England,-1,
IIEIGHIT9,-1,
wuriEIIING,-1,
bnt,-1,
HIareton,-1,
IBlackhorse,-1,
seattle,-1,
Hindley,-1,
Yorkshire,-1,
Merton,-1,
IEIOHIT9,-1,
Ieathclil,-1,
WVont,-1,
dol,-1,
Houston,-1,
jammu,-1,
wi,-1,
olean,-1,
Slim1,-1,
Thrushcross,-1,
sicily,-1,
IIeathieliff,-1,
moro,-1,
MlIy,-1,
Miss.,-1,
LAtin,-1,
peking,-1,
Satan,-1,
Hareton Earnsha,-1,
REIGET9,-1,
IIEIGHRT8,-1,
Seventy Time,-1,
BERING HEIGHT,0,
BERING HEIGHTS,0,
wtrTEERING HEIGHTS,0,
Wuthering HEights,1,
Wuthering Height,1,
WUthering Heights,1,
Wuthering HEIghts,1,
Wuthering Heights,1,
WUTHERING HEIGHTS,1,
WUthering HEights,1,
wEtNG HEIGHTS,2,
THEHING HEIGHTS,2,
TURING HEIGHTS,2,
wEBBING HEIGHTS,2,
"WUthering
Heights",3,
"WUthering
HEights",3,
"Wuthering
Heights",3,
weARING HEIGHTS,4,
wEARING HEIGHTS,4,
weaRING HEIGHTS,4,
you'vc,5,
You'll,5,
BEING9,6,
"BEING9
63
age",6,
Earnsha,7,
Earnshav,7,
Mt. Heathcliff',8,
Heathcliff,8,
HeathcliFf,8,
HeathcliFF,8,
Ieathelif,9,
Ieatheli,9,
EL,10,
el,10,
Heights,11,
HEIGHTS,11,
HEights,11,
L LONDON,12,
London,12,
CAVENDISH S.,13,
"CAVENDISH S.
1847",13,
