text,cluster,cluster_corrected
IA,0,
Spriag,0,
ia,0,
Thenr,1,
Ienneth,1,
henad,1,
heavaen,1,
kitehen,1,
"the Crags
WVhile",1,
Phenix,1,
Thesr,1,
Thoen,1,
benr,1,
Istaid,2,
snid tn,2,
MIster,2,
Hishonest,2,
begaa,3,
Thear,3,
Heathelif,3,
M. Heath,3,
Ieatheli,3,
Hentheliff,3,
Hetheclif,3,
Heatheli,3,
Therel,3,
Ieathelif,3,
thear,3,
Mfr,4,
cloak3,4,
Noal,4,
realy,4,
sno,4,
cald,4,
wi,5,
wintar,5,
Wisht,5,
west wind,5,
Earnsha,6,
Earnshav,6,
Hareton Earnsha,6,
Desert,7,
Gimmerton,7,
offer1,7,
America,7,
Gimmerton 7,7,
ky,7,
IlIowever,8,
howevor,8,
oever,8,
Liverpool,8,
Howover,8,
Zillal,9,
Ill,9,
hy hills,9,
sulle,9,
Zillah,9,
butIL,9,
Mlr,10,
MlIy,10,
lI,10,
Mliss,10,
Loekwood,11,
Bt,11,
Lockwood,11,
WVuthering,12,
Wutheriag Heights,12,
Wuthering Hcights,12,
wEERING HEIGHTS,12,
Wuthering Heights,12,
"Wuthoering
Heights",12,
Wuthering IIeights,12,
Wuthering Heighte,12,
Wutheriug Heights,12,
"WYuthering
Heights",12,
"Wuthering
Heights",12,
wtrTEERING HEIGHTS,12,
WVuthering Heighte,12,
WVuthering Heights,12,
Wnthering Heights,12,
HErTS,12,
you'vc,13,
You'll,13,
I'l1,13,
Yon'll,13,
Mn,14,
mn,14,
Herecules,15,
resue,15,
Hercules,15,
hce,16,
seech,16,
oncee,16,
nc,16,
forarl,17,
fort,17,
beforc hc,17,
North,17,
anl,18,
Titan,18,
cannut sea,18,
oman,18,
Wy,18,
HIareton,19,
WVet,19,
Hareton,19,
champion1,19,
Hnreton,19,
IlIareton,19,
retrievasl,19,
England,20,
CAYIENDISH S.,20,
end1,20,
Ienven,20,
Christendom,20,
HEIGITS,21,
"3ao
wtEnING HEIGIIT",21,
ERING IIEIGIT9,21,
EIGIT9,21,
EIGIIT9,21,
GITS,21,
TEIGIITS,21,
itl,21,
IIEIGTS,21,
HIGIITS,21,
IEIGnT.,22,
IIEIGHRT8,22,
wrtEIG,22,
EIGET,22,
HIEIGRT9,22,
REIGET9,22,
HEIGRT,22,
EIGRT9,22,
HEIGRT8,22,
EIGHRT9,22,
EEIGT,22,
HEIGLT9,22,
Thrushcross,23,
ThIrusheross Grange,23,
Thrushcross Grange,23,
Thruehcross Grange,23,
Thrusheross Grange,23,
Thrushcross park,23,
"dumh
melitation",24,
nellowv,24,
Shielders,24,
MIichael,24,
dells,24,
NO EL,24,
EL,24,
III:2Is,25,
MIinny,25,
ny,25,
Linton Heathcliff,26,
Mt. Heathcliff',26,
Heathcliff,26,
Ieathclil,26,
Hetlcliff,26,
IIeathieliff,26,
Bud,27,
isl Bud,27,
isl,27,
Grango,28,
GrangeP,28,
Grangel,28,
Grange,28,
"dol
HIe",29,
olean,29,
dol,29,
bnt,30,
WVont,30,
lincs,30,
Liring,30,
Lintou,30,
Continent,30,
contry,30,
wvay,30,
Linton,30,
MIrs,31,
himI,31,
him1,31,
Yorkshire,31,
Brond,32,
a Slough of Despond,32,
London,32,
IBlackhorse,33,
la,33,
Edgasr,33,
Lascar,33,
wasa,33,
Tlat,33,
las,33,
oboy,34,
Oetoboer,34,
boe,34,
HEIGTB,35,
HEIGHTS,35,
IEIGHT9,35,
IIEIGHT9,35,
Tle Heights,35,
Heightas,35,
Heights,35,
Catherino,36,
Cuatherinc,36,
Cnthcerine,36,
Cutherine,36,
drivcn,36,
Cuatherine,36,
that7,36,
Hindley,37,
meeterly clane,37,
fahl,37,
infaney,37,
Lorl,38,
soro,38,
mo,38,
moro,38,
-cousin,39,
I1l,39,
hush1,39,
us,39,
